PlotNo,PlotName,Species,StemCount,DBH
1,Plot01,BRAREP,1,1.3
1,Plot01,BRAREP,1,4
1,Plot01,COPARB,1,1.3
1,Plot01,COPARB,1,1.3
1,Plot01,COPARB,1,1.3
1,Plot01,COPARB,1,1.3
1,Plot01,COPARB,2,1.3
1,Plot01,COPARB,4,1.3
1,Plot01,COPARB,4,1.3
1,Plot01,COPARB,5,1.3
1,Plot01,COPARB,5,1.3
1,Plot01,COPARB,5,1.3
1,Plot01,COPARB,6,1.3
1,Plot01,COPARB,6,1.3
1,Plot01,COPARB,1,2.7
1,Plot01,COPARB,1,2.8
1,Plot01,COPARB,1,2.8
1,Plot01,COPARB,1,2.8
1,Plot01,COPARB,1,2.8
1,Plot01,COPARB,1,2.9
1,Plot01,COPARB,1,2.9
1,Plot01,COPARB,1,3
1,Plot01,COPARB,1,3
1,Plot01,COPARB,1,3.1
1,Plot01,COPARB,1,3.1
1,Plot01,COPARB,1,3.3
1,Plot01,COPARB,1,3.3
1,Plot01,COPARB,1,3.4
1,Plot01,COPARB,1,3.6
1,Plot01,COPARB,1,4.1
1,Plot01,COPARB,1,4.3
1,Plot01,COPARB,1,4.3
1,Plot01,COPARB,1,4.5
1,Plot01,COPARB,1,5
1,Plot01,COPARB,1,5
1,Plot01,COPARB,1,5.2
1,Plot01,COPARB,1,5.2
1,Plot01,COPARB,1,5.3
1,Plot01,COPARB,1,5.9
1,Plot01,COPARB,1,5.9
1,Plot01,COPARB,1,6.4
1,Plot01,COPARB,1,6.5
1,Plot01,COPARB,1,6.7
1,Plot01,COPARB,1,6.9
1,Plot01,COPARB,1,7.3
1,Plot01,COPARB,1,7.8
1,Plot01,COPARB,1,7.9
1,Plot01,COPARB,1,8
1,Plot01,COPARB,1,8.4
1,Plot01,COPARB,1,8.6
1,Plot01,COPARB,1,8.6
1,Plot01,COPARB,1,9.1
1,Plot01,COPARB,1,9.5
1,Plot01,COPARB,1,10
1,Plot01,COPARB,1,11.4
1,Plot01,COPARB,1,12.1
1,Plot01,COPARB,1,12.9
1,Plot01,COPARB,1,15.2
1,Plot01,COPARB,1,16.2
1,Plot01,COPMAC,1,1.3
1,Plot01,COPMAC,1,1.3
1,Plot01,COPMAC,1,1.3
1,Plot01,COPMAC,1,1.3
1,Plot01,COPMAC,1,1.3
1,Plot01,COPMAC,2,1.3
1,Plot01,COPMAC,2,1.3
1,Plot01,COPMAC,3,1.3
1,Plot01,COPMAC,4,1.3
1,Plot01,COPMAC,5,1.3
1,Plot01,COPMAC,5,1.3
1,Plot01,COPMAC,1,2.9
1,Plot01,COPMAC,1,3
1,Plot01,COPMAC,1,3
1,Plot01,COPMAC,1,3
1,Plot01,COPMAC,1,3.1
1,Plot01,COPMAC,1,3.3
1,Plot01,COPMAC,1,3.4
1,Plot01,COPMAC,1,3.4
1,Plot01,COPMAC,1,3.6
1,Plot01,COPMAC,1,4.2
1,Plot01,COPMAC,1,4.2
1,Plot01,COPMAC,1,5
1,Plot01,COPMAC,1,5.5
1,Plot01,COPMAC,1,6.2
1,Plot01,COPMAC,1,7.9
1,Plot01,COPMAC,1,8.1
1,Plot01,COPMAC,1,9.4
1,Plot01,COPRHA,1,1.3
1,Plot01,COPRHA,2,1.3
1,Plot01,COPRHA,2,1.3
1,Plot01,COPSPA,1,1.3
1,Plot01,COPSPA,1,1.3
1,Plot01,COPSPA,1,1.3
1,Plot01,COPSPA,1,1.3
1,Plot01,COPSPA,1,1.3
1,Plot01,COPSPA,1,1.3
1,Plot01,COPSPA,2,1.3
1,Plot01,COPSPA,2,1.3
1,Plot01,CYADEA,1,1.3
1,Plot01,CYADEA,1,1.3
1,Plot01,CYADEA,1,1.3
1,Plot01,CYADEA,1,1.3
1,Plot01,CYADEA,1,1.3
1,Plot01,CYADEA,2,1.3
1,Plot01,CYADEA,2,1.3
1,Plot01,CYADEA,3,1.3
1,Plot01,CYADEA,3,1.3
1,Plot01,CYADEA,5,1.3
1,Plot01,CYADEA,1,7.8
1,Plot01,CYADEA,1,9.5
1,Plot01,CYADEA,1,9.6
1,Plot01,CYADEA,1,11
1,Plot01,CYADEA,1,12.9
1,Plot01,CYADEA,1,14.5
1,Plot01,DYSSPE,1,1.3
1,Plot01,GENLIG,1,1.3
1,Plot01,GENLIG,1,1.3
1,Plot01,GENLIG,1,1.3
1,Plot01,GENLIG,1,1.3
1,Plot01,GENLIG,1,1.3
1,Plot01,GENLIG,1,1.3
1,Plot01,GENLIG,2,1.3
1,Plot01,GENLIG,2,1.3
1,Plot01,GENLIG,2,1.3
1,Plot01,GENLIG,2,1.3
1,Plot01,GENLIG,3,1.3
1,Plot01,GENLIG,4,1.3
1,Plot01,GENLIG,6,1.3
1,Plot01,GENLIG,8,1.3
1,Plot01,GENLIG,1,2.8
1,Plot01,GENLIG,1,2.8
1,Plot01,GENLIG,1,2.9
1,Plot01,GENLIG,1,3.1
1,Plot01,GENLIG,1,3.8
1,Plot01,GENLIG,1,3.8
1,Plot01,GENLIG,1,3.9
1,Plot01,GENLIG,1,5.7
1,Plot01,HEDARB,1,1.3
1,Plot01,KNIEXC,1,9.3
1,Plot01,KUNERI,1,5
1,Plot01,KUNERI,1,14.6
1,Plot01,KUNERI,1,14.8
1,Plot01,KUNERI,1,15
1,Plot01,KUNERI,1,15.8
1,Plot01,KUNERI,1,16.3
1,Plot01,KUNERI,1,16.6
1,Plot01,KUNERI,1,17.2
1,Plot01,KUNERI,1,18.2
1,Plot01,KUNERI,1,18.4
1,Plot01,KUNERI,1,19.2
1,Plot01,KUNERI,1,19.6
1,Plot01,KUNERI,1,21.3
1,Plot01,KUNERI,1,21.8
1,Plot01,KUNERI,1,22
1,Plot01,KUNERI,1,22.9
1,Plot01,KUNERI,1,23.1
1,Plot01,KUNERI,1,23.1
1,Plot01,KUNERI,1,23.4
1,Plot01,KUNERI,1,23.5
1,Plot01,KUNERI,1,24.3
1,Plot01,KUNERI,1,25.6
1,Plot01,KUNERI,1,28.2
1,Plot01,KUNERI,1,29.8
1,Plot01,KUNERI,1,34.9
1,Plot01,KUNERI,1,39.8
1,Plot01,MELMIC,1,1.3
1,Plot01,MELRAM,1,1.3
1,Plot01,MELRAM,1,1.3
1,Plot01,MELRAM,1,1.3
1,Plot01,MELRAM,1,1.3
1,Plot01,MELRAM,1,1.3
1,Plot01,MELRAM,2,1.3
1,Plot01,MELRAM,1,3.2
1,Plot01,MELRAM,1,3.6
1,Plot01,MELRAM,1,3.9
1,Plot01,MELRAM,1,4.1
1,Plot01,MELRAM,1,4.3
1,Plot01,MELRAM,1,5.9
1,Plot01,MELRAM,1,7.9
1,Plot01,MYRAUS,1,1.3
1,Plot01,MYRAUS,1,1.3
1,Plot01,MYRAUS,2,1.3
1,Plot01,MYRAUS,2,1.3
1,Plot01,MYRAUS,3,1.3
1,Plot01,MYRAUS,3,1.3
1,Plot01,MYRAUS,4,1.3
1,Plot01,MYRAUS,4,1.3
1,Plot01,MYRAUS,5,1.3
1,Plot01,MYRAUS,5,1.3
1,Plot01,MYRAUS,7,1.3
1,Plot01,MYRAUS,7,1.3
1,Plot01,MYRAUS,8,1.3
1,Plot01,MYRAUS,9,1.3
1,Plot01,MYRAUS,9,1.3
1,Plot01,MYRAUS,1,2.5
1,Plot01,MYRAUS,1,2.6
1,Plot01,MYRAUS,1,2.6
1,Plot01,MYRAUS,1,2.7
1,Plot01,MYRAUS,1,2.7
1,Plot01,MYRAUS,1,2.7
1,Plot01,MYRAUS,1,2.8
1,Plot01,MYRAUS,1,2.9
1,Plot01,MYRAUS,1,2.9
1,Plot01,MYRAUS,1,2.9
1,Plot01,MYRAUS,1,3.1
1,Plot01,MYRAUS,1,3.1
1,Plot01,MYRAUS,1,3.1
1,Plot01,MYRAUS,1,3.1
1,Plot01,MYRAUS,1,3.1
1,Plot01,MYRAUS,1,3.2
1,Plot01,MYRAUS,1,3.2
1,Plot01,MYRAUS,1,3.2
1,Plot01,MYRAUS,1,3.3
1,Plot01,MYRAUS,1,3.4
1,Plot01,MYRAUS,1,3.4
1,Plot01,MYRAUS,1,3.4
1,Plot01,MYRAUS,1,3.5
1,Plot01,MYRAUS,1,3.6
1,Plot01,MYRAUS,1,3.6
1,Plot01,MYRAUS,1,4
1,Plot01,MYRAUS,1,4.1
1,Plot01,MYRAUS,1,4.3
1,Plot01,MYRAUS,1,4.4
1,Plot01,MYRAUS,1,4.5
1,Plot01,MYRAUS,1,4.6
1,Plot01,MYRAUS,1,4.6
1,Plot01,MYRAUS,1,4.6
1,Plot01,MYRAUS,1,4.7
1,Plot01,MYRAUS,1,4.9
1,Plot01,MYRAUS,1,4.9
1,Plot01,MYRAUS,1,5.3
1,Plot01,MYRAUS,1,5.5
1,Plot01,MYRAUS,1,6
1,Plot01,MYRAUS,1,7.4
1,Plot01,MYRAUS,1,7.6
1,Plot01,NESLAN,1,1.3
1,Plot01,NESLAN,2,1.3
1,Plot01,OLEFUR,1,1.3
1,Plot01,OLEFUR,1,1.3
1,Plot01,OLEFUR,1,1.3
1,Plot01,OLEFUR,1,1.3
1,Plot01,OLEFUR,1,1.3
1,Plot01,OLEFUR,2,1.3
1,Plot01,OLERAN,1,3.3
1,Plot01,OLERAN,1,3.5
1,Plot01,PITUMB,1,5
1,Plot01,PITUMB,1,5.4
1,Plot01,PITUMB,1,5.5
1,Plot01,PITUMB,1,6.5
1,Plot01,PITUMB,1,6.8
1,Plot01,PITUMB,1,6.9
1,Plot01,PITUMB,1,8.4
1,Plot01,PITUMB,1,8.4
1,Plot01,PITUMB,1,10.2
1,Plot01,PITUMB,1,13.4
1,Plot01,PSEARB,1,1.3
1,Plot01,PSEARB,1,1.3
1,Plot01,PSEARB,2,1.3
1,Plot01,PSEARB,1,3.8
1,Plot01,PSEARB,1,4.4
1,Plot01,PSEARB,1,5.2
1,Plot01,PSEARB,1,5.3
1,Plot01,PSEARB,1,5.7
1,Plot01,PSEARB,1,10
1,Plot01,RHOSAP,1,1.3
1,Plot01,VITLUC,1,1.3
1,Plot01,VITLUC,1,3.2
2,Plot02,AGAAUS,1,1.3
2,Plot02,AGAAUS,1,1.3
2,Plot02,AGAAUS,1,1.3
2,Plot02,AGAAUS,1,1.3
2,Plot02,AGAAUS,1,1.3
2,Plot02,AGAAUS,2,1.3
2,Plot02,AGAAUS,2,1.3
2,Plot02,AGAAUS,3,1.3
2,Plot02,AGAAUS,3,1.3
2,Plot02,AGAAUS,3,1.3
2,Plot02,AGAAUS,3,1.3
2,Plot02,AGAAUS,4,1.3
2,Plot02,AGAAUS,4,1.3
2,Plot02,AGAAUS,5,1.3
2,Plot02,AGAAUS,6,1.3
2,Plot02,AGAAUS,1,2.6
2,Plot02,AGAAUS,1,2.7
2,Plot02,AGAAUS,1,2.9
2,Plot02,AGAAUS,1,3.1
2,Plot02,AGAAUS,1,3.2
2,Plot02,AGAAUS,1,3.5
2,Plot02,AGAAUS,1,3.7
2,Plot02,AGAAUS,1,3.9
2,Plot02,AGAAUS,1,4
2,Plot02,AGAAUS,1,4.1
2,Plot02,AGAAUS,1,4.2
2,Plot02,AGAAUS,1,4.7
2,Plot02,AGAAUS,1,4.8
2,Plot02,AGAAUS,1,5.8
2,Plot02,AGAAUS,1,6.2
2,Plot02,AGAAUS,1,6.4
2,Plot02,ALSMAC,1,1.3
2,Plot02,ALSMAC,1,1.3
2,Plot02,ALSMAC,1,1.3
2,Plot02,ALSMAC,2,1.3
2,Plot02,ALSMAC,2,1.3
2,Plot02,ALSMAC,2,1.3
2,Plot02,ALSMAC,3,1.3
2,Plot02,ALSMAC,4,1.3
2,Plot02,ALSMAC,6,1.3
2,Plot02,ALSMAC,6,1.3
2,Plot02,BEITAR,1,1.3
2,Plot02,BEITAR,1,1.3
2,Plot02,BEITAR,1,1.3
2,Plot02,BEITAR,3,1.3
2,Plot02,BEITAW,1,1.3
2,Plot02,BEITAW,1,1.3
2,Plot02,BEITAW,1,1.3
2,Plot02,BEITAW,2,1.3
2,Plot02,BEITAW,3,1.3
2,Plot02,BEITAW,3,1.3
2,Plot02,BEITAW,1,2.5
2,Plot02,BEITAW,1,4.6
2,Plot02,BEITAW,1,8.3
2,Plot02,COPARB,1,1.3
2,Plot02,COPARB,1,1.3
2,Plot02,COPARB,1,1.3
2,Plot02,COPARB,1,1.3
2,Plot02,COPARB,1,1.3
2,Plot02,COPARB,1,1.3
2,Plot02,COPARB,2,1.3
2,Plot02,COPARB,2,1.3
2,Plot02,COPARB,2,1.3
2,Plot02,COPARB,3,1.3
2,Plot02,COPARB,5,1.3
2,Plot02,COPARB,6,1.3
2,Plot02,COPARB,1,2.5
2,Plot02,COPARB,1,2.9
2,Plot02,COPARB,1,3
2,Plot02,COPARB,1,3
2,Plot02,COPARB,1,3.2
2,Plot02,COPARB,1,4.1
2,Plot02,COPARB,1,5.1
2,Plot02,COPARB,1,5.5
2,Plot02,COPARB,1,5.6
2,Plot02,COPARB,1,5.8
2,Plot02,COPARB,1,5.9
2,Plot02,COPARB,1,6.1
2,Plot02,COPARB,1,6.4
2,Plot02,COPARB,1,6.6
2,Plot02,COPARB,1,6.8
2,Plot02,COPARB,1,7.7
2,Plot02,COPARB,1,9
2,Plot02,COPARB,1,10
2,Plot02,COPARB,1,11.2
2,Plot02,COPARB,1,12.8
2,Plot02,COPARB,1,12.8
2,Plot02,COPARB,1,16.3
2,Plot02,COPARB,1,17
2,Plot02,COPGRA,1,1.3
2,Plot02,COPRHA,1,1.3
2,Plot02,COPRHA,1,1.3
2,Plot02,COPSPA,1,1.3
2,Plot02,COPSPA,1,1.3
2,Plot02,COPSPA,1,1.3
2,Plot02,COPSPA,1,1.3
2,Plot02,COPSPA,2,1.3
2,Plot02,COPSPA,3,1.3
2,Plot02,COPSPA,3,1.3
2,Plot02,COPSPA,4,1.3
2,Plot02,COPSPA,7,1.3
2,Plot02,COPSPA,8,1.3
2,Plot02,COPSPA,9,1.3
2,Plot02,COPSPA,10,1.3
2,Plot02,COPSPA,11,1.3
2,Plot02,COPSPA,12,1.3
2,Plot02,COPSPA,13,1.3
2,Plot02,COPSPA,1,2.7
2,Plot02,CYADEA,1,1.3
2,Plot02,CYADEA,1,1.3
2,Plot02,CYADEA,1,1.3
2,Plot02,CYADEA,1,1.3
2,Plot02,CYADEA,1,1.3
2,Plot02,CYADEA,2,1.3
2,Plot02,CYADEA,5,1.3
2,Plot02,CYADEA,1,7.4
2,Plot02,CYADEA,1,7.7
2,Plot02,CYADEA,1,8.4
2,Plot02,CYADEA,1,8.6
2,Plot02,CYADEA,1,9
2,Plot02,CYADEA,1,10.2
2,Plot02,CYADEA,1,10.2
2,Plot02,CYADEA,1,10.3
2,Plot02,CYADEA,1,10.3
2,Plot02,CYADEA,1,10.4
2,Plot02,CYADEA,1,10.5
2,Plot02,CYADEA,1,10.9
2,Plot02,CYADEA,1,11.4
2,Plot02,CYADEA,1,11.5
2,Plot02,CYADEA,1,11.9
2,Plot02,CYADEA,1,12.3
2,Plot02,CYADEA,1,12.4
2,Plot02,CYADEA,1,13.2
2,Plot02,CYADEA,1,13.3
2,Plot02,CYADEA,1,13.5
2,Plot02,CYADEA,1,14.1
2,Plot02,CYADEA,1,17.6
2,Plot02,DYSSPE,1,1.3
2,Plot02,DYSSPE,1,1.3
2,Plot02,DYSSPE,1,1.3
2,Plot02,DYSSPE,3,1.3
2,Plot02,DYSSPE,1,3.8
2,Plot02,GENLIG,1,1.3
2,Plot02,GENLIG,1,1.3
2,Plot02,GENLIG,1,1.3
2,Plot02,GENLIG,2,1.3
2,Plot02,GENLIG,2,1.3
2,Plot02,GENLIG,2,1.3
2,Plot02,GENLIG,3,1.3
2,Plot02,GENLIG,3,1.3
2,Plot02,GENLIG,3,1.3
2,Plot02,GENLIG,3,1.3
2,Plot02,GENLIG,4,1.3
