,CM30B,CM30B44,CM30B58,CM30B60,CM30C,CM30C28,CM30C30,CM30C35,CM30C37,CM30C39,CM30C44,CM30C46,CM30C51,CM30C53,CM30C58,CM30C60,CM30C62,CM30D12,CM30D3,CM31A5,LB1,LB5,Plot01,Plot02,Plot03,Plot04,Plot05,Plot06,Plot07,Plot08
AGAAUS,0,0,0,0,0,1,0,1,0,0,1,2,0,4,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0
BEITAR,11,0,0,0,0,0,0,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,1
BEITAW,1,0,2,3,1,6,8,0,0,2,0,0,0,0,0,2,1,2,18,0,19,9,0,0,0,17,0,0,0,10
BRAKIR,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRAREP,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
COPARB,1,1,0,0,0,0,0,0,0,0,1,3,4,0,0,1,4,0,0,3,2,0,6,6,1,0,24,15,0,0
COPGRA,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
COPLUC,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPMAC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CYADEA,1,1,7,0,18,1,0,0,11,4,6,32,13,1,0,25,12,3,1,11,4,0,3,17,16,0,7,4,36,0
CYAMED,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
DICSQU,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
DYSSPE,1,0,0,7,3,0,0,0,1,9,5,1,0,0,0,1,1,1,0,0,0,0,0,0,0,4,0,0,1,1
ELADEN,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUCEXC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HEDARB,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IXEBRE,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0
KNIEXC,0,0,0,0,1,1,0,0,4,1,0,1,0,2,0,0,0,1,0,0,0,3,0,1,0,0,1,1,1,2
KUNERI,0,16,0,0,9,0,0,12,0,0,1,0,16,0,40,19,2,0,0,29,1,0,25,7,0,0,4,8,0,0
LAUNOV,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEPSCO,0,9,0,0,0,0,0,11,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELMAC,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MELRAM,0,0,1,0,1,0,0,0,4,10,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,6,0
MELTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
METEXC,3,3,0,0,0,0,1,1,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0
METROB,5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0
MYRAUS,0,0,0,0,1,0,0,0,0,0,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,7,3
MYRSAL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,2
NESCUN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
NESLAN,0,0,0,0,0,1,0,0,0,0,1,7,6,0,0,0,5,0,0,0,0,0,0,6,3,0,1,3,1,0
