,CM30B,CM30B44,CM30B58,CM30B60,CM30C,CM30C28,CM30C30,CM30C35,CM30C37,CM30C39,CM30C44,CM30C46,CM30C51,CM30C53,CM30C58,CM30C60,CM30C62,CM30D12,CM30D3,CM31A5,LB1,LB5,Plot01,Plot02,Plot03,Plot04,Plot05,Plot06,Plot07,Plot08
AGAAUS,0,0,0.139741968222491,0,0.0349894881793563,3.23197234724275,0,0.796315197868673,0,0,0.278050584796782,12.4518791970899,0,47.0475687373188,0,0,0.0255058053563321,17.9826530637347,0,0,0,0.00331830724035422,0,0.706230028526985,31.619364295172,0,2.10184329497608,0,0,0
ALSMAC,0.00331830724035422,0,0.142687211335231,0.141175319870691,0.15700109286315,0.349639627390459,0.454804441469377,0.00331830724035422,0.00663661448070844,0.246516848536374,0.0132732289614169,0.348422260237193,0.029864765163188,0.0663661448070844,0,0.0199098434421253,0.0995492172106266,0.399316061225348,0.321875802314359,0.0165915362017711,0.305087916571739,0.797434390251514,0,0.0929126027299181,0.0696844520474386,0.0331830724035422,0.0862759882492097,0.0165915362017711,0.331830724035422,0.612512392679585
ARCRAC,0,0,0,0,0,0,0.00331830724035422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEITAR,4.97492795145437,0,0.0165129963854314,0.00331830724035422,0.078795070742849,0,0,0,11.2871926256338,14.3536423099405,0.700221732576995,0.00995492172106266,0.00663661448070844,0,0,0,0,0.00331830724035422,0,0,0,0.00331830724035422,0,0.0199098434421253,0,1.17204967923801,0.00995492172106266,4.96088895928364,0.104634670318625,0.472907869135689
BEITAW,1.84158197858025,0,1.34338428858317,5.76079735374986,0.371630775965588,5.31573184950661,15.8543614856063,0,0,2.19666048825224,0.151306956178518,0.0677798615011998,0.0260163141625405,0,0,1.71118624850219,0.83866779382988,2.04527499225738,9.39691596092286,0,32.705432510472,11.112952043084,0,0.225585987481832,0.0392895431239573,12.6976695523251,0.228963199584441,0,0.00331830724035422,14.6484022406636
BRAKIR,0,0,0.00663661448070844,0,0.0596706254641211,0.0265464579228338,0.278050584796782,0,0,0,0,0.0342629948782137,0,0.0232281506824795,0,0,0,0.00331830724035422,0.464150679613807,0,0,0.432872197756504,0,0,0.068643799480937,0,0,0,0,0.00331830724035422
BRAREP,0.65565038680419,0.0838216189885927,0,0.786458450918035,0.0132732289614169,0,0,0,0,0.00331830724035422,0.714299994655894,0,0.0132732289614169,0,0,0,0,0,0.00331830724035422,0,0,0,0.0347342337762521,0,0,0.029864765163188,0,0.0396429722974862,1.36201786000977,0
CARAUS,0.129099823108456,0.108031517375319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPARB,0.21237166338267,1.2466232348526,0.0929126027299181,0,0.0648542533425443,0,0.00331830724035422,0.13393002181335,0.00331830724035422,0,0.620012945140031,1.84038424638107,2.39177302699425,0.00995492172106266,0,0.225644892344087,1.9334146588355,0,0,1.40961298871166,0.513709303724186,0,4.57133147023851,3.29040597059952,0.846816299775129,0.00663661448070844,10.8791586447947,7.53744653917123,0,0
COPDOD,0,0,0,0,0,0,0.0431379941246048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPGRA,0.921213140802952,0,0.0221874981159779,1.84501809554512,0.179188590979128,0,0.475892382156599,0,0,0.328355337162388,0.0765174160689964,0.0463777615486193,0.0265464579228338,0,0,0,0,0.790326536872767,0.66646924650499,0,2.27068426515245,0.33075080156075,0,0.00331830724035422,0.00663661448070844,0.0242688032489812,0.0226980069221863,0.03540182221514,0.684553039217216,0.908018451657875
COPLUC,0,0,0.0429416445837555,0.132025431267111,0.10767808820179,0.00663661448070844,0,0.507524293187431,0,0,0,0,0.0240528187540469,0.0925984434645592,0,0,0.328473146886898,0,0.00331830724035422,0.0627140433472863,0,0.0331830724035422,0,0,0.203791188447553,0.00331830724035422,0.148616967468882,0,0,0
COPMAC,0,0,0,0,0,0,0,0,0,0,0,0.0779311327631118,0.0398196868842506,0,3.35176520211495,0,0,0,0,0,0,0,0.94499107019981,0,0,0,0,0.424291722821386,0,0
COPREP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331830724035422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COPRHA,0,0.0132732289614169,0.00663661448070844,0,0,0,0,0.00995492172106266,0,0,0,0,0.0862759882492097,0.0265464579228338,0,0,0.00331830724035422,0,0,0.00995492172106266,0,0,0.0165915362017711,0.00663661448070844,0,0,0,0,0,0
COPROB,1.51346226086688,1.74546887833449,0.0759283674464483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00331830724035422,0,0,0,0,0,0,0,0,0,0,0
COPROT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331830724035422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
