Plot	Elevation	Slope	Aspect	Physiography	Latitude	Longitude	ForestType	Species Richness	Maximum DBH	No. of Trees	Tree Density	No. of Saplings	Sapling Density
Plot01	50	18	270	Face	-36.22465404	175.06983478	VS2: Kanuka scrub/forest	40	39.8	171	0.43	234	0.59
Plot02	90	30	60	Face	-36.21832519	175.07036145	WF11: Kauri, podocarp, broadleaved forest	68	39.9	137	0.34	286	0.72
Plot03	160	36	120	Face	-36.21677479	175.07364205	WF12: Kauri, podocarp, broadleaved, beech forest	54	126.9	94	0.24	163	0.41
Plot04	260	40	260	Face	-36.21286308	175.07456182	WF9: Taraire, tawa, podocarp forest	54	149.0	91	0.23	169	0.42
Plot05	240	23	190	Face	-36.21538985	175.07534783	VS5: Broadleaved species scrub/forest	66	178.0	149	0.37	142	0.36
Plot06	320	20	210	Face	-36.21351260	175.07593790	WF9: Taraire, tawa, podocarp forest	41	598.0	134	0.34	132	0.33
Plot07	420	26	180	Face	-36.21177994	175.07884576	VS5: Broadleaved species scrub/forest	59	30.3	236	0.59	285	0.71
Plot08	460	34	280	Face	-36.21004661	175.07898392	VS5: Broadleaved species scrub/forest	60	51.3	139	0.35	314	0.79
CM30c30	597	40	295	Face	-36.20137316	175.07151175	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	60	55.1	127	0.32	269	0.67
LB1	630	40	336	Face	-36.19918691	175.07543552	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	54	60.0	149	0.37	208	0.52
CM31a5	70	8	90	Face	-36.22321630	175.06667013	VS2: Kanuka scrub/forest	29	33.4	178	0.45	320	0.80
CM30c62	99	38	102	Face	-36.21924386	175.07172715	VS5: Broadleaved species scrub/forest	36	81.9	126	0.32	137	0.34
CM30c60	51	30	170	Gully	-36.21998590	175.06060032	VS2: Kanuka scrub/forest	27	68.5	102	0.26	90	0.23
CM30c53	155	45	125	Face	-36.21504238	175.06605461	WF12: Kauri, podocarp, broadleaved, beech forest	51	107.0	113	0.28	371	0.93
CM30c46	319	30	154	Face	-36.21068309	175.07159036	WF11: Kauri, podocarp, broadleaved forest	32	78.0	89	0.22	187	0.47
CM30c39	0	32	105	Face	-36.20622987	175.07681160	WF9: Taraire, tawa, podocarp forest	52	97.5	103	0.26	213	0.53
CM30c58	9	0	x	Terrace	-36.21941154	175.05206419	VS3: Manuka, kanuka scrub	23	36.5	238	0.60	292	0.73
CM30c51	67	25	100	Face	-36.21564029	175.05489116	VS2: Kanuka scrub/forest	54	50.4	153	0.38	456	1.14
CM30c44	0	20	80	Face	-36.21106316	175.06054423	VS5: Broadleaved species scrub/forest	44	47.5	150	0.38	256	0.64
CM30c37	279	18	190	Face	-36.20641372	175.06567199	WF7: Puriri forest	38	121.8	80	0.20	95	0.24
CM30c35	165	5	250	Ridge	-36.20657661	175.05464298	VS3: Manuka, kanuka scrub	25	27.2	307	0.77	448	1.12
CM30c28	227	40	300	Face	-36.20201485	175.06045154	WF12: Kauri, podocarp, broadleaved, beech forest	41	63.5	93	0.23	123	0.31
CM30c	283	33	240	Face	-36.20401831	175.06292865	MF20: Hard beech forest	49	44.6	120	0.30	155	0.39
LB5	634	18	80	Ridge	-36.19332887	175.09142759	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	49	79.9	136	0.34	343	0.86
CM30d12	371	22	58	Gully	-36.19212957	175.10430617	WF11: Kauri, podocarp, broadleaved forest	53	95.7	100	0.25	205	0.51
CM30d3	518	25	180	Face	-36.18768674	175.09860527	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	52	30.5	192	0.48	245	0.61
CM30b60	51	30	170	Gully	-36.21998590	175.06060032	WF9: Taraire, tawa, podocarp forest	44	51.0	202	0.51	255	0.64
CM30b58	9	0	x	Terrace	-36.21941154	175.05206419	MF20: Hard beech forest	49	41.1	107	0.27	169	0.42
CM30b44	123	40	306	Face	-36.21106316	175.06054423	VS3: Manuka, kanuka scrub	42	38.6	234	0.59	393	0.98
CM30b	80	55	68	Face	-36.17375552	175.10042373	WF9: Taraire, tawa, podocarp forest	54	124.5	293	0.73	280	0.70
