,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706103.8432,9,13,13112,576,1325,306,2220,925,6626,674,620,516,78,2404,2191,4407,4211,15685,688,1291
SRR1706083.15526,10,2458,4366,4360,47,488,1004,811,1223,12820,13723,5686,36,16,478,33,3022,245,1478,88
SRR1706058.6847,967,808,1852,4093,55,11918,0,0,6920,919,186,2030,0,2,0,0,0,1,0,0
SRR1706123.5675,0,56,1558,14,240,435,515,252,223,261,811,986,233,23,85,415,2637,1630,2660,255
SRR1706083.25897,28,437,249,117,21,486,456,53,548,702,1296,309,72,5,107,23,1697,234,348,1098
SRR1706048.19934,653,8,1165,1025,1,711,6,0,609,371,309,1195,1,0,0,0,0,0,0,0
SRR1706083.29204,0,0,0,0,0,956,1963,332,664,1731,1127,2,7,0,0,0,0,0,0,3
SRR1706043.39281,95,0,7581,470,939,491,1209,571,1194,226,752,280,13,26,1333,123,757,1103,1818,54
SRR1706113.3565,0,0,56,4,0,11,44,25,15,1,0,10,0,6,10,38,3279,252,1109,190
SRR1706038.2308,72,2084,188,79,18,25,265,72,155,1804,643,566,98,11,116,32,104,199,211,85
SRR1706093.5440,0,0,764,193,93,46,0,0,28,284,203,4,164,698,118,86,0,303,0,6
SRR1706093.2209,3,0,1092,186,100,56,1046,147,9,715,4264,313,1927,928,187,50,1054,269,2440,645
SRR1706038.12468,309,1792,774,1167,2,35,218,13,154,1507,91,2620,25,0,11,8,252,22,106,0
SRR1706073.45272,0,0,158,123,8,245,192,243,250,295,178,85,24,24,64,17,255,167,635,91
SRR1706113.23075,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,2582,0,0,0
SRR1706048.28450,0,0,0,2506,0,0,0,8,78,42,21,0,3,0,0,0,0,0,0,0
SRR1706113.28486,311,5,289,115,3,7,221,7,343,368,300,86,1,15,19,0,532,0,1,4
SRR1706103.3699,236,416,2337,1314,245,778,504,376,2399,1089,1397,2322,885,471,546,178,1567,1003,829,117
SRR1706048.9135,0,346,345,1121,49,6,48,13,156,289,41,155,924,74,66,0,0,6,2,0
SRR1706088.26349,363,22,715,287,92,222,395,63,360,889,787,197,107,61,104,10,272,70,627,37
SRR1706063.39,62,0,432,85,1,4,316,37,220,7,31,177,13,0,0,0,392,18,1293,0
SRR1706088.17009,13,115,152,206,4,79,78,49,162,130,109,764,15,0,12,9,10,56,5,0
SRR1706113.42322,0,0,0,0,0,27,0,0,0,0,0,0,11,1,0,0,588,186,564,28
SRR1706068.12249,1,44,330,8,0,2,134,93,119,147,72,32,36,8,16,21,163,79,0,52
SRR1706043.17468,0,0,677,0,82,0,256,0,0,0,0,0,0,0,25,66,5,234,121,13
SRR1706068.3322,0,0,6992,238,831,3,671,1416,1203,17,66,3,13,116,552,23,171,70,18,0
SRR1706038.16078,0,652,0,0,0,0,319,70,3,556,83,4,0,0,0,0,195,3,0,0
SRR1706063.34503,0,0,0,0,0,0,1785,0,16,0,6,0,0,0,0,0,0,0,0,0
SRR1706063.16054,57,329,365,470,28,334,149,64,220,326,81,35,7,34,65,5,33,12,66,16
SRR1706093.317,0,31,252,85,7,24,141,70,164,42,223,22,1084,54,53,19,772,53,11,4
SRR1706128.2899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,165,0,882
SRR1706083.16059,8,188,0,11,0,0,27,0,70,513,193,13,0,0,0,0,0,0,0,0
SRR1706073.13981,0,54,262,24,20,0,59,25,123,117,200,129,24,36,15,0,1,0,7,0
SRR1706083.10954,14,0,17,45,0,42,52,11,211,15,404,73,14,1,7,2,113,21,44,23
SRR1706113.30176,0,0,0,7,0,0,0,13,0,0,5,0,0,15,10,25,647,227,17,0
SRR1706118.6637,526,210,99,188,2,269,0,3,160,450,173,931,0,0,32,260,0,861,27,2
SRR1706058.18135,11,53,125,66,16,78,25,19,140,100,324,126,40,5,47,10,7,53,0,7
SRR1706083.10306,0,0,0,0,0,0,0,0,0,0,1048,0,0,0,0,4,5,26,3,0
SRR1706123.20632,0,1,120,184,1,0,160,276,27,41,31,0,0,19,0,13,293,319,583,43
SRR1706073.44721,2,480,197,630,33,35,316,294,652,510,112,156,1,4,17,20,499,115,372,26
SRR1706078.26055,0,0,175,0,17,17,2,0,39,214,170,23,3,0,4,10,144,40,0,16
SRR1706078.17667,2,104,394,43,44,0,0,0,55,87,4,20,0,1,69,28,0,70,0,0
SRR1706078.2014,0,0,11,0,0,345,26,0,104,586,367,0,48,116,16,0,23,0,3,0
SRR1706128.3465,0,4,65,5,4,0,8,0,59,172,815,42,48,23,143,22,212,98,68,86
SRR1706038.11298,22,225,184,87,17,5,21,10,50,445,264,20,50,39,32,41,0,157,0,2
SRR1706113.15380,0,6,4,6,0,0,256,12,165,45,244,363,2,1,36,8,99,51,249,50
SRR1706078.49710,47,160,214,91,29,210,369,77,158,235,256,234,35,14,21,6,29,16,38,14
SRR1706063.32028,0,0,0,0,0,0,1054,0,0,0,0,0,0,0,0,0,0,1,0,0
SRR1706118.34193,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,141,0,488,0,0
SRR1706108.289,0,0,132,29,12,200,3,21,58,25,79,128,1,0,0,27,60,69,45,0
SRR1706043.26180,68,544,404,370,6,374,572,180,449,631,653,138,49,20,60,36,128,321,175,39
SRR1706048.33726,0,21,0,270,0,248,8,8,16,170,128,60,0,0,0,0,132,0,380,1
SRR1706118.22543,0,0,23,11,3,99,0,17,130,5,176,57,1,0,11,33,54,111,66,20
SRR1706118.25199,0,0,5,7,0,0,0,0,0,0,0,0,9,0,0,178,0,687,0,0
SRR1706113.23661,4,31,100,59,8,57,281,72,92,54,136,41,5,19,9,13,129,76,29,5
SRR1706058.31844,19,34,111,118,4,279,89,2,154,50,67,63,19,7,9,17,187,66,85,28
SRR1706038.22535,0,305,0,0,0,0,0,0,0,258,0,3,0,0,0,0,0,0,0,0
SRR1706043.23772,0,0,595,183,77,4,0,0,0,56,49,0,0,6,7,0,33,0,0,0
SRR1706078.34685,12,91,0,28,0,7,342,34,22,137,111,0,0,0,4,2,30,9,13,12
SRR1706068.12651,0,0,0,0,0,0,279,116,0,70,42,0,0,0,0,0,0,0,0,0
SRR1706043.74461,0,0,312,0,0,0,0,0,266,0,3,0,0,0,1,0,0,195,0,0
SRR1706108.5590,0,1,14,17,4,27,103,22,152,20,48,4,10,0,82,212,27,688,6,5
SRR1706103.9125,0,5,9,1,1,7,222,29,70,39,156,267,3,1,16,13,112,103,73,10
SRR1706118.40253,0,1,77,10,13,40,0,0,37,2,1,0,1,0,13,4,6,197,101,28
SRR1706048.34630,0,209,0,20,0,116,80,14,45,183,52,15,2,1,1,2,91,14,79,18
SRR1706043.62550,0,0,280,6,0,11,185,29,160,0,0,0,2,0,150,0,0,0,0,0
SRR1706118.1563,0,0,0,5,0,0,140,0,104,0,36,0,0,0,0,119,1,372,3,1
SRR1706113.30255,0,0,0,0,0,12,110,0,10,18,10,0,0,0,11,0,315,0,17,0
SRR1706063.16718,19,121,0,0,0,0,147,8,12,114,112,0,0,0,0,0,0,0,0,0
SRR1706113.30155,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,535,17,0,0
SRR1706078.11038,0,0,0,0,0,0,0,0,6,329,222,0,0,0,0,0,0,0,0,0
SRR1706113.7474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525,6,22,0
SRR1706083.14698,4,17,158,27,8,242,42,31,62,31,280,34,20,19,27,25,116,63,23,30
SRR1706048.33120,0,0,5,336,0,2,3,0,58,0,1,0,0,0,0,0,0,0,0,0
SRR1706078.23967,0,0,31,3,3,0,0,0,3,33,139,247,3,0,6,0,0,0,1,0
SRR1706093.4893,0,0,0,10,0,0,0,0,0,0,0,0,325,0,0,0,0,0,0,0
SRR1706118.39480,0,0,9,0,2,0,0,0,13,0,0,0,1,0,0,153,0,611,0,0
SRR1706108.2394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,13,333,50,8,0
SRR1706123.22419,0,0,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,117,400,0
SRR1706088.16862,0,0,10,0,0,0,0,0,101,2,4,282,0,0,0,0,0,0,0,0
SRR1706048.25457,1,111,16,97,0,55,10,4,139,101,1,21,1,0,1,2,23,24,55,1
SRR1706073.40230,249,3,502,84,8,16,249,302,11,36,1264,253,149,88,106,11,200,110,143,102
SRR1706043.13260,0,0,416,0,71,0,0,0,58,0,0,0,0,0,0,1,0,63,0,0
SRR1706043.11026,0,0,181,0,1,0,0,0,0,128,95,0,0,0,0,0,0,0,0,0
SRR1706078.47372,0,0,0,0,0,1,34,17,129,101,47,13,0,0,1,0,0,0,0,0
SRR1706068.11532,0,0,0,0,0,6,5,358,6,0,0,0,0,0,0,1,0,5,0,0
SRR1706048.33673,0,4,12,375,1,93,66,51,177,36,76,48,0,0,0,12,0,41,1,5
SRR1706048.27784,0,0,0,117,0,0,0,0,17,0,0,0,0,0,0,0,0,0,178,4
SRR1706048.16330,0,0,5,336,0,5,0,42,10,1,0,0,0,0,5,0,0,3,5,0
SRR1706108.1721,0,0,7,0,0,74,0,0,89,6,56,25,0,1,0,7,11,16,18,16
SRR1706113.7556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,0,2,0
SRR1706038.20818,41,77,35,0,3,0,8,0,0,91,34,0,6,19,4,0,0,0,0,0
SRR1706068.2014,3,0,51,67,6,227,3,22,25,8,35,36,2,6,3,0,31,11,10,0
SRR1706118.5482,0,0,53,12,7,0,0,0,22,40,169,0,9,8,5,8,0,25,0,0
SRR1706103.322,0,0,0,0,0,0,55,0,0,3,1,0,0,0,196,0,0,0,0,0
SRR1706063.30952,0,0,0,0,0,0,1078,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706123.14733,0,0,9,0,0,0,99,64,5,83,39,0,1,0,0,0,0,0,4,3
SRR1706038.21337,0,81,1,10,0,5,6,5,16,137,30,0,2,0,0,0,0,0,0,0
SRR1706058.13961,0,0,23,10,1,249,0,1,18,2,0,12,0,0,1,0,0,0,0,0
SRR1706083.49012,0,0,0,131,0,23,2,0,0,146,86,0,0,0,38,1,0,2,0,0
SRR1706063.32555,0,0,0,0,0,0,227,0,10,1,3,0,0,0,0,5,0,7,0,0
SRR1706043.33222,14,160,93,64,7,42,76,15,100,179,91,78,15,3,12,14,6,58,29,21
SRR1706063.35680,0,0,57,7,5,2,89,0,52,30,225,0,3,19,32,8,43,35,26,4
SRR1706078.20351,2,169,0,9,0,5,1,0,29,134,10,7,2,0,1,0,0,0,0,0
SRR1706103.2380,1,42,439,369,58,50,777,735,199,198,208,332,38,6,197,34,223,91,138,56
SRR1706078.38017,10,54,27,12,0,30,164,7,18,50,16,23,0,12,4,0,36,20,38,8
SRR1706043.54273,0,30,591,56,59,286,261,81,474,110,273,51,12,1,47,40,34,160,95,3
SRR1706113.31360,0,0,0,0,0,28,0,0,0,0,0,0,0,55,10,41,433,229,120,8
SRR1706113.15647,0,0,34,14,3,3,3,13,9,1,11,5,36,0,57,5,363,33,117,16
SRR1706038.3217,0,259,0,0,0,0,0,0,0,202,0,0,0,0,0,0,0,0,0,1
SRR1706078.45687,0,43,0,0,0,0,11,0,0,154,98,1,0,0,0,0,0,0,0,0
SRR1706083.40718,0,0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0
SRR1706123.14920,3,29,64,41,6,163,30,9,0,33,8,0,1,0,0,10,99,42,176,11
SRR1706073.14687,0,0,1,3,0,0,1,10,302,0,0,0,0,0,12,0,55,0,0,0
SRR1706043.11731,18,8,28,14,4,9,7,2,14,38,93,6,10,22,7,0,13,2,37,1
SRR1706073.3136,0,0,1,81,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0
SRR1706058.32390,1,1,21,9,2,269,1,0,0,2,10,5,1,0,0,0,0,0,0,0
SRR1706123.11846,0,0,15,40,2,0,1,0,0,15,13,0,2,0,0,0,0,0,301,0
SRR1706063.26965,0,0,0,0,0,11,271,0,14,6,24,0,3,0,0,0,0,0,0,0
SRR1706123.23540,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,228,11
SRR1706063.42088,0,16,8,0,0,28,36,3,59,33,12,11,0,0,0,0,6,0,109,0
SRR1706048.12563,3,0,56,24,0,9,0,0,96,15,39,9,2,0,2,3,26,15,10,5
SRR1706073.155,3,42,71,54,8,72,19,0,55,30,13,30,3,7,2,10,0,35,13,0
SRR1706083.37194,0,0,52,0,4,17,1,0,32,23,25,0,0,0,0,0,0,0,112,0
SRR1706123.10140,0,0,1,0,0,0,0,0,15,1,7,0,1,0,7,7,170,28,157,29
SRR1706073.1529,0,2,3,0,0,3,7,6,18,4,3,3,1,3,5,11,152,14,42,8
SRR1706058.5137,0,0,7,0,1,41,0,0,0,7,131,12,6,0,10,0,23,10,2,1
SRR1706043.23380,0,57,240,10,35,1,3,2,27,31,46,40,3,9,0,10,14,18,28,0
SRR1706078.21127,3,75,73,39,1,9,2,0,2,63,14,24,1,0,0,0,0,0,1,4
SRR1706118.35403,0,0,157,59,15,53,6,45,181,49,41,5,15,6,44,46,33,164,124,37
SRR1706093.2307,0,4,12,4,0,1,164,8,27,8,3,10,152,0,2,14,0,41,0,0
SRR1706068.13534,0,0,0,0,0,0,29,173,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706043.29893,8,46,16,29,0,2,6,1,66,43,1,35,0,0,2,0,0,0,0,0
SRR1706063.37519,0,0,0,0,0,0,219,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706043.77607,0,3,178,0,0,0,63,0,44,9,3,0,0,0,0,3,0,5,0,0
SRR1706038.6464,15,89,5,16,0,2,0,14,0,92,0,0,0,86,0,0,0,5,0,0
SRR1706123.15373,0,0,8,5,0,43,24,0,15,8,93,14,0,9,6,3,191,63,97,42
SRR1706048.15080,3,0,55,382,1,42,2,0,100,3,10,20,12,9,5,4,0,12,0,0
SRR1706083.2596,0,0,0,0,0,0,13,6,50,0,140,0,0,0,0,0,0,0,0,0
SRR1706098.3644,1,0,48,40,3,0,0,0,2,4,80,0,21,30,10,0,0,0,1,0
SRR1706063.8874,0,13,13,40,0,67,130,83,28,36,164,7,67,10,4,3,34,13,29,14
SRR1706088.30302,0,100,0,0,0,0,9,21,0,97,22,3,0,0,0,0,0,0,0,0
SRR1706073.39453,0,0,0,0,0,0,0,0,71,1,1,141,1,0,0,0,0,0,0,0
SRR1706063.23044,0,5,3,4,0,0,201,7,35,15,18,1,12,0,0,0,0,0,3,2
SRR1706048.1788,6,129,62,79,3,85,124,14,163,146,100,62,5,3,3,1,91,8,43,19
SRR1706073.30500,0,0,0,0,0,0,27,0,20,7,143,0,0,0,0,0,35,5,1,3
SRR1706073.6431,0,0,13,15,0,25,106,3,80,12,44,2,0,0,0,2,9,36,58,5
SRR1706103.6431,0,0,0,0,0,0,77,0,16,0,0,17,0,0,8,15,0,49,0,2
SRR1706063.40211,0,3,0,4,0,0,206,0,16,4,0,0,0,0,1,0,0,0,0,1
SRR1706048.22633,0,0,0,26,0,3,3,1,103,0,0,0,6,11,0,10,0,26,0,0
SRR1706043.80576,0,0,14,0,0,0,0,0,0,0,0,0,0,8,4,6,63,54,66,0
SRR1706063.23057,0,0,0,0,0,0,124,42,30,2,0,0,0,0,0,0,0,0,0,0
SRR1706118.33299,0,20,35,20,2,101,15,29,71,25,174,3,4,15,8,1,56,23,75,27
SRR1706058.25351,0,0,52,4,1,123,0,0,0,3,3,13,1,6,8,0,0,0,0,0
SRR1706073.3574,0,5,6,11,0,0,4,0,49,6,147,0,0,0,0,0,0,0,0,0
SRR1706113.34608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,4,112,64,8,0
SRR1706063.25831,0,12,0,0,0,1,104,22,4,24,25,0,1,0,7,0,10,0,18,19
SRR1706058.26557,0,23,3,0,0,117,60,7,29,14,12,0,0,0,0,0,0,0,0,0
SRR1706118.10362,0,0,14,0,0,0,0,0,30,0,6,11,1,1,3,1,55,31,4,10
SRR1706088.25916,0,0,12,5,0,34,2,6,24,21,11,250,1,0,0,0,18,0,0,0
SRR1706058.7431,0,0,92,127,9,91,0,0,75,9,19,6,24,1,11,0,0,4,0,0
SRR1706063.9697,0,119,3,6,0,9,70,80,13,116,16,13,47,6,3,1,0,5,0,12
SRR1706038.9424,0,135,114,112,9,10,37,26,37,179,71,16,2,4,4,3,110,14,100,1
SRR1706113.10698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,7,44,0
SRR1706118.5037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,145,0,0
SRR1706063.31537,0,0,0,0,0,4,191,34,28,0,3,0,0,0,0,1,41,9,29,0
SRR1706043.47573,0,0,19,0,6,0,65,3,55,0,4,0,0,0,0,0,6,0,0,3
SRR1706073.37775,0,0,21,0,1,0,0,0,78,0,0,0,0,0,5,0,26,6,1,0
SRR1706068.14312,0,7,0,0,0,0,123,146,0,0,1,29,0,0,0,0,0,0,0,0
SRR1706073.9781,0,2,51,0,4,0,34,18,40,82,57,4,0,2,4,0,12,0,3,0
SRR1706128.3683,0,0,97,9,13,96,50,58,50,8,13,83,100,23,22,0,0,9,0,4
SRR1706113.7598,0,0,46,9,1,29,29,0,26,1,0,2,0,0,5,16,81,113,27,6
SRR1706083.49349,0,72,63,0,0,0,0,0,4,83,23,11,0,0,0,0,0,0,0,0
SRR1706033.4022,191,0,8,99,0,24,135,48,90,24,79,7,3,0,13,37,313,108,29,9
SRR1706063.1048,0,6,41,7,4,0,225,22,10,46,121,9,24,17,13,2,2,0,0,0
SRR1706118.24569,8,0,27,16,0,0,14,4,34,36,16,0,0,0,2,1,0,5,0,0
SRR1706083.16983,0,26,0,0,0,0,2,0,18,13,117,9,0,0,0,0,0,0,0,0
SRR1706063.18451,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706108.7412,0,0,0,0,0,0,64,2,40,0,0,0,0,0,1,4,0,16,16,0
SRR1706063.15295,2,59,5,21,0,3,83,0,9,74,25,15,0,0,2,5,6,22,43,1
SRR1706078.13548,0,0,0,0,0,0,0,0,0,109,62,0,0,0,0,0,0,0,0,0
SRR1706048.405,0,0,4,74,0,15,1,2,1,1,2,1,0,2,1,0,5,1,21,0
SRR1706123.6841,0,17,6,8,2,16,62,21,46,22,27,9,3,6,1,0,28,0,207,8
SRR1706128.4709,0,13,6,44,0,20,39,15,23,23,47,18,3,0,0,3,11,22,29,8
SRR1706073.46495,0,0,0,0,0,0,39,0,4,42,23,0,0,0,3,0,0,0,0,0
SRR1706048.23737,0,0,0,114,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0
SRR1706123.12872,0,0,32,0,4,3,0,0,0,0,0,0,0,0,0,0,28,4,72,5
SRR1706123.16106,0,0,0,0,0,0,0,0,0,1,7,0,0,0,5,0,0,54,59,8
SRR1706123.9878,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,110,8
SRR1706078.380,0,65,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0
SRR1706113.38532,1,10,0,21,0,32,12,0,25,18,5,0,0,2,0,0,64,0,29,0
SRR1706038.22004,6,43,12,8,1,33,96,73,31,30,33,8,0,0,5,2,43,5,0,7
SRR1706078.9200,0,37,0,0,0,0,21,0,0,35,40,12,0,0,0,0,0,0,0,0
SRR1706113.3530,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,31,0,70,3
SRR1706083.56228,0,0,0,0,0,0,0,0,0,0,179,0,0,0,1,0,0,0,0,0
SRR1706078.28682,0,25,15,15,2,17,19,10,23,41,28,0,3,6,2,0,2,1,7,0
SRR1706063.17396,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706123.17735,0,10,20,0,3,26,11,0,9,4,4,1,0,0,6,0,54,2,79,4
SRR1706073.43378,0,0,2,0,0,0,0,0,124,1,4,0,0,0,0,0,5,0,0,0
SRR1706068.5256,0,0,0,0,0,0,64,8,3,7,13,3,0,0,1,0,0,1,0,1
SRR1706073.43469,1,36,29,22,2,35,8,2,22,35,15,9,0,3,0,1,0,2,4,2
SRR1706043.24783,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
SRR1706068.5156,0,3,9,19,0,0,11,16,51,1,0,0,0,0,5,0,0,0,0,0
SRR1706078.37834,0,63,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0
SRR1706118.778,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,91,0,0
SRR1706088.27675,0,4,11,1,0,21,2,2,14,14,80,11,1,0,4,0,0,2,0,4
SRR1706083.12436,0,0,8,0,2,15,1,0,72,0,9,0,0,2,0,0,0,0,0,0
SRR1706043.32963,0,31,53,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
SRR1706073.40798,2,7,12,22,0,35,55,4,146,41,29,8,3,5,4,0,17,3,36,3
SRR1706113.11860,0,0,19,1,3,21,0,0,0,5,9,1,0,3,0,5,27,28,13,4
SRR1706073.5545,0,0,0,0,0,0,0,6,14,0,99,3,0,2,2,0,0,0,0,0
SRR1706078.3052,0,0,0,0,0,0,32,0,60,9,3,0,0,0,0,0,0,0,0,0
SRR1706073.41741,1,13,3,27,0,14,44,47,165,22,31,5,0,2,3,3,11,8,33,20
SRR1706128.7493,0,33,0,0,0,0,9,0,0,34,24,0,0,0,2,0,0,0,0,78
SRR1706098.5511,0,0,95,9,12,13,1,1,8,92,105,33,9,4,22,3,26,19,22,6
SRR1706123.21918,0,0,0,6,0,0,80,10,15,0,0,14,6,2,1,14,34,24,55,11
SRR1706123.21212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,102,1
SRR1706073.17427,0,12,3,14,0,15,11,0,34,17,21,0,3,0,4,1,9,17,26,11
SRR1706093.3723,0,0,1,0,0,0,0,0,0,0,30,0,1,22,3,0,0,0,55,0
SRR1706118.34529,0,1,4,0,0,0,0,4,53,8,1,0,0,0,3,10,33,60,16,0
SRR1706078.16705,0,19,4,0,0,0,8,1,2,25,4,0,0,0,0,1,18,2,30,0
SRR1706048.2999,2,0,20,12,1,6,6,2,12,5,16,3,1,1,0,0,8,12,2,2
SRR1706048.29611,463,69,1448,1218,7,170,1,0,557,44,3,1728,0,0,0,2,2,34,5,0
SRR1706073.20531,0,0,0,0,0,0,15,8,21,1,33,14,0,0,4,1,0,4,2,0
SRR1706063.23727,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706043.40452,0,0,38,0,0,0,0,0,42,0,0,0,0,0,0,0,0,13,0,0
SRR1706098.4552,0,0,2,0,1,0,0,0,0,0,2,0,0,183,0,0,0,18,0,0
SRR1706053.1443,0,6,14,0,3,7,29,0,31,16,3,0,0,0,0,0,0,0,0,0
SRR1706073.6650,0,20,6,16,0,12,3,0,17,24,40,7,7,1,5,0,0,0,0,1
SRR1706078.45397,0,0,16,0,1,0,0,0,0,36,34,0,0,0,0,6,0,29,0,0
SRR1706083.2430,1,0,7,7,1,6,0,0,8,8,37,3,2,1,0,8,0,14,3,8
SRR1706063.31852,0,0,0,0,0,0,104,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706123.15927,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,95,0
SRR1706078.18389,1,8,1,33,0,0,15,4,87,17,1,0,0,0,0,2,0,12,0,0
SRR1706083.34365,0,37,1,8,0,15,76,27,41,32,109,0,0,0,7,0,2,20,30,0
SRR1706073.19016,0,0,15,4,0,0,7,1,34,3,0,11,1,0,2,16,4,68,2,2
SRR1706073.20652,0,0,45,0,0,53,4,0,68,0,0,0,0,0,0,0,0,0,0,0
SRR1706083.17300,0,9,19,0,1,9,6,0,0,9,100,0,0,2,0,0,4,18,0,5
SRR1706118.40734,0,10,30,0,0,1,61,16,4,16,7,2,1,5,6,2,123,35,94,24
SRR1706043.80453,0,10,10,0,0,10,5,0,17,4,6,10,2,0,1,0,30,0,3,4
SRR1706063.5302,4,33,0,0,0,0,16,10,21,38,10,0,1,0,0,0,12,0,19,9
SRR1706103.6125,0,0,10,0,0,93,0,0,0,0,6,0,0,3,6,1,0,9,2,0
