OTUId	CM30b51-B	CM30b51-M	CM30b58-C	CM30b58-I	CM30b60-E	CM30b60-M	CM30c-O	CM30c-P	CM30c28-N	CM30c28-P	CM30c30-L	CM30c30-N	CM30c35-B	CM30c35-D	CM30c37-E	CM30c37-L	CM30c39-A	CM30c39-E	CM30c44-B	CM30c44-C	CM30c46-D	CM30c46-O	CM30c51-H	CM30c51-I	CM30c53-B	CM30c53-I	CM30c60-A	CM30c60-B	CM30c62-D	CM30c62-M	CM30d12-H	CM30d12-L	CM30d3-D	CM30d3-L	CM31a5-A	CM31a5-B	LB1-A	LB1-E	LB5-A	LB5-I	Plot1-B	Plot1-L	Plot2-C	Plot2-M	Plot3-H	Plot3-N	Plot4-A	Plot4-N	Plot5-I	Plot5-N	Plot6-I	Plot6-N	Plot7-M	Plot7-N	Plot8-I	Plot8-O
OTU_19;size=10019;	0	0	0	0	0	0	0	0	0	10004	0	0	0	0	5	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_6457;size=231;	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_14103;size=4;	0	0	0	0	0	0	0	0	1	11	0	0	2	12	0	0	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_316;size=514;	18	170	43	2	12	0	0	1	0	2	0	0	3	0	1	15	0	0	0	0	5	13	2	0	1	0	0	0	0	0	0	20	31	2	40	99	0	4	0	2	0	0	0	0	0	0	0	3	8	4	1	2	0	1	2	6
OTU_395;size=578;	0	0	0	0	0	0	0	0	0	287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_122;size=2539;	132	82	216	180	9	9	74	63	25	49	10	6	85	43	19	77	5	6	8	15	9	78	40	6	34	57	9	33	5	113	15	36	52	168	42	12	19	57	27	87	39	44	5	38	10	32	36	24	28	28	60	31	0	4	17	27
OTU_13;size=13068;	0	2	0	0	1	0	0	0	0	876	28	5961	0	0	1	0	0	0	0	0	0	1	0	0	671	1230	0	0	0	6	520	0	0	1	0	0	9	65	40	0	0	0	0	0	0	1	43	3107	1	0	0	0	0	0	503	0
OTU_13617;size=22;	1	2	8	0	0	0	1	2	29	810	3	1	23	95	1	0	0	3	0	3	1	11	1	1	617	361	0	0	2	23	0	1	0	0	2	2	4	1	4	18	0	0	0	19	4	0	0	0	3	1	1	0	2	1	8	0
OTU_1041;size=174;	62	0	0	3	2	0	5	1194	0	1014	0	0	1	9	92	0	0	0	2	0	0	0	1	0	0	0	1	0	7	0	0	0	1	1	0	1	0	0	0	0	2	1	0	3	0	0	7	0	1	1	0	0	0	1	0	0
OTU_10625;size=655;	123	7	34	92	14	47	5	42	54	116	1	111	92	10	5	177	12	4	1	18	14	197	0	0	21	20	0	1	0	0	15	34	415	10	1	5	15	11	30	5	0	0	7	21	0	86	4	4	85	108	1	20	6	17	6	4
