Group,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,CM30c30,LB1
Otu001,0,0,0,0,0,0,1,0,0,0
Otu002,0,0,0,0,0,0,0,0,0,0
Otu003,0,0,0,0,0,0,0,1,0,0
Otu004,0,0,0,0,0,0,1,0,0,0
Otu005,0,0,0,0,0,0,0,0,0,0
Otu006,0,0,0,0,0,0,0,0,0,0
Otu007,0,0,0,0,0,0,0,0,0,0
Otu008,0,0,0,0,0,0,0,0,0,0
Otu009,0,0,0,0,0,0,0,0,0,0
Otu010,0,0,0,0,0,0,0,0,0,0
Otu011,0,0,0,0,0,0,0,0,0,0
Otu012,0,0,0,0,0,0,0,0,0,0
Otu013,0,0,0,0,0,0,0,0,0,0
Otu014,0,0,0,0,0,0,0,0,0,0
Otu015,0,0,0,0,0,0,0,0,0,0
Otu016,0,0,0,1,0,0,0,0,0,0
Otu017,0,0,0,0,0,1,0,0,0,0
Otu018,0,0,0,0,0,0,0,1,0,0
Otu019,0,0,0,0,0,0,0,0,0,0
Otu020,0,0,0,0,0,0,0,0,0,0
Otu021,0,0,0,0,0,1,0,0,0,0
Otu022,0,0,0,0,0,2,0,0,0,0
Otu023,0,0,0,0,0,0,0,0,0,0
Otu024,0,0,0,0,1,0,0,0,0,0
Otu025,0,0,0,0,0,0,0,0,0,0
Otu026,0,0,0,0,0,0,0,0,0,0
Otu027,1,3,1,12,3,3,2,0,0,2
Otu028,0,2,0,0,0,1,0,0,0,0
Otu029,0,1,0,0,0,0,0,0,0,0
Otu030,0,0,1,0,0,0,0,0,0,0
Otu031,0,0,0,0,0,2,0,0,1,0
Otu032,0,0,0,0,0,1,0,0,0,0
Otu033,0,1,0,1,0,1,0,0,0,0
Otu034,0,0,0,0,0,1,0,0,0,0
Otu035,0,1,0,0,0,0,0,0,0,0
Otu036,0,1,0,0,0,0,0,0,0,0
Otu037,0,0,0,0,0,2,0,0,0,0
Otu038,0,0,0,4,0,0,0,0,0,0
Otu039,0,2,0,0,0,0,0,0,0,0
Otu040,0,0,0,1,0,4,0,1,0,0
Otu041,0,0,0,0,6,0,0,2,0,0
Otu042,0,0,0,0,0,0,0,0,1,0
Otu043,0,0,0,0,0,0,0,0,0,0
Otu044,0,1,1,1,0,0,1,0,0,1
Otu045,1,1,0,1,0,0,0,0,0,0
Otu046,0,0,0,2,0,0,0,0,0,0
Otu047,0,1,0,0,0,0,0,0,0,0
Otu048,0,0,0,1,0,0,0,0,0,0
Otu049,0,0,0,0,0,0,0,0,0,0
Otu050,0,0,0,1,0,0,0,0,0,0
Otu051,0,0,0,0,0,0,0,0,0,1
Otu052,0,0,0,0,0,0,0,0,0,0
Otu053,0,0,0,0,0,1,0,0,0,0
Otu054,0,0,0,0,0,0,0,0,0,0
Otu055,0,0,0,0,0,0,0,0,0,0
Otu056,0,0,0,0,0,0,0,0,0,0
Otu057,0,0,0,0,0,0,0,0,0,0
Otu058,0,0,0,0,0,0,0,0,0,0
Otu059,0,0,0,1,0,0,0,0,0,0
Otu060,0,0,0,0,0,0,0,0,2,0
Otu061,0,0,0,0,0,0,0,0,0,0
Otu062,0,0,0,0,0,0,0,0,0,10
Otu063,0,0,0,0,0,0,0,0,0,1
Otu064,0,0,0,0,0,0,0,0,0,1
Otu065,0,0,0,0,0,0,0,0,0,0
Otu066,0,0,0,0,0,0,0,0,0,0
Otu067,0,0,0,0,0,0,0,0,0,0
Otu068,0,0,0,0,0,0,0,0,0,0
Otu069,0,0,0,0,0,2,0,0,0,0
Otu070,0,0,0,0,0,0,0,0,0,0
Otu071,0,0,0,0,0,0,1,0,0,0
Otu072,0,1,0,0,0,0,0,0,0,0
Otu073,0,0,0,0,0,0,0,0,0,1
Otu074,0,0,0,0,0,0,0,0,0,0
Otu075,0,0,0,0,0,0,0,0,0,0
Otu076,0,0,0,0,0,0,0,0,3,2
Otu077,0,0,0,0,0,1,1,2,5,0
Otu078,0,0,0,0,0,0,0,0,0,1
Otu079,0,0,0,0,0,0,0,0,0,0
Otu080,0,0,0,0,0,0,0,0,0,0
Otu081,0,0,0,0,0,0,0,0,0,0
Otu082,0,0,0,0,0,0,0,1,0,0
Otu083,1,0,1,1,0,3,0,1,0,0
Otu084,0,0,1,0,0,0,0,0,0,0
Otu085,0,0,0,0,0,0,0,1,0,0
Otu086,0,0,0,0,0,0,0,0,0,0
Otu087,0,0,1,0,0,0,0,0,1,0
Otu088,0,0,0,0,0,0,0,0,0,0
Otu089,0,0,0,0,0,0,0,0,0,0
Otu090,0,0,0,0,0,0,0,0,0,0
Otu091,0,0,0,0,0,0,0,0,0,0
Otu092,0,0,0,0,0,0,0,0,0,0
Otu093,0,0,0,0,0,0,0,0,0,0
Otu094,0,0,0,0,0,0,0,0,3,1
Otu095,0,1,0,0,0,0,0,0,0,0
Otu096,0,0,0,0,0,0,1,0,0,0
Otu097,0,0,0,0,0,0,0,1,0,0
Otu098,0,0,0,0,0,0,0,0,0,0
Otu099,0,0,0,0,0,0,0,0,0,0
Otu100,0,0,0,0,0,0,0,0,0,0
Otu101,0,0,0,0,0,0,0,0,0,0
Otu102,0,0,0,0,0,0,0,0,0,0
Otu103,0,0,0,0,0,0,0,0,0,0
Otu104,0,0,0,0,0,0,0,0,0,0
Otu105,0,0,0,0,0,0,1,0,0,0
Otu106,0,0,0,0,0,0,0,0,0,0
Otu107,0,0,0,0,0,0,0,0,0,0
Otu108,0,0,0,0,0,0,0,0,0,0
Otu109,0,0,0,0,0,0,0,0,0,0
Otu110,0,0,0,0,0,0,0,0,0,0
Otu111,0,0,0,0,0,0,0,0,0,0
Otu112,0,0,0,0,0,0,0,0,0,0
Otu113,0,0,0,0,0,0,0,0,0,0
Otu114,0,0,0,0,0,0,0,0,0,0
Otu115,0,0,0,0,0,0,0,0,0,0
Otu116,0,0,0,0,0,0,1,0,0,0
Otu117,0,0,0,0,0,0,1,2,0,0
Otu118,0,0,0,0,0,0,0,0,0,4
Otu119,0,0,0,0,0,0,0,0,1,0
Otu120,0,0,0,0,0,0,0,1,0,0
Otu121,0,0,0,0,0,0,0,1,0,0
Otu122,0,0,0,0,0,0,6,3,0,0
Otu123,0,0,0,0,0,0,1,0,0,0
Otu124,0,0,0,1,0,1,0,0,0,0
Otu125,0,0,0,0,0,0,0,0,0,0
Otu126,0,0,0,0,0,0,0,0,0,0
Otu127,0,0,0,0,0,0,0,0,0,0
Otu128,0,0,0,0,0,0,0,0,0,0
Otu129,0,0,0,0,0,0,0,0,0,0
Otu130,0,0,0,0,0,0,0,0,0,0
Otu131,0,0,0,0,0,0,0,0,0,0
Otu132,0,0,0,0,0,0,0,0,0,0
Otu133,0,0,0,0,0,0,0,0,0,0
Otu134,0,0,0,0,0,0,0,0,0,0
Otu135,0,0,0,0,0,0,0,1,0,0
Otu136,0,0,0,0,0,0,0,0,2,0
Otu137,0,0,0,0,0,0,1,0,0,0
Otu138,0,0,0,0,0,1,0,0,0,0
Otu139,0,0,0,0,0,0,0,0,0,0
Otu140,0,0,0,0,0,0,0,0,0,0
Otu141,0,0,0,0,0,0,0,1,0,0
Otu142,0,0,0,1,0,0,1,0,0,0
Otu143,0,0,0,0,0,0,0,0,0,1
Otu144,0,0,0,0,0,0,0,0,0,1
Otu145,0,0,0,0,0,0,0,0,0,1
Otu146,0,0,0,0,0,0,1,0,0,0
Otu147,0,0,0,0,0,2,0,0,0,0
Otu148,0,0,0,0,0,0,1,0,0,0
Otu149,0,0,0,0,0,0,0,0,0,0
Otu150,0,0,0,0,0,0,0,0,0,0
Otu151,0,0,0,0,0,0,0,0,0,0
Otu152,0,0,0,0,0,0,0,0,0,0
Otu153,0,0,0,0,0,0,0,0,0,0
Otu154,0,0,1,0,0,0,0,1,0,0
Otu155,0,0,0,0,0,0,0,0,0,0
Otu156,0,0,0,0,0,0,0,0,0,0
Otu157,0,0,1,0,0,0,0,0,0,0
Otu158,0,0,0,0,0,0,0,0,0,0
Otu159,0,0,0,0,0,0,0,0,0,0
Otu160,0,0,0,0,0,0,0,0,0,0
Otu161,0,0,0,0,0,0,0,0,0,0
Otu162,0,0,0,0,0,0,0,0,0,0
Otu163,0,0,0,0,0,1,0,0,0,0
Otu164,0,0,0,0,0,0,0,0,0,0
Otu165,0,1,0,0,0,0,0,0,0,0
Otu166,0,0,0,0,0,0,1,0,1,0
Otu167,0,0,0,0,0,0,0,0,0,0
Otu168,0,0,0,4,0,0,0,0,0,0
Otu169,0,1,0,0,1,1,0,0,0,0
Otu170,0,0,0,0,0,0,0,0,0,1
Otu171,0,0,1,0,0,0,0,0,0,0
Otu172,0,0,1,0,0,1,0,0,0,0
Otu173,0,0,0,0,0,0,0,0,0,1
Otu174,0,0,0,0,0,0,0,0,0,0
Otu175,0,0,0,0,0,0,0,0,0,0
Otu176,0,0,0,0,0,0,1,0,0,0
Otu177,0,0,0,0,0,0,0,1,0,1
Otu178,0,0,0,1,0,0,0,0,0,0
Otu179,0,0,0,0,0,1,0,0,0,0
Otu180,0,0,0,1,0,0,0,0,0,0
Otu181,0,0,0,0,0,0,0,0,0,0
Otu182,0,0,0,0,0,0,0,0,0,0
Otu183,0,0,0,0,0,0,0,1,0,0
Otu184,0,0,0,0,0,0,0,0,0,0
Otu185,0,0,0,0,0,0,0,0,0,0
Otu186,0,0,0,0,0,0,0,0,0,0
Otu187,0,0,0,0,0,0,0,0,0,0
Otu188,0,0,0,0,0,0,0,0,0,0
Otu189,0,0,0,0,0,0,0,0,0,0
Otu190,0,0,0,0,0,0,0,0,0,0
Otu191,0,0,0,0,0,0,0,0,0,0
Otu192,0,0,0,0,0,0,0,0,0,0
Otu193,0,0,0,0,0,0,0,0,0,0
Otu194,0,0,0,1,0,0,0,0,0,0
Otu195,0,0,0,0,0,0,0,0,0,13
Otu196,0,0,0,0,0,0,0,0,0,4
Otu197,0,1,1,0,1,3,0,3,0,0
Otu198,0,0,0,1,0,0,0,0,0,0
Otu199,0,1,0,0,0,0,0,0,0,0
Otu200,0,0,0,0,0,0,0,1,0,0
Otu201,0,0,0,0,0,1,0,4,4,2
Otu202,0,0,0,0,0,0,5,0,0,0
Otu203,0,0,0,0,0,0,1,0,0,0
Otu204,0,0,0,0,1,0,0,0,0,0
Otu205,0,0,0,0,0,1,0,0,2,8
Otu206,0,0,0,0,0,0,0,7,0,0
Otu207,0,0,4,0,0,0,0,1,0,0
Otu208,0,0,1,0,0,0,0,0,0,0
Otu209,0,1,5,0,1,0,0,0,0,0
Otu210,0,0,1,0,0,0,0,0,0,0
Otu211,0,0,0,0,0,0,0,0,0,0
Otu212,0,0,0,0,0,0,0,1,0,0
Otu213,0,0,0,0,0,0,0,0,0,0
Otu214,0,0,0,0,0,0,0,0,0,0
Otu215,0,0,0,0,0,0,0,0,4,1
Otu216,0,0,0,0,0,0,0,0,0,1
Otu217,0,0,0,0,0,0,0,0,2,0
Otu218,0,0,4,0,0,0,0,1,0,0
Otu219,0,0,2,0,0,0,0,0,0,0
Otu220,0,0,0,0,0,0,1,0,0,0
Otu221,0,0,0,0,0,1,0,0,3,1
Otu222,0,0,0,0,0,0,0,3,0,0
Otu223,0,0,0,0,0,0,0,0,0,0
Otu224,0,1,0,0,0,0,0,0,0,0
Otu225,4,1,0,4,1,1,0,0,0,0
Otu226,2,0,0,0,0,0,0,0,0,0
