,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706104.4806,0,0,0,0,0,0,0,0,0,0,0,0,248,806,200,0,0,0,0,0
SRR1706059.4312,2,0,1,1,86,389,0,0,364,0,0,69,0,0,6,6,0,0,0,0
SRR1706049.2633,0,0,0,329,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0
SRR1706079.5899,1,0,15,40,82,336,0,0,64,40,3,39,0,0,218,46,0,0,0,5
SRR1706119.3028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412,0,1
SRR1706074.3517,13,0,2,0,34,47,0,0,160,0,0,18,4,14,5,0,0,0,0,122
SRR1706069.2267,0,0,0,16,0,0,5,64,0,209,0,0,0,0,0,0,0,0,0,0
SRR1706109.452,0,0,0,0,1,11,0,0,1,0,0,0,0,0,3,207,0,0,0,0
SRR1706109.290,0,0,0,0,0,0,1,0,0,0,0,0,0,0,16,228,0,0,0,0
SRR1706049.7040,0,0,0,48,0,93,12,0,9,96,0,0,9,0,0,0,0,0,0,0
SRR1706084.7749,0,0,0,0,0,0,0,0,0,0,275,0,0,0,0,0,0,0,0,0
SRR1706054.1687,101,0,2,0,53,17,0,0,117,2,1,22,200,80,21,0,0,0,0,0
SRR1706079.5805,91,45,0,4,0,0,1,0,0,102,40,1,6,37,200,0,0,0,0,0
SRR1706049.8256,0,0,0,179,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2
SRR1706109.3083,0,0,0,0,0,44,0,0,0,1,0,0,0,0,72,138,0,0,0,0
SRR1706099.441,0,0,0,0,0,0,0,0,0,1,3,0,124,140,5,0,0,0,0,0
SRR1706039.3646,0,140,14,0,5,0,0,0,0,2,0,14,15,0,10,5,1,0,1,24
SRR1706129.1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118
SRR1706084.2691,0,0,0,0,0,0,0,14,0,0,112,4,0,0,0,0,0,0,0,0
SRR1706114.3842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,59,27,5
SRR1706049.4011,0,0,0,126,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
SRR1706074.4820,0,0,0,0,0,3,0,0,159,0,0,0,0,0,0,0,0,0,0,0
SRR1706124.1571,0,0,1,19,0,119,14,32,9,73,52,45,1,0,16,9,13,0,48,13
SRR1706059.5420,1,0,10,0,20,78,0,0,19,0,17,0,0,0,16,0,0,0,0,0
SRR1706119.5083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,0,0
SRR1706079.1029,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0
SRR1706039.6449,66,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706059.2429,0,0,12,4,0,225,0,0,0,0,0,11,0,1,9,7,0,16,0,0
SRR1706049.6427,14,5,0,84,0,0,0,0,5,1,3,3,0,0,2,0,0,0,0,0
SRR1706064.2510,0,19,0,24,0,6,86,31,0,4,0,0,0,0,0,0,0,0,0,0
SRR1706049.1612,0,0,0,80,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0
SRR1706049.2879,0,0,0,7,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0
SRR1706034.136,139,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706044.1910,1,0,15,12,0,8,0,0,0,2,0,2,0,0,0,20,0,25,4,0
SRR1706079.6700,0,0,0,0,0,0,0,0,0,160,90,0,0,19,0,0,0,0,0,0
SRR1706129.5408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,29,0,69,12
SRR1706109.1368,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,70,22,23,9,0
SRR1706129.4549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133
SRR1706109.1747,0,0,14,6,7,13,0,0,0,15,17,19,0,0,0,13,0,0,1,3
SRR1706074.5385,0,0,0,0,0,54,0,0,17,0,0,0,0,0,0,0,0,0,0,0
SRR1706079.1203,0,0,0,0,0,0,0,0,0,104,0,0,8,0,0,0,0,0,0,0
SRR1706059.1010,0,0,18,0,2,38,0,0,1,0,0,4,0,0,0,0,0,0,0,0
SRR1706109.1248,0,0,0,15,2,19,0,0,0,23,27,29,0,0,10,37,0,0,0,0
SRR1706124.289,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,18,0,115,0
SRR1706059.2206,0,0,0,6,0,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706104.681,0,0,0,0,13,3,0,0,4,0,0,0,0,1,89,0,0,0,0,0
SRR1706064.1542,0,0,0,0,0,0,59,13,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706129.4345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,55
