,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1720793.6471,4039,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720805.1756,0,0,0,0,0,0,0,0,0,0,0,0,3127,2,0,0,0,0,0,0
SRR1720799.2577,0,0,0,0,0,44,1254,81,0,1,0,120,0,0,0,0,0,0,0,0
SRR1720797.6017,0,0,0,0,2855,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0
SRR1720807.812,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1125,0,1045,308,0,0
SRR1720798.5743,0,0,0,0,0,1886,1,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720804.1528,0,0,0,5,0,0,0,0,0,0,0,875,0,0,0,0,0,0,0,0
SRR1720793.7758,1215,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720794.4634,0,889,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
SRR1720801.1583,0,0,0,0,0,0,0,0,1049,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.602,0,0,0,1183,2,130,0,0,10,0,0,0,0,0,8,30,0,0,1,0
SRR1720800.5454,0,0,0,0,0,0,0,967,0,84,0,0,0,0,0,0,39,0,0,0
SRR1720802.2811,0,0,0,0,0,0,0,0,366,924,233,0,0,0,0,1,0,0,0,0
SRR1720803.4337,0,0,0,0,0,0,0,0,0,0,1442,1,0,0,0,0,0,0,0,0
SRR1720794.4600,0,1854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720799.3336,0,0,0,0,0,0,707,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720806.3610,0,0,0,0,366,0,0,0,0,0,0,0,0,483,0,0,0,0,0,0
SRR1720808.2317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1651,1327,0,1,0,0
SRR1720793.3679,262,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720796.1450,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720806.3581,0,0,0,0,0,0,0,0,0,0,0,0,0,446,0,0,0,0,0,0
SRR1720798.5504,0,0,277,3,0,469,10,1,3,0,6,13,0,0,0,4,0,1,3,0
SRR1720794.4774,0,719,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720812.3267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,552
SRR1720809.1095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,1,0,0
SRR1720799.3709,0,0,0,0,0,0,230,17,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720812.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,838,467
SRR1720804.1273,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,1,0,0,0
SRR1720799.1931,0,0,0,0,0,0,259,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720810.1146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,447,1,0
SRR1720799.4236,0,0,0,0,0,0,371,118,0,0,0,0,0,0,0,0,0,0,0,0
SRR1720797.3646,0,0,0,0,242,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
