Plot	Elevation	Slope	Aspect	Physiography	Latitude	Longitude	ForestType	Elev.group	pH	EC	Organic-C	Total-N	C/N-ratio	NO3-N	NH4-N	Olsen-P	Forest.code	Forest.code2	mean_T_surface	mean_T_10cm	mean_T_10cm_12pm	mean_T_surface_12pm
CM30b51	174.627853	x	x	x	-36.179	175.098	x	Mid	5.24	0.217465	25.342308	0.671264	31.57172	4.304874	2.396964	10.6145055	x	x	14.950275149288	15.2187902411022	15.094135359116	15.319544198895
CM30b58	9	0	x	Terrace	-36.21941154	175.0520642	MF20: Hard beech forest	Lower	5.205	0.101804	8.7636635	0.314012	27.772569	3.866269	1.846193	2.401898	MF20	MF	13.8339601515847	14.2708956371986	14.1650856353591	13.8571906077348
CM30b60	400	30	90	Face?	-36.183	175.104	WF9: Taraire, tawa, podocarp forest	Lower	5.885	0.087707	5.506022	0.4151445	13.441994	4.641789	3.5334045	2.930625	WF9	WF	13.4632318025258	12.8729859931114	12.9643729281768	13.9884392265193
CM30c	283	33	240	Face	-36.20401831	175.0629287	MF20: Hard beech forest	Mid	5.145	0.1328995	7.466313	0.2989255	25.2603155	1.839219	5.205711	2.279131	MF20	MF	14.0077243972445	13.6820249712974	13.5462900552486	13.9911049723757
CM30c28	227	40	300	Face	-36.20201485	175.0604515	WF12: Kauri, podocarp, broadleaved, beech forest	Mid	4.38	0.2678325	18.355606	0.508434	33.8627955	0.498171	5.708295	5.4889345	WF12	WF	16.217692250287	15.287591042205	15.3558397790055	16.807361878453
CM30c30	597	40	295	Face	-36.20137316	175.0715118	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	Upper	4.195	0.3088615	41.951313	1.7715935	23.513863	16.8422745	18.840986	15.793013	WF13	WF	12.2992304505438	11.9582727213879	11.8536168224299	12.4236386292835
CM30c35	165	5	250	Ridge	-36.20657661	175.054643	VS3: Manuka, kanuka scrub	Mid	5.16	0.120388	8.9001335	0.37486	23.593684	0.3941905	2.3938695	1.6764865	VS3	VS	14.7149432835821	14.9448455797933	14.902770718232	15.1943508287293
CM30c37	279	18	190	Face	-36.20641372	175.065672	WF7: Puriri forest	Mid	5.575	0.1947535	12.4869475	0.6861465	17.1937815	0.418169	45.531455	8.651697	WF7	WF	13.35227347876	13.7421083811711	13.7189033149171	13.7848121546961
CM30c39	290	32	105	Face	-36.20622987	175.0768116	WF9: Taraire, tawa, podocarp forest	Lower	5.595	0.070412	4.865198	0.327183	14.882894	4.4674215	2.048662	3.6913625	WF9	WF	12.4401328358209	14.0599377726751	14.0702486187845	12.8366408839779
CM30c44	110	20	80	Face	-36.21106316	175.0605442	VS5: Broadleaved species scrub/forest	Lower	6.295	0.1263105	4.065231	0.3000485	13.3773835	3.187839	1.641312	6.258776	VS5	VS	14.7130391504018	14.5769917336395	14.6348729281768	15.4633674033149
CM30c46	319	30	154	Face	-36.21068309	175.0715904	WF11: Kauri, podocarp, broadleaved forest	Upper	4.995	0.136906	14.0281795	0.542671	25.40809	1.0442735	2.2240165	2.385149	WF11	WF	14.79693673938	14.0826997703789	14.332179558011	15.9068922651934
CM30c51	67	25	100	Face	-36.21564029	175.0548912	VS2: Kanuka scrub/forest	Lower	5.8	0.089159	4.0494865	0.239302	16.944134	0.800242	0.9581565	33.321636	VS2	VS	15.196269835802	15.6071167623421	15.9635303867403	15.7667486187845
CM30c53	155	45	125	Face	-36.21504238	175.0660546	WF12: Kauri, podocarp, broadleaved, beech forest	Mid	4.355	0.4377915	39.531669	0.9561255	41.213817	0.299519	5.793516	21.9418625	WF12	WF	14.5068336394948	16.251537543054	16.1568342541436	14.9434751381215
CM30c60	51	30	170	Gully	-36.2199859	175.0606003	VS2: Kanuka scrub/forest	Lower	5.025	0.1369135	11.2284715	0.5017085	19.9588555	1.8378185	2.1617795	5.708566	VS2	VS	15.2146619968996	15.5603442594719	15.5226132596685	15.5914944751381
CM30c62	99	38	102	Face	-36.21924386	175.0717272	VS5: Broadleaved species scrub/forest	Lower	5.06	0.098198	4.102175	0.178163	22.675908	0.422074	1.8289105	2.047312	VS5	VS	15.7606621885406	15.9042687141217	15.8786906077348	16.297953038674
CM30d12	371	22	58	Gully	-36.19212957	175.1043062	WF11: Kauri, podocarp, broadleaved forest	Upper	5.11	0.126166	16.4439485	0.632776	24.41401	0.5225495	5.2057995	3.660834	WF11	WF	12.8730645235362	13.9098396096441	13.976	13.7913453038674
CM30d3	518	25	180	Face	-36.18768674	175.0986053	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	Upper	5.19	0.137272	13.4492875	0.6995805	19.627759	23.1721345	8.175723	3.0068425	WF13	WF	12.482215229126	12.2143189437428	12.166773480663	12.7682762430939
CM31a5	70	8	90	Face	-36.2232163	175.0666701	VS2: Kanuka scrub/forest	Lower	4.895	0.1141125	8.290642	0.4020285	20.2279395	0.4349315	6.497021	6.0983545	VS2	VS	15.6698667623421	15.6726255023539	15.8051629834254	17.2233287292818
LB1	630	40	336	Face	-36.19918691	175.0754355	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	Upper	4.5	0.2867035	38.8880495	1.81921	21.5858085	24.136624	6.235985	5.0234395	WF13	WF	14.9343376270309	11.8831462499191	11.7854330218069	15.004090625
LB5	634	18	80	Ridge	-36.19332887	175.0914276	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	Upper	3.915	0.2832545	39.2160945	1.00188	45.870963	3.0152405	22.306575	9.743239	WF13	WF	11.962368771527	NA	NA	12.1509640883978
Plot01	50	18	270	Face	-36.22465404	175.0698348	VS2: Kanuka scrub/forest	Lower	5.89	0.148974	7.5850265	0.4301765	17.5424495	7.0190475	11.267265	48.6515655	VS2	VS	15.2832521320936	15.0365281821097	15.1272345679012	15.5714969135802
Plot02	90	30	60	Face	-36.21832519	175.0703615	WF11: Kauri, podocarp, broadleaved forest	Lower	5.12	0.0780875	3.976065	0.2360805	16.783781	0.614744	2.156278	1.7259085	WF11	WF	15.067780354785	15.1472997875883	15.321361878453	16.2832817679558
Plot03	160	36	120	Face	-36.21677479	175.0736421	WF12: Kauri, podocarp, broadleaved, beech forest	Mid	5.46	0.126898	8.940504	0.3939915	22.638754	0.506337	2.897609	2.842398	WF12	WF	14.7086454613309	14.1887525116252	14.1709696132597	15.036
Plot04	260	40	260	Face	-36.21286308	175.0745618	WF9: Taraire, tawa, podocarp forest	Mid	5.915	0.549993	30.653157	1.2765185	26.6305755	0.9826325	9.913537	29.135775	WF9	WF	13.8841096055578	13.6035118856224	13.4425165745856	13.7109143646409
Plot05	240	23	190	Face	-36.21538985	175.0753478	VS5: Broadleaved species scrub/forest	Mid	5.545	0.1570575	9.1848135	0.4352935	21.7422785	0.576249	4.519275	5.388299	VS5	VS	12.7906675238029	13.8627193868764	13.7773204419889	13.0342274247492
Plot06	320	20	210	Face	-36.2135126	175.0759379	WF9: Taraire, tawa, podocarp forest	Upper	5.61	0.1217725	6.3900105	0.384065	16.6361105	2.217062	4.4411805	8.7314175	WF9	WF	13.0961305471037	13.1134832912265	13.0192465373961	13.0997458563536
Plot07	420	26	180	Face	-36.21177994	175.0788458	VS5: Broadleaved species scrub/forest	Upper	5.61	0.0716475	4.274368	0.301101	14.1981705	3.1115935	1.3762755	3.4953	VS5	VS	12.4112305479189	12.9175363717719	12.8507384615385	12.6323476923077
Plot08	460	34	280	Face	-36.21004661	175.0789839	VS5: Broadleaved species scrub/forest	Upper	4.855	0.313233	30.293354	1.135963	26.1039085	0.738298	5.7916465	17.7317455	VS5	VS	15.057268665303	13.8481631087818	13.8106553846154	15.2471938461538
