Subplot	Plot	Latitude	Longitude	Elevation	Slope	Slope_aspect_deg	Slope_aspect_rad	Northness	Eastness	Physiography	Elev.group	ForestType	Forest.code	pH	EC	Organic-C	Total-N	C/N-ratio	NO3-N	NH4-N	Olsen-P	mean_T_surface	mean_T_10cm	mean_T_surface_12pm	mean_T_10cm_12pm
CM30b51-B	CM30b51	-36.179	175.098	174.627853	NA	NA	NA	NA	NA	NA	Mid	NA	NA	5.93	0.093648	5.84394	0.278015	21.020258	3.375802	1.078396	4.753385	14.95027515	15.21879024	15.3195442	15.09413536
CM30b51-M	CM30b51	-36.179	175.098	174.627853	NA	NA	NA	NA	NA	NA	Mid	NA	NA	4.55	0.341282	44.840676	1.064513	42.123182	5.233946	3.715532	16.475626	14.95027515	15.21879024	15.3195442	15.09413536
CM30b58-C	CM30b58	-36.21941154	175.0520642	9	0	NA	NA	NA	NA	Terrace	Lower	MF20: Hard beech forest	MF20	4.97	0.078304	7.51519	0.296216	25.370629	7.289034	1.672334	1.162079	13.83396015	14.27089564	13.85719061	14.16508564
CM30b58-I	CM30b58	-36.21941154	175.0520642	9	0	NA	NA	NA	NA	Terrace	Lower	MF20: Hard beech forest	MF20	5.44	0.125304	10.012137	0.331808	30.174509	0.443504	2.020052	3.641717	13.83396015	14.27089564	13.85719061	14.16508564
CM30b60-E	CM30b60	-36.183	175.104	400	30	170	2.967059728	-0.9848077530	0.1736481777	Ridge?	Upper	WF9: Taraire, tawa, podocarp forest	WF9	5.94	0.088791	6.677235	0.523472	12.755671	8.834787	2.009127	2.272614	13.4632318	12.87298599	13.98843923	12.96437293
CM30b60-M	CM30b60	-36.183	175.104	400	30	170	2.967059728	-0.9848077530	0.1736481777	Ridge?	Upper	WF9: Taraire, tawa, podocarp forest	WF9	5.83	0.086623	4.334809	0.306817	14.128317	0.448791	5.057682	3.588636	13.4632318	12.87298599	13.98843923	12.96437293
CM30c28-N	CM30c28	-36.20201485	175.0604515	227	40	300	5.235987756	0.5000000000	-0.8660254038	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	4.19	0.328107	28.330854	0.723535	39.156181	0.490959	7.841161	7.3928	16.21769225	15.28759104	16.80736188	15.35583978
CM30c28-P	CM30c28	-36.20201485	175.0604515	227	40	300	5.235987756	0.5000000000	-0.8660254038	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	4.57	0.207558	8.380358	0.293333	28.56941	0.505383	3.575429	3.585069	16.21769225	15.28759104	16.80736188	15.35583978
CM30c30-L	CM30c30	-36.20137316	175.0715118	597	40	295	5.148721293	0.4226182617	-0.9063077870	Face	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	3.94	0.318159	49.888909	2.019839	24.699454	6.928733	26.946914	23.692817	12.29923045	11.95827272	12.42363863	11.85361682
CM30c30-N	CM30c30	-36.20137316	175.0715118	597	40	295	5.148721293	0.4226182617	-0.9063077870	Face	Upper	WF13: Tawa, kohekohe, rewarewa, hinau, podocarp forest	WF13	4.45	0.299564	34.013717	1.523348	22.328272	26.755816	10.735058	7.893209	12.29923045	11.95827272	12.42363863	11.85361682
CM30c35-B	CM30c35	-36.20657661	175.054643	165	5	250	4.36332313	-0.3420201433	-0.9396926208	Ridge	Mid	VS3: Manuka, kanuka scrub	VS3	4.97	0.142293	10.30747	0.402959	25.579432	0.456371	3.230945	1.937998	14.71494328	14.94484558	15.19435083	14.90277072
CM30c35-D	CM30c35	-36.20657661	175.054643	165	5	250	4.36332313	-0.3420201433	-0.9396926208	Ridge	Mid	VS3: Manuka, kanuka scrub	VS3	5.35	0.098483	7.492797	0.346761	21.607936	0.33201	1.556794	1.414975	14.71494328	14.94484558	15.19435083	14.90277072
CM30c37-E	CM30c37	-36.20641372	175.065672	279	18	190	3.316125579	-0.9848077530	-0.1736481777	Face	Mid	WF7: Puriri forest	WF7	5.75	0.087437	5.245918	0.345866	15.167507	0.529488	27.304777	5.167988	13.35227348	13.74210838	13.78481215	13.71890331
CM30c37-L	CM30c37	-36.20641372	175.065672	279	18	190	3.316125579	-0.9848077530	-0.1736481777	Face	Mid	WF7: Puriri forest	WF7	5.4	0.30207	19.727977	1.026427	19.220056	0.30685	63.758133	12.135406	13.35227348	13.74210838	13.78481215	13.71890331
CM30c39-A	CM30c39	-36.20622987	175.0768116	290	32	105	1.832595715	-0.2588190451	0.9659258263	Face	Lower	WF9: Taraire, tawa, podocarp forest	WF9	6.15	0.061946	4.196294	0.329164	12.748355	4.894807	2.331894	3.342181	12.44013284	14.05993777	12.83664088	14.07024862
CM30c39-E	CM30c39	-36.20622987	175.0768116	290	32	105	1.832595715	-0.2588190451	0.9659258263	Face	Lower	WF9: Taraire, tawa, podocarp forest	WF9	5.04	0.078878	5.534102	0.325202	17.017433	4.040036	1.76543	4.040544	12.44013284	14.05993777	12.83664088	14.07024862
CM30c44-B	CM30c44	-36.21106316	175.0605442	110	20	80	1.396263402	0.1736481777	0.9848077530	Face	Lower	VS5: Broadleaved species scrub/forest	VS5	6.29	0.145463	5.200987	0.367992	14.133408	2.74106	1.687296	7.887752	14.71303915	14.57699173	15.4633674	14.63487293
CM30c44-C	CM30c44	-36.21106316	175.0605442	110	20	80	1.396263402	0.1736481777	0.9848077530	Face	Lower	VS5: Broadleaved species scrub/forest	VS5	6.3	0.107158	2.929475	0.232105	12.621359	3.634618	1.595328	4.6298	14.71303915	14.57699173	15.4633674	14.63487293
CM30c46-D	CM30c46	-36.21068309	175.0715904	319	30	154	2.687807048	-0.8987940463	0.4383711468	Face	Upper	WF11: Kauri, podocarp, broadleaved forest	WF11	4.92	0.177379	20.628872	0.78095	26.415094	0.569621	2.753891	3.158995	14.79693674	14.08269977	15.90689227	14.33217956
CM30c46-O	CM30c46	-36.21068309	175.0715904	319	30	154	2.687807048	-0.8987940463	0.4383711468	Face	Upper	WF11: Kauri, podocarp, broadleaved forest	WF11	5.07	0.096433	7.427487	0.304392	24.401086	1.518926	1.694142	1.611303	14.79693674	14.08269977	15.90689227	14.33217956
CM30c51-H	CM30c51	-36.21564029	175.0548912	67	25	100	1.745329252	-0.1736481777	0.9848077530	Face	Lower	VS2: Kanuka scrub/forest	VS2	5.9	0.100358	4.131275	0.250681	16.480196	1.111216	1.11983	29.97119	15.19626984	15.60711676	15.76674862	15.96353039
CM30c51-I	CM30c51	-36.21564029	175.0548912	67	25	100	1.745329252	-0.1736481777	0.9848077530	Face	Lower	VS2: Kanuka scrub/forest	VS2	5.7	0.07796	3.967698	0.227923	17.408072	0.489268	0.796483	36.672082	15.19626984	15.60711676	15.76674862	15.96353039
CM30c53-B	CM30c53	-36.21504238	175.0660546	155	45	125	2.181661565	-0.5735764364	0.8191520443	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	4.13	0.453253	44.349398	1.036735	42.777952	0	7.14544	19.561446	14.50683364	16.25153754	14.94347514	16.15683425
CM30c53-I	CM30c53	-36.21504238	175.0660546	155	45	125	2.181661565	-0.5735764364	0.8191520443	Face	Mid	WF12: Kauri, podocarp, broadleaved, beech forest	WF12	4.58	0.42233	34.71394	0.875516	39.649682	0.599038	4.441592	24.322279	14.50683364	16.25153754	14.94347514	16.15683425
CM30c60-A	CM30c60	-36.2199859	175.0606003	51	30	170	2.967059728	-0.9848077530	0.1736481777	Gully	Lower	VS2: Kanuka scrub/forest	VS2	5.3	0.099775	3.663413	0.238869	15.336477	0.604743	0.85794	3.3583	15.214662	15.56034426	15.59149448	15.52261326
CM30c60-B	CM30c60	-36.2199859	175.0606003	51	30	170	2.967059728	-0.9848077530	0.1736481777	Gully	Lower	VS2: Kanuka scrub/forest	VS2	4.75	0.174052	18.79353	0.764548	24.581234	3.070894	3.465619	8.058832	15.214662	15.56034426	15.59149448	15.52261326
