	A	B	C	D	H	G	F	E	I	J	K	L	P	O	N	M
A	0															
B	5	0														
C	10	5	0													
D	15	10	5	0												
H	5	7.07	11.18	15.81	0											
G	7.07	5	7.07	11.18	5	0										
F	11.18	7.07	5	7.07	10	5	0									
E	15.81	11.18	7.07	5	15	10	5	0								
I	10	11.18	14.14	18.03	5.00	7.07	11.18	15.81	0							
J	11.18	10	11.18	14.14	7.07	5.00	7.07	11.18	5	0						
K	14.14	11.18	10	11.18	11.18	7.07	5.00	7.07	10	5	0					
L	18.03	14.14	11.18	10	15.81	11.18	7.07	5.00	15	10	5	0				
P	15	15.81	18.03	21.21	10.00	11.18	14.14	18.03	5.00	7.07	11.18	15.81	0			
O	15.81	15	15.81	18.03	11.18	10.00	11.18	14.14	7.07	5.00	7.07	11.18	5	0		
N	18.03	15.81	15	15.81	14.14	11.18	10.00	11.18	11.18	7.07	5.00	7.07	10	5	0	
M	21.21	18.03	15.81	15	18.03	14.14	11.18	10.00	15.81	11.18	7.07	5.00	15	10	5	0
