OTUId	CM30b51-B	CM30b51-M	CM30b58-C	CM30b58-I	CM30b60-E	CM30b60-M	CM30c-O	CM30c-P	CM30c28-N	CM30c28-P	CM30c30-L	CM30c30-N	CM30c35-B	CM30c35-D	CM30c37-E	CM30c37-L	CM30c39-A	CM30c39-E	CM30c44-B	CM30c44-C	CM30c46-D	CM30c46-O	CM30c51-H	CM30c51-I	CM30c53-B	CM30c53-I	CM30c60-A	CM30c60-B	CM30c62-D	CM30c62-M	CM30d12-H	CM30d12-L	CM30d3-D	CM30d3-L	CM31a5-A	CM31a5-B	LB1-A	LB1-E	LB5-A	LB5-I	Plot1-B	Plot1-L	Plot2-C	Plot2-M	Plot3-H	Plot3-N	Plot4-A	Plot4-N	Plot5-I	Plot5-N	Plot6-I	Plot6-N	Plot7-M	Plot7-N	Plot8-I	Plot8-O
OTU_7;size=7558;	1	5	0	0	0	8	0	0	0	0	0	0	0	0	10	137	5973	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	612	0	0	0	0	0	0	4	0	0	0	0
OTU_50;size=2288;	0	0	0	10	91	0	0	0	0	0	0	0	0	0	22	2	350	442	0	0	0	0	0	0	0	0	0	0	0	0	0	8	744	0	0	0	12	246	0	330	0	0	0	0	0	0	0	0	0	0	0	0	1	25	0	0
OTU_3;size=8628;	0	0	0	0	16	175	0	0	0	0	0	0	0	0	23	2	4999	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2406	1004	0	0
OTU_200;size=838;	22	0	0	3	91	21	35	0	0	0	0	0	0	1	0	14	102	0	103	142	0	0	16	5	0	0	16	0	0	0	0	4	4	0	0	0	0	0	0	0	83	17	0	0	0	0	0	5	0	4	9	58	31	52	0	0
OTU_625;size=517;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	347	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_141;size=1905;	0	0	0	127	36	4	0	99	0	0	0	0	0	4	80	0	487	16	0	0	0	0	53	52	0	0	58	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	15	38	126	0	0
OTU_4944;size=469;	0	0	0	0	9	0	0	0	0	0	0	0	0	1	266	0	306	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	59	295	0	0
OTU_18;size=3782;	2	2	51	47	0	0	0	463	0	0	0	0	0	0	20	11	194	1910	0	0	3	191	0	0	0	0	26	0	0	0	0	227	58	0	96	248	0	0	0	0	0	0	0	71	154	0	0	0	2	0	0	0	0	0	6	0
OTU_1410;size=128;	0	0	0	1	14	0	0	0	0	0	0	0	0	0	3	30	73	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0
OTU_102;size=4375;	2	0	29	23	11	1	0	10	0	0	7	8	0	11	86	0	953	78	0	31	0	16	77	4	0	0	54	16	0	0	19	5	56	100	0	0	9	15	2	146	32	0	1	0	0	19	0	2	4	0	1	0	102	218	15	92
OTU_21;size=3918;	0	0	0	0	2	28	0	63	3	0	0	0	0	0	0	0	2243	1327	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	13	42
OTU_1303;size=141;	0	0	1	5	3	0	0	4	0	0	0	0	0	0	0	2	21	0	0	0	0	0	0	3	0	0	0	2	0	0	0	27	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	1	1	0	0	35
OTU_124;size=1176;	0	0	6	123	43	5	0	0	0	0	0	0	0	0	345	50	72	129	0	4	3	0	0	0	0	0	15	0	0	0	0	13	137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	3	15	120	74	0	0
OTU_817;size=175;	0	0	0	0	36	2	0	0	0	0	0	0	0	0	0	0	17	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	0	0
OTU_18892;size=6;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1405;size=148;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	25	0	0
OTU_11221;size=3;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_3538;size=33;	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	1
OTU_10006;size=128;	0	0	0	10	210	70	0	0	0	0	0	0	0	0	8	28	217	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	300	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	41	67	107	0	0
OTU_11371;size=13;	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
OTU_556;size=446;	0	0	0	0	54	1	1	4	0	0	0	0	0	0	9	0	137	9	3	62	0	0	53	7	0	0	24	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	19	19	0	8
OTU_8360;size=22;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0
OTU_9128;size=7;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2703;size=47;	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	16	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	16	3	0	0	0	0	0	0	0	0
OTU_211;size=683;	5	0	0	3	16	14	7	0	0	0	0	0	0	0	33	0	145	11	17	67	0	0	55	37	0	0	21	4	0	0	0	4	0	0	0	4	0	0	0	0	46	17	0	3	44	1	0	0	7	14	46	7	7	7	8	33
OTU_11229;size=9;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_11340;size=265;	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	123	0	0	0	0	0	0	0	0	0	0	0	0	0	38	26	32	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	71	65	0	0
OTU_1887;size=93;	0	0	0	0	19	3	0	0	0	0	0	0	0	0	0	9	24	0	0	35	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_15;size=11119;	324	2	0	738	12	160	107	117	0	0	0	0	0	0	393	271	1737	0	387	996	0	0	83	240	0	0	70	108	0	0	502	32	158	4	0	0	0	1	0	0	501	354	0	7	27	1	0	0	33	881	422	368	285	347	3	383
OTU_2618;size=80;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0
OTU_19868;size=1;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	15	5	0	0	0
OTU_3217;size=48;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	8	0	0
