,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706105.29381,0,0,945,0,0,0,0,0,1047,0,0,0,0,0,8752,922,0,1835,0,2
SRR1706045.8372,0,0,2653,1450,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0
SRR1706040.8840,2,2415,0,0,0,15,0,0,0,0,0,0,0,82,0,0,0,0,0,0
SRR1706105.24572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2205,0,0,0,13,2
SRR1706055.2941,0,0,0,0,1394,3,279,0,0,0,0,0,0,0,1,0,0,253,0,0
SRR1706080.8493,11,15,0,2,0,0,0,0,1064,214,0,0,0,0,0,0,0,0,0,0
SRR1706050.8174,0,0,0,791,0,0,0,0,994,0,0,197,0,0,0,0,0,0,0,0
SRR1706105.19475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1389,0,0,0,0,0
SRR1706070.11186,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706130.9634,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,5,0,3,3,1246
SRR1706040.14467,0,1229,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0,0
SRR1706075.22729,0,0,0,1,0,0,0,0,869,0,0,0,0,0,0,0,0,0,0,0
SRR1706090.16736,0,0,0,0,0,0,0,0,0,0,0,1658,0,0,0,0,0,0,0,0
SRR1706065.14292,0,0,53,0,1,0,1134,7,13,0,0,0,0,1,10,21,1582,181,546,148
SRR1706075.6695,0,0,14,0,0,0,0,0,7,47,131,88,0,0,558,18,0,0,0,12
SRR1706080.20004,1,1,284,43,0,209,0,0,253,205,0,232,0,0,0,0,0,0,0,0
SRR1706080.18587,0,0,0,0,0,0,0,0,0,1902,0,0,0,0,0,0,0,0,32,0
SRR1706115.3555,0,0,0,0,0,0,244,0,0,0,0,0,0,0,0,0,282,0,0,0
SRR1706120.23821,0,0,0,0,0,2,22,0,0,0,0,0,0,0,0,7,0,1057,0,0
SRR1706050.16872,4,0,58,831,110,583,0,0,98,346,140,94,34,4,185,80,0,0,0,0
SRR1706090.6105,0,0,84,0,0,0,0,0,0,0,0,608,0,0,0,0,0,0,0,0
SRR1706045.21465,0,0,1027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706055.7277,0,0,0,0,1034,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0
SRR1706080.6100,0,0,23,1,15,0,17,0,89,71,11,264,12,2,218,3,0,0,0,0
SRR1706110.6346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061,0,0,0,0
SRR1706045.7853,0,0,491,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
SRR1706045.7871,0,2,423,0,0,0,0,0,325,0,0,539,0,0,0,0,0,0,0,0
SRR1706075.6805,0,0,0,0,0,0,0,0,764,0,0,0,0,0,0,0,0,0,0,0
SRR1706060.2801,0,0,0,0,0,372,1,194,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706075.13595,0,0,0,0,0,0,0,0,438,0,0,0,0,0,0,0,0,0,0,0
SRR1706045.3980,2,49,213,0,0,0,0,0,382,0,0,6,0,0,0,0,0,0,0,0
SRR1706075.12798,0,0,17,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0
SRR1706060.10214,0,0,0,0,20,689,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706090.19075,0,0,30,6,75,0,1,0,3,0,0,231,5,0,42,0,0,0,0,0
SRR1706055.7724,0,0,0,0,715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706070.10719,0,0,1,0,0,0,2,355,0,0,0,0,0,0,1,2,2,0,0,0
SRR1706070.5367,0,0,0,0,0,0,3,357,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706105.32783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,689,0,0,0,0,0
SRR1706045.16797,313,0,324,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0
SRR1706050.2396,0,0,0,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706120.12175,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,665,0,0
SRR1706070.18971,0,0,0,14,0,0,37,28,398,0,8,0,0,0,0,0,0,0,0,0
SRR1706060.15763,0,8,3,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706070.5879,0,0,0,0,0,0,0,468,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706080.17356,0,0,4,0,0,0,0,0,0,193,0,97,0,0,0,0,0,0,0,0
SRR1706095.5927,0,0,0,0,0,0,0,0,0,0,0,0,493,13,3,1,0,0,0,0
SRR1706035.3215,357,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706100.4093,0,0,0,0,0,0,0,0,0,0,0,0,0,753,0,0,0,0,0,0
SRR1706080.19910,0,0,0,0,0,0,0,0,2,254,0,0,0,0,43,0,0,0,0,0
SRR1706090.4322,0,0,49,1,0,0,0,0,37,2,0,226,0,0,0,0,0,0,0,0
SRR1706070.6466,0,0,0,0,0,0,0,253,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706105.17704,0,0,0,0,0,0,24,17,0,0,14,0,3,0,281,102,0,0,0,1
SRR1706050.3151,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706070.3258,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,12,2
SRR1706085.22005,0,0,0,0,0,0,0,0,0,0,428,0,0,0,0,0,0,0,0,0
SRR1706070.20465,0,0,0,0,0,4,51,309,0,18,19,0,1,0,0,0,0,0,0,0
SRR1706050.6706,0,0,0,373,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
SRR1706075.23557,0,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0
SRR1706050.3372,0,0,43,511,94,399,0,0,71,36,0,10,0,1,89,36,0,0,0,0
SRR1706105.53827,0,0,0,0,0,2,0,0,2,1,0,4,0,0,220,0,0,0,0,1
SRR1706045.13970,0,0,331,0,0,0,0,0,0,0,0,0,0,23,0,17,7,21,8,0
SRR1706050.4129,0,0,0,232,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706040.7544,0,426,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
SRR1706045.20432,0,0,423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706125.3896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,252,0
SRR1706065.7404,0,0,0,0,0,0,327,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706105.15327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,502,0,0,0,0,0
SRR1706040.6301,0,418,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0
SRR1706090.17510,0,0,0,0,0,0,0,0,0,0,0,212,0,0,0,0,0,0,0,0
SRR1706060.2151,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706050.12858,0,0,41,471,3,100,11,47,37,0,0,2,0,0,12,1,6,0,0,0
SRR1706090.16210,0,0,0,0,2,1,0,0,7,1,0,145,0,0,2,0,0,0,0,0
SRR1706110.2568,0,0,0,7,21,20,0,0,2,0,0,0,0,1,56,61,0,0,0,0
SRR1706050.15758,0,0,3,143,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0
SRR1706060.4185,0,0,0,7,13,81,16,51,18,80,0,1,0,0,0,0,0,0,0,0
SRR1706035.2020,120,23,0,1,0,0,0,0,0,0,0,471,0,1,0,0,0,0,0,0
SRR1706050.11650,0,0,8,66,137,1,0,0,2,4,3,3,11,10,16,78,0,0,0,0
SRR1706045.10131,0,0,284,54,11,60,0,0,80,0,0,37,0,0,2,9,0,0,0,0
SRR1706085.15034,0,0,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0
SRR1706060.17371,0,0,0,0,0,188,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SRR1706105.65526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,0,0,0,2,0
SRR1706035.4734,112,115,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,0,0,0
SRR1706070.17285,0,0,0,0,0,0,0,129,53,0,0,0,0,4,0,0,0,0,0,0
SRR1706045.7297,0,0,130,33,13,0,5,0,0,0,0,0,0,0,99,8,1,0,1,0
SRR1706050.7241,0,0,14,116,17,0,0,0,2,0,0,0,0,14,7,2,0,0,0,0
SRR1706065.7781,0,0,0,0,0,0,155,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706090.19970,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0
SRR1706040.7620,0,215,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
SRR1706075.7893,0,0,0,0,0,0,1,0,184,0,0,0,0,0,0,0,0,0,0,0
SRR1706105.11380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0
SRR1706120.22157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223,0,0
SRR1706070.10798,0,0,3,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706080.8373,0,0,0,0,0,0,3,1,4,210,0,0,0,0,0,0,0,0,0,0
SRR1706065.15158,0,0,1,0,0,0,243,0,0,0,0,0,0,0,2,1,352,234,66,7
SRR1706070.8142,0,0,0,0,2,18,41,145,0,0,0,0,0,0,0,2,40,0,1,0
SRR1706075.4795,0,0,59,29,26,14,3,0,214,46,4,44,29,13,24,14,0,0,2,6
SRR1706055.4816,0,0,58,0,76,0,0,0,14,3,0,0,0,0,44,15,0,0,0,6
SRR1706070.9643,0,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706090.8864,2,4,2,3,0,0,1,0,13,21,8,115,0,0,2,0,0,0,0,0
SRR1706075.24992,0,0,0,0,0,0,67,64,82,0,0,0,0,0,0,0,0,0,0,0
SRR1706085.20852,0,0,0,0,0,0,0,0,0,0,636,0,0,0,0,0,0,0,0,0
SRR1706105.22415,0,0,0,0,0,0,0,0,0,0,0,0,0,3,181,4,1,23,1,22
SRR1706120.7019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,0,0
SRR1706090.19617,0,0,0,0,0,0,0,0,0,0,0,152,0,0,0,0,0,0,0,0
SRR1706060.16158,0,0,37,93,0,128,11,96,4,0,0,0,0,0,4,2,21,0,0,0
SRR1706085.4259,0,0,0,0,0,0,0,0,0,0,98,7,19,12,0,0,0,0,0,0
SRR1706070.10914,0,0,0,0,0,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706060.4746,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
