Plot	Sample	pH	EC	Organic.C	Total.N	C/N.ratio	NO3-N	NH4-N	Olsen.P
CM30b51-B	M11/4584	5.93	0.093648	5.843940	0.278015	21.020258	3.375802	1.078396	4.753385
CM30b51-M	M11/4585	4.55	0.341282	44.840676	1.064513	42.123182	5.233946	3.715532	16.475626
CM30b58-I	M11/4586	5.44	0.125304	10.012137	0.331808	30.174509	0.443504	2.020052	3.641717
CM30b58-C	M11/4587	4.97	0.078304	7.515190	0.296216	25.370629	7.289034	1.672334	1.162079
CM30b60-E	M11/4588	5.94	0.088791	6.677235	0.523472	12.755671	8.834787	2.009127	2.272614
CM30b60-M	M11/4589	5.83	0.086623	4.334809	0.306817	14.128317	0.448791	5.057682	3.588636
CM30c-O	M11/4590	4.99	0.144863	7.872603	0.274314	28.699248	3.205579	4.519202	1.614946
CM30c-P	M11/4591	5.30	0.120936	7.060023	0.323537	21.821383	0.472859	5.892220	2.943316
CM30c28-N	M11/4592	4.19	0.328107	28.330854	0.723535	39.156181	0.490959	7.841161	7.392800
CM30c28-P	M11/4593	4.57	0.207558	8.380358	0.293333	28.569410	0.505383	3.575429	3.585069
CM30c35-B	M11/4594	4.97	0.142293	10.307470	0.402959	25.579432	0.456371	3.230945	1.937998
CM30c35-D	M11/4595	5.35	0.098483	7.492797	0.346761	21.607936	0.332010	1.556794	1.414975
CM30c37-E	M11/4596	5.75	0.087437	5.245918	0.345866	15.167507	0.529488	27.304777	5.167988
CM30c37-L	M11/4597	5.40	0.302070	19.727977	1.026427	19.220056	0.306850	63.758133	12.135406
CM30c39-A	M11/4598	6.15	0.061946	4.196294	0.329164	12.748355	4.894807	2.331894	3.342181
CM30c39-E	M11/4599	5.04	0.078878	5.534102	0.325202	17.017433	4.040036	1.765430	4.040544
CM30c44-B	M11/4600	6.29	0.145463	5.200987	0.367992	14.133408	2.741060	1.687296	7.887752
CM30c44-C	M11/4601	6.30	0.107158	2.929475	0.232105	12.621359	3.634618	1.595328	4.629800
CM30c46-D	M11/4602	4.92	0.177379	20.628872	0.780950	26.415094	0.569621	2.753891	3.158995
CM30c46-O	M11/4603	5.07	0.096433	7.427487	0.304392	24.401086	1.518926	1.694142	1.611303
CM30c51-H	M11/4604	5.90	0.100358	4.131275	0.250681	16.480196	1.111216	1.119830	29.971190
CM30c51-I	M11/4605	5.70	0.077960	3.967698	0.227923	17.408072	0.489268	0.796483	36.672082
CM30c53-B	M11/4606	4.13	0.453253	44.349398	1.036735	42.777952	0.000000	7.145440	19.561446
CM30c53-I	M11/4607	4.58	0.422330	34.713940	0.875516	39.649682	0.599038	4.441592	24.322279
CM30c60-A	M11/4608	5.30	0.099775	3.663413	0.238869	15.336477	0.604743	0.857940	3.358300
CM30c60-B	M11/4609	4.75	0.174052	18.793530	0.764548	24.581234	3.070894	3.465619	8.058832
CM30c62-D	M11/4610	5.08	0.081023	3.017446	0.145099	20.795775	0.376019	1.177665	1.634918
CM30c62-M	M11/4611	5.04	0.115373	5.186904	0.211227	24.556041	0.468129	2.480156	2.459706
CM30d12-H	M11/4612	4.96	0.155423	24.653626	0.850620	28.983136	0.549894	5.448668	5.245452
CM30d12-L	M11/4613	5.26	0.096909	8.234271	0.414932	19.844884	0.495205	4.962931	2.076216
CM30d3-D	M11/4614	5.31	0.183071	17.453311	0.944589	18.477157	45.925504	10.582521	4.741589
CM30d3-L	M11/4615	5.07	0.091473	9.445264	0.454572	20.778361	0.418765	5.768925	1.272096
CM31a5-A	M11/4616	4.76	0.129762	11.000456	0.505586	21.757837	0.306590	8.392206	7.634026
CM31a5-B	M11/4617	5.03	0.098463	5.580828	0.298471	18.698042	0.563273	4.601836	4.562683
LB5-A	M11/4618	3.29	0.261435	54.218287	0.748303	72.454999	2.010591	13.510940	13.571550
LB5-I	M11/4619	4.54	0.305074	24.213902	1.255457	19.286927	4.019890	31.102210	5.914928
Plot1-B	M11/4620	5.65	0.143269	6.196535	0.365748	16.942102	2.388935	12.468518	53.217422
Plot1-L	M11/4621	6.13	0.154679	8.973518	0.494605	18.142797	11.649160	10.066012	44.085709
Plot2-C	M11/4622	5.29	0.055083	2.894013	0.174764	16.559579	0.641100	2.199853	1.480183
Plot2-M	M11/4623	4.95	0.101092	5.058117	0.297397	17.007983	0.588388	2.112703	1.971634
Plot3-H	M11/4624	5.69	0.085211	4.926860	0.218789	22.518762	0.500503	1.558070	1.836926
Plot3-N	M11/4625	5.23	0.168585	12.954148	0.569194	22.758746	0.512171	4.237148	3.847870
Plot4-A	M11/4626	6.49	0.652851	43.444816	1.983423	21.903955	1.378250	13.427585	39.634850
Plot4-N	M11/4627	5.34	0.447135	17.861498	0.569614	31.357196	0.587015	6.399489	18.636700
Plot5-I	M11/4628	5.25	0.206862	10.386390	0.542666	19.139579	0.636368	5.719799	6.900049
Plot5-N	M11/4629	5.84	0.107253	7.983237	0.327921	24.344978	0.516130	3.318751	3.876549
Plot6-I	M11/4630	5.59	0.122291	6.521440	0.387467	16.830949	1.595283	4.999191	7.771931
Plot6-N	M11/4631	5.63	0.121254	6.258581	0.380663	16.441272	2.838841	3.883170	9.690904
Plot7-M	M11/4632	5.62	0.071143	4.254723	0.296467	14.351435	3.140506	1.488896	3.373834
Plot7-N	M11/4633	5.60	0.072152	4.294013	0.305735	14.044906	3.082681	1.263655	3.616766
Plot8-I	M11/4634	4.52	0.506712	50.721495	1.881142	26.963136	0.835111	9.535769	34.089512
Plot8-O	M11/4635	5.19	0.119754	9.865213	0.390784	25.244681	0.641485	2.047524	1.373979
CM30c30-L	M11/4636	3.94	0.318159	49.888909	2.019839	24.699454	6.928733	26.946914	23.692817
CM30c30-N	M11/4637	4.45	0.299564	34.013717	1.523348	22.328272	26.755816	10.735058	7.893209
LB1-A	M11/4638	4.28	0.281093	41.900000	1.696667	24.695481	2.405480	8.260876	7.740000
LB1-E	M11/4639	4.72	0.292314	35.876099	1.941753	18.476136	45.867768	4.211094	2.306879
