Plot	Sample	Water Content	pH	EC	Organic.C	Total.N	C/N.ratio	NO3-N	NH4-N	Olsen.P
Plot1-B	M12/1250	29.390233	6.08	0.175865	6.571554	0.374738	17.536391	0.753777	98.094229	64.690443
Plot1-L	M12/1251	38.593089	6.41	0.248508	10.820799	0.560601	19.302153	1.678941	144.471861	82.876913
Plot2-C	M12/1252	42.425640	4.82	0.127402	12.705596	0.506456	25.087251	0.229931	104.932121	19.915137
Plot2-M	M12/1253	29.944270	4.95	0.103172	6.654188	0.255464	26.047447	0.153876	53.651350	20.270722
Plot3-H	M12/1254	39.455782	5.10	0.106448	5.292232	0.223264	23.703875	0.239101	73.393569	6.502267
Plot3-N	M12/1255	38.038202	5.13	0.161249	8.270170	0.307682	26.878981	0.186014	89.079968	9.070576
Plot4-A	M12/1256	91.530636	6.24	0.520140	32.085568	1.566304	20.484891	0.817360	364.797782	75.787982
Plot4-N	M12/1257	135.444700	5.72	0.671482	49.354899	1.875464	26.316106	0.385856	323.136180	61.824929
Plot5-I	M12/1258	41.986301	5.34	0.220830	13.287073	0.564362	23.543510	0.114747	146.459513	20.491434
Plot5-N	M12/1259	37.318926	5.74	0.136690	5.438930	0.256530	21.201923	0.114781	93.181496	9.305380
Plot6-I	M12/1260	29.755990	5.45	0.129533	4.559632	0.254923	17.886309	0.051279	69.534387	14.076893
Plot6-N	M12/1261	33.263661	5.25	0.133330	5.605418	0.266437	21.038462	0.103979	76.528307	19.361749
Plot7-M	M12/1283	51.564041	5.69	0.083740	4.426508	0.318553	13.895686	0.240688	68.229873	8.465337
Plot7-N	M12/1284	73.321966	4.61	0.134272	11.812928	0.541209	21.826923	0.161000	79.641331	11.130172
Plot8-I	M12/1285	68.733291	5.24	0.125186	9.157628	0.470580	19.460296	0.096311	85.288389	5.801843
Plot8-O	M12/1286	96.696740	4.37	0.263403	21.102935	0.894786	23.584348	0.186297	99.066415	12.031317
CM30c30-L	M12/1287	252.483801	3.98	0.339465	51.421351	1.979954	25.970982	0.454194	248.470654	60.165411
CM30c30-N	M12/1288	187.697448	3.95	0.400963	42.663324	1.990737	21.430921	3.452366	354.850752	50.045640
LB1-A	M12/1289	408.134758	4.37	0.330684	51.370041	1.505597	34.119381	0.565353	161.985965	63.405942
LB1-E	M12/1290	338.617886	4.48	0.295946	41.472947	2.417407	17.155963	8.896391	349.029747	18.001920
