Superkingdom	Kingdom	Subkingdom	Infrakingdom	Superphylum	Phylum	Subphylum	Infraphylum	Superclass	Class	Subclass	Infraclass	Superorder	Order
PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA	PROKARYOTA
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Aigarchaeota	Aigarchaeota	Aigarchaeota	Aigarchaeota	Aigarchaeota
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Aigarchaeota	Aigarchaeota	Aigarchaeota	Aigarchaeota	Ca. Caldiarchaeum
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Korarchaeota	Korarchaeota	Korarchaeota	Korarchaeota	Korarchaeota
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Korarchaeota	Korarchaeota	Korarchaeota	Korarchaeota	Ca. Korarchaeum
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Thaumarchaeota	Thaumarchaeota	Thaumarchaeota	Thaumarchaeota	Thaumarchaeota
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Thaumarchaeota	Thaumarchaeota	Thaumarchaeota	Thaumarchaeota	Cenarchaeales
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Thermoprotei	Thermoprotei	Thermoprotei	Thermoprotei	Thermoprotei
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Thermoprotei	Thermoprotei	Thermoprotei	Thermoprotei	Acidilobales
PROKARYOTA	ARCHAEA	ARCHAEA	ARCHAEA	ARCHAEA	Crenarchaeota	Crenarchaeota	Crenarchaeota	Crenarchaeota	Thermoprotei	Thermoprotei	Thermoprotei	Thermoprotei	Desulfurococcales
