CM30c28	CM30c62	Plot07	LB1	Plot05	CM30c39	Plot01	CM30c53	CM31a5	CM30c46	CM30c	CM30d3	CM30c44	CM30c37	CM30c51	CM30d12	Plot03	CM30b58	CM30b60	Plot04	CM30c60	CM30b51	Plot08	LB5	CM30c30	Plot06	Plot02	CM30c35
M00598_54_000000000-ABCWN_1_1104_12787_9750|gene_16S	935	10548	6257	5646	9585	10050	978	891	12236	4746	37838	3911	2820	7649	4700	5194	4222	7027	9717	889	2597	5308	9477	5859	1753	4549	13817	5970
M00598_54_000000000-ABCWN_1_1111_15337_20857|gene_16S	54	2196	3462	574	7814	3089	1578	226	2364	2034	1540	768	2480	3856	2259	1335	7713	2083	5159	1613	1137	2639	2589	183	12	2599	5871	4397
M00598_54_000000000-ABCWN_1_1101_21855_2253|gene_16S	2557	135	1002	1736	852	1535	10	983	2320	2254	1072	597	326	499	30	1058	363	336	1084	530	157	913	1642	2700	1305	379	424	46
M00598_54_000000000-ABCWN_1_1101_20061_4194|gene_16S	1185	3274	252	863	1807	1218	167	1390	3387	1093	7447	520	50	1535	375	1242	1101	1586	1071	677	321	1235	2537	1080	776	591	1947	1124
M00598_54_000000000-ABCWN_1_1105_10278_10852|gene_16S	2103	2562	851	531	1998	1932	25	300	1534	486	6433	298	112	1502	327	710	1190	1017	1209	385	258	820	2700	1191	568	714	3674	1209
M00598_54_000000000-ABCWN_1_1101_23305_5834|gene_16S	1036	3022	398	607	989	381	146	594	2300	945	4361	420	204	1254	563	848	3046	805	874	202	339	656	2021	674	182	132	2213	1414
M00598_54_000000000-ABCWN_1_1113_24887_18419|gene_16S	258	502	454	1077	549	699	1500	392	1297	496	1506	1244	637	879	568	933	694	1351	1292	2373	293	779	1108	602	159	921	612	276
M00598_54_000000000-ABCWN_1_1105_18301_20866|gene_16S	723	922	51	707	902	318	23	1058	2175	938	3100	181	3	615	117	553	722	481	236	167	87	615	951	670	481	120	864	608
M00598_54_000000000-ABCWN_1_1102_27596_6324|gene_16S	201	346	732	646	860	1934	52	239	1061	1199	644	349	198	875	638	853	343	332	1116	158	242	432	1633	960	343	509	570	180
M00598_54_000000000-ABCWN_1_2105_14288_4069|gene_16S	148	658	2941	425	1278	4637	76	97	1144	484	971	307	384	2880	1695	892	790	469	1647	102	757	621	5091	453	70	782	1975	1575
M00598_54_000000000-ABCWN_1_1101_21937_4527|gene_16S	3582	2435	576	1678	2327	1155	14	1610	4123	4168	2897	569	91	918	359	1535	1383	1708	506	774	319	2124	2177	3309	2313	738	2992	881
M00598_54_000000000-ABCWN_1_1101_15483_4124|gene_16S	359	325	140	779	710	387	53	225	2086	882	963	391	83	353	248	646	328	410	433	192	175	619	867	859	265	200	553	164
M00598_54_000000000-ABCWN_1_1101_16492_18003|gene_16S	708	183	52	517	193	81	34	1180	771	658	1244	160	9	149	38	450	205	510	99	267	79	388	198	445	472	91	137	140
M00598_54_000000000-ABCWN_1_1106_22697_15683|gene_16S	440	337	113	513	800	455	253	870	333	159	735	302	69	540	191	748	217	669	605	986	102	411	815	730	253	575	164	167
M00598_54_000000000-ABCWN_1_1103_18416_23058|gene_16S	18	38	623	183	427	1777	985	13	208	135	269	476	1094	696	943	502	192	514	1514	568	189	441	395	226	7	664	340	50
M00598_54_000000000-ABCWN_1_1103_11830_3536|gene_16S	15	190	692	642	724	1030	26	12	533	217	522	612	562	988	646	540	268	346	1271	74	377	387	1028	375	23	502	555	567
M00598_54_000000000-ABCWN_1_1102_6875_19705|gene_16S	55	132	388	497	623	367	364	101	1057	530	258	821	181	592	319	605	368	644	515	910	79	900	590	541	59	756	189	180
M00598_54_000000000-ABCWN_1_1102_8682_1925|gene_16S	438	447	139	300	983	457	22	246	1112	523	965	156	9	347	138	508	297	392	436	162	144	412	993	672	322	193	270	206
M00598_54_000000000-ABCWN_1_1106_9543_4144|gene_16S	1282	697	682	1385	1476	2300	104	604	1451	1923	1210	1018	260	974	547	1252	783	962	967	568	490	891	3094	1898	1060	717	1442	508
