OTU_id	CM30c28-P	CM30c62-D	Plot07-M	LB1-E	Plot05-I	CM30c39-E	Plot01-L	CM30c53-I	CM31a5-A	CM30c46-D	CM30c-O	CM30c28-N	CM30d3-L	CM30c44-B	CM30c37-E	CM30c62-M	CM30c37-L	CM30c51-H	Plot05-N	CM30d12-H	Plot03-N	CM30c46-O	CM30b58-C	CM30b60-E	CM30c-P	Plot04-A	CM30c39-A	CM30c60-B	Plot01-B	CM30b51-M	CM30d12-L	Plot08-I	CM30c44-C	Plot04-N	LB5-I	CM30d3-D	CM30b58-I	LB1-A	LB5-A	CM30c30-L	Plot06-I	CM30c53-B	CM30c51-I	Plot02-C	CM30c35-D	Plot03-H	CM30b51-B	CM31a5-B	CM30c30-N	CM30b60-M	Plot02-M	Plot08-O	Plot06-N	CM30c35-B	Plot07-N	CM30c60-A
M00598_54_000000000-ABCWN_1_1104_12787_9750|gene_16S	181	8397	2910	3895	6389	6757	431	264	5872	1914	29331	754	2283	1263	3739	2151	3910	3275	3196	3521	1475	2832	2349	6373	8507	160	3293	1062	547	3740	1673	4546	1557	729	4793	1628	4678	1751	1066	901	2166	627	1425	6864	2833	2747	1568	6364	852	3344	6953	4931	2383	3137	3347	1535
M00598_54_000000000-ABCWN_1_1111_15337_20857|gene_16S	34	1566	1872	565	1857	2239	716	47	909	56	535	20	422	1473	1220	630	2636	1497	5957	714	762	1978	1321	3573	1005	594	850	420	862	875	621	1072	1007	1019	183	346	762	9	0	0	1221	179	762	1530	2160	6951	1764	1455	12	1586	4341	1517	1378	2237	1590	717
M00598_54_000000000-ABCWN_1_1101_21855_2253|gene_16S	935	33	446	825	760	800	10	659	1774	1765	486	1622	289	134	436	102	63	4	92	843	306	489	196	873	586	23	735	94	0	783	215	991	192	507	1831	308	140	911	869	342	121	324	26	54	9	57	130	546	963	211	370	651	258	37	556	63
M00598_54_000000000-ABCWN_1_1101_20061_4194|gene_16S	408	2425	141	493	1707	1172	79	728	1823	593	5829	777	330	24	536	849	999	280	100	848	835	500	606	552	1618	64	46	197	88	953	394	1120	26	613	698	190	980	370	382	361	297	662	95	631	710	266	282	1564	415	519	1316	1417	294	414	111	124
M00598_54_000000000-ABCWN_1_1105_10278_10852|gene_16S	480	1666	453	319	1446	1077	11	138	910	250	5531	1623	135	63	647	896	855	216	552	513	728	236	437	1016	902	22	855	107	14	526	197	1430	49	363	942	163	580	212	249	190	409	162	111	1133	715	462	294	624	378	193	2541	1270	305	494	398	151
M00598_54_000000000-ABCWN_1_1101_23305_5834|gene_16S	139	1659	212	413	699	280	32	266	1448	202	3441	897	258	116	184	1363	1070	407	290	689	1577	743	399	618	920	10	101	133	114	502	159	866	88	192	618	162	406	194	56	43	64	328	156	464	942	1469	154	852	139	256	1749	1155	68	472	186	206
M00598_54_000000000-ABCWN_1_1113_24887_18419|gene_16S	144	241	267	840	398	343	962	222	737	252	853	114	564	429	296	261	583	464	151	668	278	244	548	830	653	1285	356	153	538	326	265	460	208	1088	524	680	803	237	78	35	422	170	104	167	165	416	453	560	124	462	445	648	499	111	187	140
M00598_54_000000000-ABCWN_1_1105_18301_20866|gene_16S	195	470	35	250	768	311	14	555	1327	581	2677	528	123	1	66	452	549	84	134	388	546	357	250	123	423	12	7	54	9	576	165	542	2	155	425	58	231	457	245	199	56	503	33	73	372	176	39	848	282	113	791	409	64	236	16	33
M00598_54_000000000-ABCWN_1_1102_27596_6324|gene_16S	74	128	349	256	774	1643	22	84	450	1083	363	127	137	131	624	218	251	520	86	626	157	116	129	816	281	14	291	79	30	358	227	1070	67	144	420	212	203	390	540	126	312	155	118	357	112	186	74	611	217	300	213	563	197	68	383	163
M00598_54_000000000-ABCWN_1_2105_14288_4069|gene_16S	71	494	1384	228	1030	3891	21	43	388	161	296	77	115	187	1884	164	996	1435	248	524	399	323	190	1265	675	13	746	126	55	461	368	3104	197	89	372	192	279	197	81	23	274	54	260	899	842	391	160	756	47	382	1076	1987	508	733	1557	631
M00598_54_000000000-ABCWN_1_1101_21937_4527|gene_16S	1459	1595	277	669	1959	963	4	884	2363	3482	2468	2123	319	48	580	840	338	280	368	1161	1011	686	866	386	429	8	192	171	10	1783	374	1241	43	766	1596	250	842	1009	1713	880	392	726	79	471	241	372	341	1760	1433	120	2521	936	346	640	299	148
M00598_54_000000000-ABCWN_1_1101_15483_4124|gene_16S	195	212	77	496	608	263	38	136	1263	407	481	164	209	27	187	113	166	191	102	386	199	475	232	317	482	21	124	98	15	555	260	523	56	171	667	182	178	283	192	97	105	89	57	306	85	129	64	823	168	116	247	344	95	79	63	77
M00598_54_000000000-ABCWN_1_1101_16492_18003|gene_16S	358	126	44	171	183	60	24	739	519	522	939	350	105	7	27	57	122	22	10	306	180	136	192	62	305	18	21	69	10	303	144	66	2	249	272	55	318	346	173	155	71	441	16	38	77	25	85	252	317	37	99	132	20	63	8	10
M00598_54_000000000-ABCWN_1_1106_22697_15683|gene_16S	123	159	71	358	738	292	200	506	161	70	269	317	187	26	244	178	296	125	62	534	127	89	327	275	466	154	163	51	53	162	214	348	43	832	640	115	342	155	90	79	240	364	66	92	78	90	249	172	174	330	72	467	335	89	42	51
M00598_54_000000000-ABCWN_1_1103_18416_23058|gene_16S	16	22	296	156	233	925	620	7	49	12	60	2	47	597	486	16	210	789	194	337	24	123	256	1323	209	298	852	71	365	94	165	119	497	270	211	429	258	27	15	0	259	6	154	324	23	168	347	159	7	191	16	276	405	27	327	118
M00598_54_000000000-ABCWN_1_1103_11830_3536|gene_16S	15	150	312	578	514	620	9	3	180	155	63	0	363	250	505	40	483	517	210	289	24	62	140	987	459	29	410	59	17	192	251	519	312	45	328	249	206	64	47	4	315	9	129	324	386	244	195	353	19	284	231	509	187	181	380	318
M00598_54_000000000-ABCWN_1_1102_6875_19705|gene_16S	31	50	270	420	423	235	253	83	212	100	77	24	250	107	218	82	374	233	200	369	150	430	369	407	181	242	132	27	111	509	236	188	74	668	377	571	275	77	164	26	315	18	86	144	122	218	391	845	33	108	45	402	441	58	118	52
M00598_54_000000000-ABCWN_1_1102_8682_1925|gene_16S	209	265	86	136	877	411	16	80	453	199	718	229	81	9	163	182	184	90	106	343	154	324	168	294	247	36	46	76	6	362	165	522	0	126	593	75	224	164	79	101	80	166	48	219	159	143	50	659	221	142	51	471	113	47	53	68
M00598_54_000000000-ABCWN_1_1106_9543_4144|gene_16S	798	442	382	821	1312	1573	52	261	741	1618	579	484	438	151	475	255	499	434	164	832	412	305	519	678	631	77	727	256	52	549	420	1564	109	491	1304	580	443	564	594	300	314	343	113	798	211	371	342	710	760	289	644	1530	403	297	300	234
M00598_54_000000000-ABCWN_1_1101_15792_2012|gene_16S	5	6	532	79	66	223	78	15	12	9	4	1	51	345	336	8	254	274	59	33	25	49	202	593	31	63	721	25	111	14	133	7	249	163	93	489	349	20	10	1	188	0	31	55	102	72	295	18	4	134	1	37	749	46	556	26
M00598_54_000000000-ABCWN_1_1101_6672_12034|gene_16S	348	56	78	153	270	154	26	393	297	821	396	340	86	17	75	99	172	52	52	377	139	230	230	93	186	25	77	69	37	141	89	157	10	279	211	64	240	256	245	110	78	483	14	37	97	123	85	130	285	46	83	184	136	48	81	9
M00598_54_000000000-ABCWN_1_1101_17935_1761|gene_16S	686	63	32	130	345	73	136	692	470	350	734	390	95	59	66	94	92	92	19	421	159	55	387	208	415	338	30	66	97	210	80	115	27	424	167	44	334	155	48	27	93	292	37	36	24	35	218	273	456	94	95	114	135	37	38	24
M00598_54_000000000-ABCWN_1_1101_22046_7007|gene_16S	123	134	38	674	274	93	169	187	564	159	203	61	450	43	70	247	398	123	49	265	202	148	423	103	319	379	53	60	97	250	102	206	41	506	234	158	317	88	30	28	170	191	32	94	198	163	203	407	102	90	315	418	146	164	30	20
M00598_54_000000000-ABCWN_1_1101_10181_9963|gene_16S	598	167	187	834	434	650	321	550	711	1021	439	403	430	84	349	274	605	541	123	1154	371	257	534	612	654	77	406	473	327	542	315	864	99	537	593	349	370	542	406	227	323	696	194	262	251	213	274	599	639	198	162	708	572	129	228	157
M00598_54_000000000-ABCWN_1_1101_5599_8612|gene_16S	17	166	619	444	1023	1010	327	5	399	40	190	21	237	487	868	128	814	1813	498	437	112	374	233	1907	886	34	750	184	418	823	414	426	521	91	502	299	563	57	25	10	534	3	559	1067	578	572	237	1348	25	705	181	713	460	508	750	503
M00598_54_000000000-ABCWN_1_1102_12355_2943|gene_16S	342	77	13	142	225	140	59	527	242	244	133	250	76	4	87	123	160	254	21	271	130	89	243	61	133	3	7	234	62	167	100	101	15	228	128	47	125	106	120	49	112	411	63	86	83	64	51	287	288	36	10	156	77	60	9	19
M00598_54_000000000-ABCWN_1_1101_25049_6623|gene_16S	6	315	18	32	154	306	0	10	194	126	54	17	32	0	65	139	32	191	2	285	394	46	13	229	203	0	52	88	5	295	43	517	12	49	32	9	18	5	73	59	11	31	95	199	19	78	6	548	11	57	44	309	19	8	20	125
M00598_54_000000000-ABCWN_1_1101_7222_11592|gene_16S	44	65	226	351	270	493	373	47	287	297	146	62	219	168	306	67	384	585	120	496	113	132	211	645	312	147	358	116	362	258	195	423	144	137	297	221	186	137	255	59	143	86	185	199	209	212	187	361	92	231	378	505	239	116	264	154
M00598_54_000000000-ABCWN_1_1101_21432_24319|gene_16S	11	5	99	220	173	191	137	53	15	15	31	8	118	90	79	34	127	123	40	338	51	38	143	315	79	454	312	16	92	83	100	40	37	508	294	322	87	56	20	6	78	9	23	57	19	51	137	147	10	159	8	212	62	26	40	37
M00598_54_000000000-ABCWN_1_1101_20668_5182|gene_16S	49	223	285	229	270	497	16	20	158	83	116	87	139	57	214	155	208	415	174	406	365	220	122	632	413	5	400	54	79	116	136	538	75	9	229	156	204	84	9	3	97	14	66	364	128	417	115	251	32	270	323	614	144	123	230	168
M00598_54_000000000-ABCWN_1_1101_18468_9038|gene_16S	1	19	412	248	135	1887	18	1	24	5	38	0	163	540	202	2	428	229	65	324	3	181	49	1035	306	0	723	13	48	18	35	114	370	3	71	158	107	2	0	0	136	1	62	383	465	202	95	28	4	245	206	238	125	315	512	239
M00598_54_000000000-ABCWN_1_1105_8142_14341|gene_16S	12	130	203	351	362	591	402	7	256	131	122	5	235	391	426	133	341	1040	73	571	115	69	156	1488	392	186	355	102	278	230	269	335	260	207	218	323	594	50	18	6	326	15	239	205	100	97	178	386	29	418	172	512	490	79	197	174
M00598_54_000000000-ABCWN_1_1101_10742_6274|gene_16S	732	100	29	186	363	106	49	369	1018	987	1137	623	71	6	108	50	90	112	14	281	270	274	251	69	322	8	14	76	23	557	78	364	9	187	636	45	98	435	340	183	60	211	18	78	55	26	28	731	561	30	146	141	51	68	23	16
