OTU_id	CM30c60-A	CM30c60-B	CM30c28-N	CM30c28-P	CM30b58-I	CM30c37-L	CM30c62-D	CM30c30-N	Plot08-I	Plot03-N	Plot07-N	LB1-A	CM30c37-E	LB5-I	CM30b60-M	CM30c30-L	Plot04-N	LB5-A	Plot07-M	CM30c39-A	CM30c62-M	Plot04-A	Plot03-H	CM30c51-H	CM30c53-I	CM30c51-I	CM30b58-C	LB1-E	CM31a5-A	Plot08-O	Plot05-I	Plot01-B	CM30c-O	CM30b60-E	CM30c39-E	Plot02-M	CM30c-P	CM30c35-D	CM30d12-H	CM30d12-L	CM30c46-D	CM30c44-B	CM30c35-B	CM30d3-L	CM30b51-B	Plot06-I	Plot06-N	Plot05-N	CM30c46-O	CM30b51-M	CM30d3-D	CM31a5-B	Plot01-L	CM30c53-B	Plot02-C	CM30c44-C
M01895_13_000000000-ABYEE_1_1101_16784_6629|gene_18S	914	3061	2410	1335	1097	252	238	361	688	3398	3429	465	479	1600	634	48	844	169	1784	767	2143	1401	3436	654	3266	1229	788	1056	698	2649	3374	2968	536	1453	706	3096	681	1643	2457	822	117	928	9183	2420	1320	1158	3615	345	114	975	1541	136	2884	2767	686	1239
M01895_13_000000000-ABYEE_1_1112_21100_11294|gene_18S	10124	3976	3051	626	5364	2052	4719	320	3204	3336	577	2865	879	1407	2262	4354	3356	1810	250	49	1476	166	268	42	293	173	344	486	6208	200	1368	131	6643	191	5335	2601	879	9329	1119	9234	457	83	1520	271	249	6926	576	138	93	183	114	771	258	2106	5199	101
M01895_13_000000000-ABYEE_1_1101_16379_6501|gene_18S	284	1596	2734	11404	1609	23	11900	22	46	10241	112	81	33	83	28	19	35	49	33	14	1351	48	61	2606	95	2517	515	13	24	58	1739	545	443	38	122	3333	2210	61	25	23	1	7	4570	36	17	88	311	510	39	19	47	8424	18	50	1830	83
M01895_13_000000000-ABYEE_1_1101_20061_9799|gene_18S	147	348	4	4	206	96	45	320	636	1	2993	346	2662	2367	897	213	422	723	2506	1078	258	9	1491	38	5	6	1103	1026	974	1319	227	1	10	2302	117	145	226	2	2191	1083	4	821	0	143	1785	591	634	545	47	268	567	567	10	2	253	1098
M01895_13_000000000-ABYEE_1_1101_13118_3884|gene_18S	69	332	3339	289	27	119	63	1742	76	320	7	2452	548	880	95	1400	915	70	15	0	723	63	42	28	4165	1001	209	103	8	299	40	2	90	2	1	350	398	1768	2811	172	6441	11	45	5157	9	4239	134	16	23	11513	80	18	107	4469	8	4
M01895_13_000000000-ABYEE_1_1102_26210_12947|gene_18S	113	444	442	618	110	422	225	71	507	124	375	124	969	96	2367	83	6139	129	195	293	518	300	625	311	512	60	430	157	201	3785	648	18	195	329	122	906	614	297	477	981	38	43	106	941	117	262	618	477	123	26	394	192	39	1167	356	48
M01895_13_000000000-ABYEE_1_1101_19188_6985|gene_18S	27	1539	110	709	136	150	89	4668	604	9	1306	197	31	845	696	69	3303	2342	1948	539	442	458	153	141	1348	112	17	361	0	2232	184	2	0	594	75	88	70	57	429	989	165	6	23	192	21	27	443	130	827	519	13	1	0	1342	2	1159
M01895_13_000000000-ABYEE_1_2104_8450_11106|gene_18S	1257	3813	782	27	7	361	1023	1401	796	4	5388	1365	1898	3860	685	261	218	2134	1648	1971	636	144	818	2293	311	1245	837	6750	265	430	30	9	0	3158	275	151	99	844	123	1034	213	491	254	1247	655	461	4477	1268	924	19	1355	1559	0	903	852	1129
M01895_13_000000000-ABYEE_1_1101_7469_10144|gene_18S	0	0	12	558	661	1	4440	0	0	782	0	0	0	0	1	1	2	0	2	2	92	0	2	401	1	219	0	0	54	0	1157	1244	248	0	0	1922	2019	737	3	0	0	0	54	80	7	0	255	99	0	0	1	87	6	0	0	1
M01895_13_000000000-ABYEE_1_1105_18297_21137|gene_18S	3	35	792	808	210	195	4	380	98	584	54	54	23	188	272	43	234	50	145	37	118	263	116	91	872	121	31	62	83	25	774	0	176	52	26	195	160	123	188	433	122	65	502	96	462	5	116	684	550	45	757	15	0	622	129	26
