CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1101_16784_6629|gene_18S	3975	3745	1885	731	2381	409	3337	6834	5213	1521	1769	2087	2245	1473	1883	6033	834	3719	5852	1217	3782	10826	3279	231	2167	3961	2295	4773
M01895_13_000000000-ABYEE_1_1112_21100_11294|gene_18S	14100	3677	5708	2931	6195	4674	3404	3604	827	3351	3217	2453	3522	5384	215	2399	6979	1506	389	7522	7800	10849	10353	550	184	385	432	7502
M01895_13_000000000-ABYEE_1_1101_16379_6501|gene_18S	1880	14138	2124	56	13251	41	104	10302	145	94	132	66	83	136	5123	145	8448	2249	563	2653	5163	4631	48	40	90	83	36	399
M01895_13_000000000-ABYEE_1_1101_20061_9799|gene_18S	495	8	1309	2758	303	533	1955	1492	5499	1372	3090	3199	431	1195	44	7	1541	772	11	236	398	2	3274	51	1919	710	2053	1225
M01895_13_000000000-ABYEE_1_1101_13118_3884|gene_18S	401	3628	236	667	786	3142	375	362	22	2555	950	97	978	1	1029	8634	26	56	109	488	358	1813	2983	6464	15	5237	11522	4373
M01895_13_000000000-ABYEE_1_1102_26210_12947|gene_18S	557	1060	540	1391	743	154	4292	749	570	281	225	2696	6439	415	371	1679	393	1125	57	809	1262	403	1458	161	91	1335	143	880
M01895_13_000000000-ABYEE_1_1101_19188_6985|gene_18S	1566	819	153	181	531	4737	2836	162	3254	558	3187	1290	3761	614	253	2690	1	314	2	70	90	80	1418	992	1165	205	540	470
M01895_13_000000000-ABYEE_1_2104_8450_11106|gene_18S	5070	809	844	2259	1659	1662	1226	822	7036	8115	5994	3843	362	2246	3538	1214	1824	1298	9	99	1003	1098	1157	1137	1620	2602	674	4938
M01895_13_000000000-ABYEE_1_1101_7469_10144|gene_18S	0	570	661	1	4532	1	0	784	2	0	0	1	2	2	620	1	141	1256	1250	2267	1922	791	3	0	1	81	7	255
M01895_13_000000000-ABYEE_1_1105_18297_21137|gene_18S	38	1600	241	218	122	423	123	700	199	116	238	324	497	63	212	1494	98	1458	0	336	324	625	621	672	91	853	507	121
