CM30c28	Plot05	CM30c46	CM30b58	CM30c60	LB5	CM31a5	CM30c	CM30d3	CM30c44	CM30c39	CM30c30	CM30c53	CM30b60	CM30b51	CM30d12	Plot03	Plot08	Plot06	Plot02	Plot01	CM30c35	Plot04	CM30c37	CM30c62	LB1	Plot07	CM30c51
M00598_54_000000000-ABCWN_1_1113_17813_12890|gene_26S	681	2170	407	6631	817	1398	1128	1957	3730	7300	3797	298	1572	2609	4452	2852	2812	1778	4198	3059	10155	6793	1115	1128	627	1310	5716	2148
M00598_54_000000000-ABCWN_1_1101_12482_4678|gene_26S	230	940	3	899	244	0	15421	7	1	0	2	0	2	0	1	0	5	0	313	5095	987	2	0	3	8986	0	0	7900
M00598_54_000000000-ABCWN_1_1116_5133_14925|gene_26S	1	0	1	0	0	11	0	0	0	0	0	1	0	47	18690	3871	0	0	0	4	0	0	0	0	0	2	3	0
M00598_54_000000000-ABCWN_1_1102_14852_6543|gene_26S	53	308	24	6	20	72	0	1320	647	301	564	0	21	2512	326	2392	368	5175	178	54	9	0	5926	3368	25	107	7	889
M00598_54_000000000-ABCWN_1_1110_12826_5968|gene_26S	1	0	0	503	66	6	2	0	1	0	0	22	0	39	0	3	0	17	1536	22957	0	0	0	67	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_22924_4293|gene_26S	839	1372	1	2047	2	0	385	6455	7	6	0	0	9	1	89	1	334	0	437	2056	2632	601	41	0	4678	0	1	1464
M00598_54_000000000-ABCWN_1_1101_13208_5345|gene_26S	0	1	2	0	307	0	0	292	0	1	0	0	0	0	0	1	0	3330	0	4	0	0	1	15002	0	0	0	65
M00598_54_000000000-ABCWN_1_1101_23169_2896|gene_26S	0	0	6263	0	0	583	0	0	0	0	0	4240	0	0	5103	1	0	2	0	0	0	0	1	0	0	1	1	0
M00598_54_000000000-ABCWN_1_1101_19396_2179|gene_26S	1760	39	20	11644	7	8	17837	22032	9	1	19	1	22	5	10	5	200	39	12	841	613	4096	5	10	2854	2	28	21
M00598_54_000000000-ABCWN_1_1101_21726_14941|gene_26S	172	23	1668	2182	15	2240	249	282	31	1	12	2543	1575	1	1283	505	19	176	8	9	2	6	94	7	2	1703	6	7
M00598_54_000000000-ABCWN_1_2101_16611_3223|gene_26S	0	0	2	0	3136	0	0	2	0	0	24669	0	0	87	1	0	1	0	0	2	0	0	0	0	0	1	0	0
M00598_54_000000000-ABCWN_1_1101_11647_2762|gene_26S	1046	2151	3854	989	19	429	290	1372	2545	446	293	526	1132	491	2571	1101	306	168	237	553	1	814	565	1383	65	200	384	464
M00598_54_000000000-ABCWN_1_1101_15106_4968|gene_26S	876	1	1	0	0	40	0	0	1	0	0	5990	1901	1	2	520	1	503	0	0	0	0	3150	1	6	74	0	0
M00598_54_000000000-ABCWN_1_2102_15660_6897|gene_26S	0	1	2	7579	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	4419	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_26697_8825|gene_26S	179	4	1	0	330	0	3602	2147	214	368	3129	0	2	0	13	0	0	0	2	0	158	0	48	11	17	0	2	8374
M00598_54_000000000-ABCWN_1_1101_21602_5850|gene_26S	0	0	0	3	1	0	2	0	3	0	1	0	0	12794	0	0	0	0	3	1	1	0	6	5460	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_25799_16409|gene_26S	3	0	0	0	96	0	1	1	0	670	11410	0	0	7513	0	0	0	0	0	2	580	0	0	1258	0	1	8186	350
M00598_54_000000000-ABCWN_1_1103_20727_16784|gene_26S	10	0	10402	0	0	2	0	0	4	0	0	1	2	41	0	0	0	2	0	0	3	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_10582_1732|gene_26S	10008	0	0	4	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	5	0	0	0	0
M00598_54_000000000-ABCWN_1_1112_8649_14552|gene_26S	0	1427	1	51	42	60	0	1	592	512	2314	1	32	5944	2001	42	128	4	1162	4	321	0	88	579	13	57	85	1075
M00598_54_000000000-ABCWN_1_1101_23589_16981|gene_26S	0	0	5048	1	0	80	0	0	0	1	0	1076	0	0	2403	0	0	0	0	0	1	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_2117_13970_11505|gene_26S	0	1	0	0	0	0	0	0	0	6646	1	0	0	1165	0	0	0	0	0	0	0	0	292	0	0	0	9328	83
M00598_54_000000000-ABCWN_1_1105_16334_21057|gene_26S	890	919	1271	656	518	418	2800	953	1121	441	1762	303	2740	2016	218	3450	558	3729	478	9026	45	2189	228	1721	3189	346	1460	433
M00598_54_000000000-ABCWN_1_1102_23763_12640|gene_26S	0	693	580	99	162	2	0	0	343	36	2512	15	82	1624	84	717	235	1032	296	156	1	33	44	203	51	0	451	958
M00598_54_000000000-ABCWN_1_1101_16809_2177|gene_26S	1	0	0	1	0	7984	0	0	0	4116	15	6	389	61	9	336	0	1	5	0	0	0	209	0	1	93	0	0
M00598_54_000000000-ABCWN_1_1101_13741_2390|gene_26S	1	2297	32	6	140	0	27	73	24	976	842	0	0	1	175	1	124	683	456	152	97	1596	9	609	0	0	4024	1414
M00598_54_000000000-ABCWN_1_2104_13358_4046|gene_26S	0	0	0	0	5	0	1	0	0	0	8	0	0	0	5	273	0	0	7299	0	0	0	6	0	0	203	0	0
M00598_54_000000000-ABCWN_1_1102_8513_10194|gene_26S	0	0	0	0	46	0	0	0	0	383	683	0	1	60	0	0	0	0	197	4	37	0	0	938	1	0	1019	4215
M00598_54_000000000-ABCWN_1_1104_16453_4477|gene_26S	0	0	0	0	1	79	0	1	1	1	0	0	0	0	35	1	0	0	0	0	0	0	0	2751	0	5934	0	0
M00598_54_000000000-ABCWN_1_1101_17536_1343|gene_26S	0	1	0	0	0	0	0	0	0	2	0	0	0	6994	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_19047_19765|gene_26S	71	936	215	224	216	110	308	422	332	739	584	55	171	842	168	489	2636	2070	231	796	415	27	381	677	130	170	123	653
M00598_54_000000000-ABCWN_1_2109_13312_18961|gene_26S	511	2	40	2	26	537	2	657	5312	1	0	215	473	3	57	116	19	47	134	0	2	0	234	1589	66	91	0	547
M00598_54_000000000-ABCWN_1_2116_21888_5477|gene_26S	11	0	6045	0	2	49	0	2	1	0	0	1111	2	0	16	0	0	0	0	0	0	0	0	0	0	20	0	0
M00598_54_000000000-ABCWN_1_1103_20113_19622|gene_26S	1601	1	179	0	1	642	1	1	315	1	0	1906	4723	3	10116	1199	1	36	1858	0	0	0	14	0	1	5666	2	0
M00598_54_000000000-ABCWN_1_1101_24663_4365|gene_26S	2494	0	0	1113	0	0	0	1488	0	1	0	0	0	0	1	0	5340	1	0	0	1	297	0	1	0	0	0	9
M00598_54_000000000-ABCWN_1_1111_16168_17171|gene_26S	0	1	0	0	1	34	0	1	0	0	924	0	0	24	0	311	0	4905	1	1	0	0	28	1278	219	0	0	18
M00598_54_000000000-ABCWN_1_1101_18681_5158|gene_26S	0	0	5538	0	0	0	0	0	0	1	0	43	282	24	94	1438	7	92	4	1	1	0	155	0	0	52	0	0
M00598_54_000000000-ABCWN_1_2101_6183_10181|gene_26S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6189	0	0	0	0	1	0	0	0	0	0	0	2
M00598_54_000000000-ABCWN_1_1101_10675_2822|gene_26S	8	196	0	106	0	0	1	2	0	1	0	0	0	0	0	0	12	1	2	4520	0	0	1	0	830	0	0	1
M00598_54_000000000-ABCWN_1_1101_20039_9979|gene_26S	0	0	0	1	854	1408	0	0	0	0	0	138	152	0	0	2859	0	2	0	0	0	0	305	46	2	35	0	0
M00598_54_000000000-ABCWN_1_1101_9196_3464|gene_26S	0	0	0	0	0	0	0	0	0	0	0	38	0	0	1	0	0	0	0	0	0	0	0	0	0	4294	0	0
M00598_54_000000000-ABCWN_1_1101_23756_3949|gene_26S	3	267	94	0	0	0	0	2	1	7	0	0	0	0	0	172	23	247	262	0	0	27	0	4980	0	0	29	0
M00598_54_000000000-ABCWN_1_1102_8900_9658|gene_26S	0	65	0	4596	0	0	149	0	0	0	0	0	0	0	0	0	0	1	20	0	0	156	0	0	1	0	0	0
