OTU_id	CM30c28-P	Plot05-I	CM30c46-O	CM30b58-I	CM30c60-B	LB5-I	CM31a5-A	CM30c-O	Plot05-N	CM30d3-D	CM30c44-C	CM30c39-E	CM30c30-L	CM30c53-I	CM30b60-M	CM30c39-A	CM30b51-B	CM30d12-H	CM30c53-B	CM30c30-N	Plot03-N	CM30d12-L	Plot08-I	Plot06-I	Plot02-C	Plot03-H	Plot01-L	CM30c35-D	Plot08-O	LB5-A	CM30c60-A	Plot04-N	CM30b60-E	CM30c28-N	CM30c37-L	CM30c62-D	CM31a5-B	CM30c37-E	CM30c44-B	CM30d3-L	Plot01-B	LB1-E	Plot02-M	CM30b51-M	Plot07-M	LB1-A	CM30c-P	Plot06-N	CM30c46-D	Plot07-N	CM30c51-I	CM30c35-B	Plot04-A	CM30c51-H	CM30b58-C	CM30c62-M
M00598_54_000000000-ABCWN_1_1113_17813_12890|gene_26S	228	1686	317	1999	418	1387	988	1159	484	2281	4417	1018	1	1070	298	2779	2911	2267	502	297	694	585	457	416	1553	2118	6370	770	1321	11	399	266	2311	453	555	129	140	573	2883	1449	3785	1019	1506	1541	2517	291	798	3782	90	3199	744	6023	849	1404	4632	498
M00598_54_000000000-ABCWN_1_1101_12482_4678|gene_26S	5	940	1	897	244	0	1	1	0	0	0	2	0	0	0	0	0	0	2	0	4	0	0	0	5019	1	53	2	0	0	0	0	0	225	2	8902	15420	1	0	1	934	0	76	1	0	0	6	313	2	0	1472	0	0	6428	2	84
M00598_54_000000000-ABCWN_1_1116_5133_14925|gene_26S	0	0	1	0	0	9	0	0	0	0	0	0	0	0	47	0	4	3871	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	4	18686	0	1	0	0	0	3	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1102_14852_6543|gene_26S	49	168	24	6	4	0	0	3	140	645	20	390	0	1	1893	174	316	1166	20	0	0	1226	662	153	18	368	8	0	4513	72	16	5348	619	4	1697	2	0	1671	281	2	1	107	36	10	6	0	1317	25	0	1	10	0	578	879	0	23
M00598_54_000000000-ABCWN_1_1110_12826_5968|gene_26S	0	0	0	503	3	0	2	0	0	1	0	0	22	0	0	0	0	0	0	0	0	3	17	1531	22957	0	0	0	0	6	63	0	39	1	67	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_22924_4293|gene_26S	830	1172	1	2046	2	0	168	1570	200	0	5	0	0	9	1	0	87	1	0	0	331	0	0	0	1	3	21	527	0	0	0	26	0	9	0	4678	217	0	1	7	2611	0	2055	2	0	0	4885	437	0	1	187	74	15	1277	1	0
M00598_54_000000000-ABCWN_1_1101_13208_5345|gene_26S	0	0	0	0	307	0	0	290	1	0	1	0	0	0	0	0	0	0	0	0	0	1	3330	0	0	0	0	0	0	0	0	1	0	0	15001	0	0	1	0	0	0	0	4	0	0	0	2	0	2	0	0	0	0	65	0	0
M00598_54_000000000-ABCWN_1_1101_23169_2896|gene_26S	0	0	0	0	0	583	0	0	0	0	0	0	761	0	0	0	0	1	0	3479	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	5103	0	0	0	0	6263	1	0	0	1	0	0	0
M00598_54_000000000-ABCWN_1_1101_19396_2179|gene_26S	283	39	20	11386	6	8	17241	21081	0	5	0	15	0	13	0	4	0	0	9	1	186	5	34	1	116	14	577	3795	5	0	1	0	5	1477	9	2827	596	1	1	4	36	2	725	10	15	0	951	11	0	13	16	301	5	5	258	27
M00598_54_000000000-ABCWN_1_1101_21726_14941|gene_26S	11	17	643	1168	14	641	232	143	6	16	1	12	380	236	0	0	14	436	1339	2163	15	69	163	7	2	4	2	2	13	1599	1	94	1	161	3	2	17	4	0	15	0	748	7	1269	6	955	139	1	1025	0	3	4	0	4	1014	0
