OTU_id	Plot03-H	CM30c39-A	CM30c-P	Plot06-I	CM30c46-O	CM30b58-I	CM30c44-C	Plot03-N	Plot04-A	LB5-I	CM30c30-L	CM30c28-P	CM30c60-B	CM30b51-B	CM30c46-D	Plot01-B	CM30c-O	CM30d12-H	Plot08-O	CM30c37-E	CM30c35-D	Plot01-L	Plot05-N	Plot07-M	CM30d12-L	CM30c53-B	CM31a5-B	CM30c53-I	CM30c37-L	CM30c30-N	CM30b60-M	LB5-A	CM30b51-M	CM30c39-E	LB1-A	CM30b58-C	CM30d3-D	CM30d3-L	CM30c28-N	Plot04-N	Plot02-M	LB1-E	CM30b60-E	CM30c62-D	CM30c60-A	CM30c62-M	Plot07-N	Plot06-N	Plot08-I	CM30c51-H	CM31a5-A	CM30c51-I	Plot05-I	CM30c44-B	CM30c35-B	Plot02-C
M00598_54_000000000-ABCWN_1_1104_12344_23863|gene_FolCO1	10	1	1539	496	20	551	3	3749	1	3	0	8	193	0	352	0	0	462	2327	22	0	27	1	14	430	8	1515	0	104	183	397	0	2	1922	55	927	256	318	141	9	1012	30	7	115	254	5	8	121	3993	66	239	365	512	0	33	0
M00598_54_000000000-ABCWN_1_2108_9785_19687|gene_FolCO1	0	1	399	1671	152	472	0	498	50	374	15	156	120	330	86	0	2	147	212	21	36	0	4	38	485	466	726	334	322	0	14	598	384	0	19	1777	2085	1818	29	420	23	208	84	17	1	2183	0	665	0	0	1517	25	141	3	517	0
M00598_54_000000000-ABCWN_1_1101_23303_1609|gene_FolCO1	0	4999	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	2406	0	0	0	0	2	0	175	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	1004	0	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_2106_9234_5437|gene_FolCO1	0	0	1	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7499	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
M00598_54_000000000-ABCWN_1_2115_23862_11837|gene_FolCO1	5	6	51	1054	23	1455	0	260	0	0	0	0	26	117	7	0	0	3	37	294	0	1	45	22	231	10	172	1	130	0	13	0	2	42	0	1004	860	44	0	53	44	46	34	0	6	0	11	678	61	8	0	0	185	0	58	0
M00598_54_000000000-ABCWN_1_1111_14673_8503|gene_FolCO1	1	1	65	0	1	206	1	836	0	45	40	223	812	0	56	0	0	153	0	0	0	0	0	0	0	1145	12	1218	0	31	0	42	209	1	42	101	0	0	790	5	0	0	1	0	0	0	1	0	17	0	82	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_15205_1522|gene_FolCO1	1218	5988	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	17	0	0	0	0	0	0	0	0	295	0	16	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	12	0	0	1	0	0	2	0	0
M00598_54_000000000-ABCWN_1_1102_16123_14370|gene_FolCO1	0	126	0	6	0	0	3008	0	0	0	0	0	14	0	0	269	36	0	0	0	0	65	0	0	14	0	0	0	86	0	80	0	0	0	0	0	0	0	0	0	0	2	1332	0	366	0	0	1	0	225	0	24	0	113	0	0
M00598_54_000000000-ABCWN_1_1101_13486_2162|gene_FolCO1	0	0	0	40	3516	0	0	5	0	0	22	198	0	0	1	0	0	1	2	0	0	0	0	0	4	22	0	0	772	0	0	0	0	0	162	1196	27	0	22	0	0	0	1	0	0	20	0	66	0	0	0	0	0	0	1	0
M00598_54_000000000-ABCWN_1_2116_23720_4792|gene_FolCO1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4397	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_12969_2468|gene_FolCO1	1106	0	103	2	644	2	0	0	0	0	0	0	0	0	0	0	29	0	32	24	0	0	30	72	9	0	0	0	0	0	21	0	6	426	0	0	0	0	0	0	1	0	0	639	16	0	169	1	2019	0	0	6	3	95	1	0
M00598_54_000000000-ABCWN_1_1102_9119_11657|gene_FolCO1	0	143	0	281	0	19	1383	0	0	0	0	0	0	129	0	137	123	6	0	137	0	0	17	167	0	0	0	0	2	0	14	0	1	0	0	0	20	0	0	0	5	0	224	0	0	0	199	909	0	250	0	162	0	555	0	0
M00598_54_000000000-ABCWN_1_2107_22649_18392|gene_FolCO1	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00598_54_000000000-ABCWN_1_1101_22048_1459|gene_FolCO1	0	0	0	0	4807	0	0	2	0	13	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
M00598_54_000000000-ABCWN_1_1101_20395_4876|gene_FolCO1	27	1765	383	424	0	776	1052	1	0	0	0	0	167	346	0	899	112	468	383	417	0	404	922	302	33	0	0	0	289	0	136	0	2	0	0	0	162	4	0	0	7	7	10	0	101	0	367	375	3	83	0	240	36	419	0	0
