OTU_id	CM30c60-A	CM30c37-L	CM30c28-N	CM30c28-P	CM30c60-B	Plot04-A	Plot08-I	CM30b58-C	CM30c30-L	CM30b60-M	Plot03-N	LB5-A	CM30c53-I	CM30c62-D	Plot07-N	CM30c37-E	Plot07-M	Plot05-I	CM30c39-A	LB1-E	CM30c30-N	CM30c62-M	CM30d12-L	Plot03-H	CM30c44-B	CM30c39-E	LB1-A	CM30c51-H	Plot08-O	CM30c35-D	CM30b60-E	CM30c-O	CM30c46-O	CM30b51-B	CM30b58-I	CM30d12-H	LB5-I	CM30c44-C	CM30d3-D	CM30d3-L	CM30c51-I	CM31a5-B	Plot05-N	Plot01-B	CM31a5-A	Plot04-N	CM30c53-B	CM30c35-B	Plot06-N	Plot06-I	Plot02-C	Plot01-L	CM30c46-D	Plot02-M	CM30c-P	CM30b51-M
M01895_13_000000000-ABYEE_1_1101_5598_6335|gene_ITS	367	406	1038	28	533	6113	1020	1313	6	97	3399	11	416	204	94	26	139	5220	5	61	15	1835	328	1120	305	1	6	46	2838	3261	32	258	107	2233	1074	2962	22	0	1121	977	196	82	118	35	138	519	81	31230	2477	216	48	1196	35	2209	647	74
M01895_13_000000000-ABYEE_1_1101_20080_4078|gene_ITS	1743	123	4	4	1750	647	4	105	4	1576	193	16	18	15	8656	905	4509	1100	3054	7112	104	867	859	5520	5027	719	9	993	85	2579	3685	17	43	5677	2974	192	90	23	1804	79	2458	20	860	10043	27	83	9	12702	6617	1240	1368	7771	7	406	396	8
M01895_13_000000000-ABYEE_1_1103_3396_10011|gene_ITS	34	252	1269	3179	2891	338	392	4334	3	16	4264	4	3746	140	6	3	3	1885	0	0	12	2423	154	6	0	175	1	0	1054	6	19	913	261	94	39	1359	22	2	1972	2022	89	166	7	103	2232	391	2136	1210	292	92	1	1	51	1565	421	56
M01895_13_000000000-ABYEE_1_2107_11783_21149|gene_ITS	0	1	0	3	0	2	1382	0	244	0	0	309	1	1	0	2	1	0	0	3	8556	3	321	2	0	1	44	0	15	6	2	0	1	6	0	466	29953	1558	20	1111	0	1	0	0	0	2	0	0	8	0	2	0	533	2	2	0
M01895_13_000000000-ABYEE_1_1101_9521_5290|gene_ITS	659	1761	3	17	1314	11	67	0	25	179	31	7	0	9811	58	1700	35	35	381	98	1763	14	968	329	2	50	1	1382	194	2	374	0	0	396	31	1	7693	298	5	112	3824	13339	734	11	364	2	32	1	280	21	1636	1	0	56	834	13
M01895_13_000000000-ABYEE_1_2111_26916_11294|gene_ITS	0	0	3	0	0	2	70	0	24383	7	0	1608	0	9	0	0	0	0	2	0	2333	1	0	0	0	1	2431	0	0	0	0	4	0	0	0	1	1870	3	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_15817_3491|gene_ITS	0	0	0	2788	1	93	1022	1	1	0	2	0	2012	0	0	10	0	0	0	0	16307	53	0	0	0	5	1	0	6	0	7	0	0	2	0	426	0	0	0	0	4	0	0	0	0	9803	1586	1	0	2	1	0	0	0	0	2
M01895_13_000000000-ABYEE_1_1101_6155_8128|gene_ITS	154	153	154	224	2205	192	1068	161	39	1130	861	21	725	161	81	1039	149	429	97	914	163	516	813	10031	106	605	170	497	5968	27	738	85	491	287	143	136	472	40	628	131	221	132	2623	327	248	1593	333	67	141	411	1039	239	1	74	490	18
M01895_13_000000000-ABYEE_1_1112_20930_22452|gene_ITS	17	77	4	4	73	3	972	0	11	885	3	0	2	2	8842	57	2438	3	6840	9612	357	0	18	0	3350	8	17	2	41	0	2962	1	0	0	23	2	923	585	611	0	2	3	2	0	2	0	0	1	0	0	0	3	1	0	3	2
M01895_13_000000000-ABYEE_1_1103_5268_12274|gene_ITS	55	1099	9	75	11	1670	1218	4	4	8229	33	0	8	1	0	1857	11	430	94	39	11	146	2034	795	198	356	1	674	8952	0	536	4	18	404	0	1132	0	1	864	2	10	1	291	0	0	18449	21	0	27	343	24	5	0	31	1623	7
M01895_13_000000000-ABYEE_1_1101_15921_3505|gene_ITS	3844	21	1	1	8071	0	1	0	1	717	32	4	1	0	3368	2890	838	0	1	1	8	2	1102	718	0	10	0	116	2	0	1	0	1	0	8	0	2	1682	2	3	1894	2	13	0	1	0	2	6	1106	2	8126	1	0	0	5	3
M01895_13_000000000-ABYEE_1_2106_25590_6089|gene_ITS	8	5	1	2405	11	1999	3	0	1	0	30010	0	1	0	19	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_14937_1513|gene_ITS	1	0	33788	0	0	4	4	0	5	12	0	0	0	6	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_16730_19696|gene_ITS	0	0	0	1	0	0	0	0	0	0	0	25888	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	8	0	0	0	0	0	0	6	4	0	4	4	0	0	0	0	4
M01895_13_000000000-ABYEE_1_2111_21146_11982|gene_ITS	0	0	0	2	0	0	1	2	2	0	0	1	8	0	0	5	0	0	0	0	12750	6	0	1	0	2	0	0	4	2	1	0	1	4	0	0	530	1	2	2	0	0	0	0	0	2	2	1	4	0	0	0	8601	2	0	8959
M01895_13_000000000-ABYEE_1_1101_15020_6735|gene_ITS	0	0	5	0	816	2	2	0	1	3	0	0	0	8410	2	0	0	3398	0	3	0	2	2	0	1	0	2	234	0	0	0	1	0	1	0	2	0	3	0	0	2355	16734	2	4	0	0	4	2	1	3	3802	3	0	0	1	0
M01895_13_000000000-ABYEE_1_2106_27421_18285|gene_ITS	0	62	0	1	1	0	1	0	0	0	14	0	2	0	5715	29	2713	23	0	9	0	0	56	211	0	0	0	0	0	8	1	0	0	2559	7	0	6	21	7432	0	9	12	16548	0	1	0	0	0	517	1	0	3	3	2	3	0
M01895_13_000000000-ABYEE_1_1101_20705_20388|gene_ITS	102	9	0	2	217	1	0	0	0	390	0	0	1	0	6254	2084	1862	0	617	45	3	1	400	0	0	0	0	0	0	0	5662	0	0	249	15	0	0	1	0	0	5	0	3886	0	1	2	0	0	668	83	1	2	0	0	0	0
