OTU_id	CM30d3-L	CM30c60-B	LB5-A	Plot07-N	CM30c60-A	CM30c28-P	Plot03-N	CM30c53-I	CM30b58-C	CM30c62-D	LB1-A	CM30c35-D	CM30c28-N	CM30b58-I	CM30c37-E	CM30c51-H	CM30c30-L	CM30d12-L	CM30c37-L	CM30c62-M	Plot04-A	Plot05-N	CM30c30-N	CM30c-O	CM30c44-C	Plot08-I	CM30b51-M	Plot05-I	CM30d12-H	LB1-E	CM30c39-E	CM30b60-M	Plot08-O	CM30c39-A	CM30b60-E	Plot01-L	CM30c46-O	Plot03-H	Plot06-I	CM30c35-B	LB5-I	CM30d3-D	Plot02-M	CM30c46-D	CM31a5-B	CM31a5-A	CM30c44-B	Plot04-N	CM30c53-B	Plot01-B	CM30b51-B	Plot06-N	CM30c-P	Plot07-M	CM30c51-I	Plot02-C
M01895_13_000000000-ABYEE_1_2104_7505_9509|gene_ShCO1	5	0	3	0	0	0	0	0	0	0	207	0	0	0	0	1	0	0	0	0	6	0	0	0	0	0	0	1	2008	357	0	0	0	0	0	0	0	0	0	3	30663	0	0	0	0	0	0	0	6	0	0	0	0	1	76	1
M01895_13_000000000-ABYEE_1_2103_12508_17743|gene_ShCO1	1	5	0	3	4	2	5752	0	4	14516	5	686	0	2293	0	1727	2	0	1	7	1	239	0	142	0	2	0	3127	5	0	0	1	0	5	0	5	0	2	3	80	0	3	1592	3	287	88	2	0	0	6784	2	2118	1964	2	889	0
M01895_13_000000000-ABYEE_1_1101_13111_2032|gene_ShCO1	5	0	21243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7	1	2	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1
M01895_13_000000000-ABYEE_1_2104_10883_15481|gene_ShCO1	1	0	3	1	0	1	0	0	3	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13270	0	4490	0	0	154	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1102_10551_6889|gene_ShCO1	0	2	0	8775	154	1	0	2	0	0	0	0	0	0	4723	0	1	0	0	0	1	0	0	0	503	0	0	0	0	0	0	0	0	726	117	0	0	0	0	0	0	0	0	0	0	0	735	1	0	0	0	0	0	4273	0	0
M01895_13_000000000-ABYEE_1_2111_12377_8129|gene_ShCO1	13	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	16227	5	15	0	0	0	0	0	1	0	10	0	0	1	0	0	0	4
M01895_13_000000000-ABYEE_1_1110_6009_5540|gene_ShCO1	0	6466	0	55	3	3	1	1	0	0	0	0	0	1	62	76	0	1	1	0	0	0	0	0	159	0	0	0	0	0	0	0	0	59	0	2	0	0	6	0	0	3	0	0	122	5887	353	0	0	4	0	5	1	8	895	0
M01895_13_000000000-ABYEE_1_2110_10201_4011|gene_ShCO1	1613	1890	8	12	121	6230	772	675	32	1232	0	25	4781	0	266	110	17	1063	14	1486	5	60	455	923	1	6093	900	152	1364	11	5	0	355	1	0	0	34	52	74	56	13	54	2131	20	1755	5229	0	801	524	0	12	15	532	9	221	223
M01895_13_000000000-ABYEE_1_1101_15661_19162|gene_ShCO1	1237	0	2	0	0	16	33	183	6	38	0	5973	593	1	10	0	0	61	0	348	0	0	4	40	0	813	0	107	43	0	0	0	1339	0	0	0	150	403	0	783	18	0	436	68	40	100	0	1	50	0	0	1	17	1	0	2
M01895_13_000000000-ABYEE_1_1101_17511_3167|gene_ShCO1	0	0	2	0	0	0	0	881	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	5641	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_18413_5982|gene_ShCO1	1165	287	0	1938	169	1	1	0	1	24	0	328	1	0	407	171	0	63	13	567	0	2826	383	0	507	586	0	216	233	13	0	187	458	68	95	1	1	1371	0	65	1	52	6	0	951	25	6	0	1	6	57	136	16	681	1444	3
M01895_13_000000000-ABYEE_1_1112_15304_6934|gene_ShCO1	1	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	2	0	1	6845	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_11751_2987|gene_ShCO1	0	0	0	1232	0	0	0	0	0	1	0	0	0	0	8	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	241	0	1356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4122	0	0
M01895_13_000000000-ABYEE_1_1101_11565_3948|gene_ShCO1	0	0	0	1025	0	0	0	0	0	0	0	0	0	0	2317	1	0	441	0	3	0	0	0	1	0	0	0	0	0	1	3587	1941	3	0	3	0	0	1	0	0	0	16	0	0	0	1	0	1	0	0	1	0	0	314	0	0
M01895_13_000000000-ABYEE_1_1101_13144_2443|gene_ShCO1	0	0	0	0	17	0	0	0	1	0	4733	0	0	0	2984	0	0	0	0	1	0	0	1	0	0	0	52	0	2	0	0	0	1	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_18624_20698|gene_ShCO1	2394	211	0	42	316	0	44	9	2	479	12	955	77	18	630	0	0	1253	315	2042	0	387	2	16	45	437	1	906	138	71	214	595	521	69	54	1	426	400	24	648	0	338	1983	133	430	702	29	13	101	1	91	40	61	42	129	15
M01895_13_000000000-ABYEE_1_1102_4881_11064|gene_ShCO1	2	0	0	0	0	1	19	3061	6	0	0	1	49	0	0	0	0	0	0	136	0	0	1	7	0	67	0	0	36	0	0	0	0	0	0	0	1	0	0	0	71	0	3	34	0	0	0	0	1149	0	0	0	0	0	0	4
M01895_13_000000000-ABYEE_1_1101_14908_3226|gene_ShCO1	162	2261	0	0	99	0	0	0	0	0	0	0	365	47	1	896	0	2	34	698	0	1	4	0	0	0	2	0	4	12	0	2612	0	0	10	57	0	0	4	0	0	14	0	0	37	0	0	1	0	0	42	68	0	1	4363	0
M01895_13_000000000-ABYEE_1_1106_22880_22040|gene_ShCO1	1446	0	28	3	32	6	90	43	74	374	36	172	137	9	5	0	9	365	0	3287	4	663	5	4	0	1	23	945	47	61	0	101	60	0	1	0	81	245	38	97	12	182	260	11	3	6	0	4	99	0	17	11	100	0	1	5
M01895_13_000000000-ABYEE_1_1101_19019_2104|gene_ShCO1	0	0	0	0	0	0	0	0	0	0	0	5920	0	0	0	0	0	0	0	186	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_12323_8108|gene_ShCO1	0	420	0	26	908	0	1	0	0	97	0	0	0	24	100	224	0	369	217	2	11	280	0	10	8	0	0	0	27	1	2	1442	0	20	1145	0	0	120	1	0	0	211	10	0	0	0	1	1	0	5	95	113	48	344	343	0
