Run	SampleName	Dataset	Elevation.m	slope.degree	aspect.degree	ph
SRR1706032	Plot1-B	16S	50	18	270	6.08
SRR1706033	Plot1-B	18S	50	18	270	6.08
SRR1706034	Plot1-B	COI	50	18	270	6.08
SRR1706035	Plot1-B	ITS	50	18	270	6.08
SRR1706036	Plot1-B	trnL	50	18	270	6.08
SRR1720793	Plot1-B	COI-spun	50	18	270	6.08
SRR1720794	Plot1-L	COI-spun	50	18	270	6.41
SRR1706037	Plot1-L	16S	50	18	270	6.41
SRR1706038	Plot1-L	18S	50	18	270	6.41
SRR1706039	Plot1-L	COI	50	18	270	6.41
SRR1706040	Plot1-L	ITS	50	18	270	6.41
SRR1706041	Plot1-L	trnL	50	18	270	6.41
SRR1706042	Plot2-C	16S	90	30	60	4.82
SRR1706043	Plot2-C	18S	90	30	60	4.82
SRR1706044	Plot2-C	COI	90	30	60	4.82
SRR1706045	Plot2-C	ITS	90	30	60	4.82
SRR1706046	Plot2-C	trnL	90	30	60	4.82
SRR1720795	Plot2-C	COI-spun	90	30	60	4.82
SRR1720796	Plot2-M	COI-spun	90	30	60	4.95
SRR1706047	Plot2-M	16S	90	30	60	4.95
SRR1706048	Plot2-M	18S	90	30	60	4.95
SRR1706049	Plot2-M	COI	90	30	60	4.95
SRR1706050	Plot2-M	ITS	90	30	60	4.95
SRR1706051	Plot2-M	trnL	90	30	60	4.95
SRR1706052	Plot3-H	16S	160	36	120	5.1
SRR1706053	Plot3-H	18S	160	36	120	5.1
SRR1706054	Plot3-H	COI	160	36	120	5.1
SRR1706055	Plot3-H	ITS	160	36	120	5.1
SRR1706056	Plot3-H	trnL	160	36	120	5.1
SRR1720797	Plot3-H	COI-spun	160	36	120	5.1
SRR1720798	Plot3-N	COI-spun	160	36	120	5.13
SRR1706057	Plot3-N	16S	160	36	120	5.13
SRR1706058	Plot3-N	18S	160	36	120	5.13
SRR1706059	Plot3-N	COI	160	36	120	5.13
SRR1706060	Plot3-N	ITS	160	36	120	5.13
SRR1706061	Plot3-N	trnL	160	36	120	5.13
SRR1706062	Plot4-A	16S	260	40	260	6.24
SRR1706063	Plot4-A	18S	260	40	260	6.24
SRR1706064	Plot4-A	COI	260	40	260	6.24
SRR1706065	Plot4-A	ITS	260	40	260	6.24
SRR1706066	Plot4-A	trnL	260	40	260	6.24
SRR1706067	Plot4-N	16S	260	40	260	5.72
SRR1706068	Plot4-N	18S	260	40	260	5.72
SRR1706069	Plot4-N	COI	260	40	260	5.72
SRR1706070	Plot4-N	ITS	260	40	260	5.72
SRR1706071	Plot4-N	trnL	260	40	260	5.72
SRR1706072	Plot5-I	16S	240	23	190	5.34
SRR1706073	Plot5-I	18S	240	23	190	5.34
SRR1706074	Plot5-I	COI	240	23	190	5.34
SRR1706075	Plot5-I	ITS	240	23	190	5.34
SRR1706076	Plot5-I	trnL	240	23	190	5.34
SRR1706077	Plot5-N	16S	240	23	190	5.74
SRR1706078	Plot5-N	18S	240	23	190	5.74
SRR1706079	Plot5-N	COI	240	23	190	5.74
SRR1706080	Plot5-N	ITS	240	23	190	5.74
SRR1706081	Plot5-N	trnL	240	23	190	5.74
SRR1706082	Plot6-I	16S	320	20	210	5.45
SRR1706083	Plot6-I	18S	320	20	210	5.45
SRR1706084	Plot6-I	COI	320	20	210	5.45
SRR1706085	Plot6-I	ITS	320	20	210	5.45
SRR1706086	Plot6-I	trnL	320	20	210	5.45
SRR1706087	Plot6-N	16S	320	20	210	5.25
SRR1706088	Plot6-N	18S	320	20	210	5.25
SRR1706089	Plot6-N	COI	320	20	210	5.25
SRR1706090	Plot6-N	ITS	320	20	210	5.25
SRR1706091	Plot6-N	trnL	320	20	210	5.25
SRR1706092	Plot7-M	16S	420	26	180	5.69
SRR1706093	Plot7-M	18S	420	26	180	5.69
SRR1706094	Plot7-M	COI	420	26	180	5.69
SRR1706095	Plot7-M	ITS	420	26	180	5.69
SRR1706096	Plot7-M	trnL	420	26	180	5.69
SRR1706097	Plot7-N	16S	420	26	180	4.61
SRR1706098	Plot7-N	18S	420	26	180	4.61
SRR1706099	Plot7-N	COI	420	26	180	4.61
SRR1706100	Plot7-N	ITS	420	26	180	4.61
SRR1706101	Plot7-N	trnL	420	26	180	4.61
SRR1706102	Plot8-I	16S	460	34	280	5.24
SRR1706103	Plot8-I	18S	460	34	280	5.24
SRR1706104	Plot8-I	COI	460	34	280	5.24
SRR1706105	Plot8-I	ITS	460	34	280	5.24
SRR1706106	Plot8-I	trnL	460	34	280	5.24
SRR1706107	Plot8-O	16S	460	34	280	4.37
SRR1706108	Plot8-O	18S	460	34	280	4.37
SRR1706109	Plot8-O	COI	460	34	280	4.37
SRR1706110	Plot8-O	ITS	460	34	280	4.37
SRR1706111	Plot8-O	trnL	460	34	280	4.37
SRR1706112	CM30C30-L	16S	595	40	295	3.98
SRR1706113	CM30C30-L	18S	595	40	295	3.98
SRR1706114	CM30C30-L	COI	595	40	295	3.98
SRR1706115	CM30C30-L	ITS	595	40	295	3.98
SRR1706116	CM30C30-L	trnL	595	40	295	3.98
SRR1706117	CM30C30-N	16S	595	40	295	3.95
SRR1706118	CM30C30-N	18S	595	40	295	3.95
SRR1706119	CM30C30-N	COI	595	40	295	3.95
SRR1706120	CM30C30-N	ITS	595	40	295	3.95
SRR1706121	CM30C30-N	trnL	595	40	295	3.95
SRR1706122	LB1-A	16S	640	40	336	4.37
SRR1706123	LB1-A	18S	640	40	336	4.37
SRR1706124	LB1-A	COI	640	40	336	4.37
SRR1706125	LB1-A	ITS	640	40	336	4.37
SRR1706126	LB1-A	trnL	640	40	336	4.37
SRR1706127	LB1-E	16S	640	40	336	4.48
SRR1706128	LB1-E	18S	640	40	336	4.48
SRR1706129	LB1-E	COI	640	40	336	4.48
SRR1706130	LB1-E	ITS	640	40	336	4.48
SRR1706131	LB1-E	trnL	640	40	336	4.48
SRR1720799	Plot4-A	COI-spun	260	40	260	6.24
SRR1720800	Plot4-N	COI-spun	260	40	260	5.72
SRR1720801	Plot5-I	COI-spun	240	23	190	5.34
SRR1720802	Plot5-N	COI-spun	240	23	190	5.74
SRR1720803	Plot6-I	COI-spun	320	20	210	5.45
SRR1720804	Plot6-N	COI-spun	320	20	210	5.25
SRR1720805	Plot7-M	COI-spun	420	26	180	5.69
SRR1720806	Plot7-N	COI-spun	420	26	180	4.61
SRR1720807	Plot8-I	COI-spun	460	34	280	5.24
SRR1720808	Plot8-O	COI-spun	460	34	280	4.37
SRR1720809	CM30C30-L	COI-spun	595	40	295	3.98
SRR1720810	CM30C30-N	COI-spun	595	40	295	3.95
SRR1720811	LB1-A	COI-spun	640	40	336	4.37
SRR1720812	LB1-E	COI-spun	640	40	336	4.48
