Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,CM30c30,LB1
Acanthisitta chloris,0,2,5,0,3,4,7,7,0,5
Anthornis melanura,38,16,6,13,5,22,15,13,11,12
Callaeas cinerea,0,1,6,4,2,0,2,0,1,2
Chrysococcyx lucidas,0,0,1,0,0,0,0,0,0,0
Cyanoramphus spp.,3,19,11,1,0,4,0,0,0,0
Eudynamys taitensis,1,12,12,2,1,4,3,3,4,6
Fringilla coelebs,2,0,0,0,0,0,0,0,0,0
Gerygone igata,1,0,10,5,0,0,0,0,0,0
Hemiphaga novaeseelandiae,0,0,2,0,0,3,0,0,0,0
Hirundo neoxena,0,0,0,0,0,0,1,0,0,0
Mohoua albicilla,14,24,12,7,16,55,1,0,8,8
Nestor meridionalis,7,36,3,9,5,18,13,8,5,7
Notiomystis cincta,3,20,3,3,4,2,0,2,0,1
Petroica longipes,2,7,1,13,1,13,6,9,11,14
Petroica macrocephala,2,5,2,0,4,5,2,7,1,0
Philesturnus carunculatus,11,21,3,31,15,9,6,11,6,16
Prosthemadera novaeseelandiae,7,5,1,8,41,12,9,7,9,2
Pterodroma cookii,4,0,0,0,0,0,0,0,0,0
Rhipidura fuliginosa,8,10,1,0,2,2,2,3,0,0
Todiramphus sanctus,0,2,11,0,0,0,0,0,0,0
Turdus merula,7,0,0,0,0,0,0,0,0,0
Unclassified,0,2,0,0,0,0,3,0,0,0
