Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,CM30c30,LB1
Agathis australis,0,16,1,0,2,0,0,0,0,0
Alseuosmia macrophylla,0,0,0,0,0,0,0,4,1,1
BEILSCHMIEDIA TARAIRI,0,0,0,6,0,20,1,1,0,0
Beilschmiedia tawa,0,3,1,30,2,0,0,20,22,35
Brachyglottis kirkii,0,0,2,0,0,0,0,0,1,0
Brachyglottis repanda,1,0,0,0,0,1,18,0,0,0
Coprosma arborea,45,23,8,0,60,28,0,0,0,2
Coprosma grandifolia,0,0,0,1,1,1,20,32,10,53
Coprosma lucida,0,0,7,0,1,0,0,0,0,0
Coprosma macrocarpa,17,0,0,0,0,1,0,0,0,0
COPROSMA SPATHULATA,0,1,0,0,0,0,0,0,0,0
Corynocarpus laevigata,0,0,0,0,0,0,0,0,0,0
Cyathea dealbata,6,22,18,2,14,5,37,0,0,5
Cyathea medullaris,0,0,0,0,0,0,0,0,0,0
Dracophyllum latifolium,0,0,0,0,3,0,0,0,0,0
Dysoxylum spectabile,0,1,0,15,6,27,41,18,0,0
ELAEOCARPUS DENTATUS,0,0,0,0,1,0,0,0,1,0
GENIOSTOMA LIGUSTRIFOLIUM,8,2,2,10,7,3,4,3,0,0
Hedycarya arborea,0,0,0,3,0,0,1,1,0,0
Ixerba brexioides,0,0,0,0,0,0,0,0,10,5
Knightia excelsa,1,4,0,2,2,5,3,2,0,0
Kunzea ericoides,26,8,0,0,4,8,0,0,0,1
Laurelia novae-zelandiae,0,0,0,0,0,0,0,0,0,0
Leptecophylla juniperina,0,0,0,0,0,0,0,0,0,0
Leptospermum scoparium,0,0,0,0,0,0,0,0,0,0
LEUCOPOGON FASCICULATUS,0,0,0,0,0,0,0,0,0,0
Lophomyrtus bullata,0,0,0,0,0,0,3,0,0,0
Macropiper excelsum,0,0,0,2,0,0,0,0,0,0
Melicope ternata,0,0,0,0,0,0,0,0,0,0
Melicytus ramiflorus,7,0,0,9,0,4,31,6,0,0
Metrosideros excelsa,0,1,0,0,0,0,0,0,2,0
Metrosideros robusta,0,0,1,1,1,1,0,0,0,0
Mida salicifolia,0,0,3,0,2,2,0,0,0,0
Myrsine australis,41,15,20,6,7,5,23,9,0,4
Myrsine salicina,0,5,1,0,0,0,6,4,0,0
Nestegis cunninghamii,0,0,0,0,0,0,4,0,0,0
Nestegis lanceolata,0,9,7,0,4,13,19,0,0,0
NESTEGIS MONTANA,0,2,0,0,0,0,0,0,0,0
Nothofagus truncata,0,0,8,0,0,0,0,0,0,0
Olearia furfuracea,0,0,0,0,0,0,0,0,0,0
Olearia rani,2,8,4,0,22,0,2,17,1,2
Phyllocladus trichomanoides,0,3,2,0,0,0,0,0,0,0
Pittosporum tenuifolium,0,1,0,0,2,0,1,0,0,0
PITTOSPORUM UMBELLATUM,10,7,2,0,1,0,0,0,0,0
Prumnopitys ferruginea,0,0,0,0,1,0,0,2,0,0
Pseudopanax arboreus,6,5,2,4,0,1,4,1,1,2
Pseudopanax discolor,0,0,5,0,4,0,0,3,0,0
Pseudowintera axillaris,0,0,0,0,0,0,0,2,14,2
QUINTINIA SERRATA,0,0,0,0,0,0,0,0,24,1
Raukaua edgerleyi,0,0,0,0,0,0,0,0,1,1
Rhopalostylis sapida,0,0,0,0,0,9,1,0,0,0
Schefflera digitata,0,0,0,0,0,0,0,0,0,1
Toronia toru,0,0,0,0,1,0,0,0,0,0
Vitex lucens,1,0,0,0,0,0,0,0,0,0
Weinmannia sylvicola,0,1,0,0,1,0,17,14,14,29
