Plot.Name	Elevation.m	Slope.degrees	Aspect.degrees	Physiography	Drainage	Date.Inventoried
Plot1	50	18	270	Face	Good	11-Dec-10
Plot2	90	30	60	Face	Good	15-Dec-10
Plot3	160	36	120	Face	Good	14-Jan-11
Plot4	260	40	260	Face	Good	16-Jan-11
Plot5	240	23	190	Face	Good	17-Dec-10
Plot6	320	20	210	Face	Good	19-Dec-10
Plot7	420	26	180	Face	Good	12-Dec-10
Plot8	460	34	280	Face	Good	11-Jan-11
CM30C30	597	40	295	Face	Good	3-Dec-10
LB1	630	40	336	Face	Good	11-Dec-09
CM31A5	70	8	90	Face	Good	2-Dec-10
CM30C62	99	38	102	Face	Good	9-Dec-09
CM30C60	51	30	170	Gully	Good	12-Feb-14
CM30C53	155	45	125	Face	Good	8-Dec-10
CM30C46	319	30	154	Face	Good	13-Dec-09
CM30C39	0	32	105	Face	Good	29-Mar-12
CM30C58	9	0	x	Terrace	Good	14-Dec-09
CM30C51	67	25	100	Face	Good	30-Mar-12
CM30C44	0	20	80	Face	Good	12-Dec-09
CM30C37	279	18	190	Face	Good	27-Mar-12
CM30C35	165	5	250	Ridge	Good	4-Dec-10
CM30C28	227	40	300	Face	Good	6-Dec-10
CM30C	283	33	240	Face	Good	28-Mar-12
LB5	634	18	80	Ridge	Moderate	11-Feb-14
CM30D12	371	22	58	Gully	Good	9-Feb-14
CM30D3	518	25	180	Face	Good	12-Feb-14
CM30B60	51	30	170	Gully	Good	12-Feb-14
CM30B58	9	0	x	Terrace	Good	14-Feb-14
CM30B44	123	40	306	Face	Good	11-Feb-14
CM30B	80	55	68	Face	Good	14-Feb-14
