SampleName	Elevation.m	slope.degree	aspect.degree	Mean.Temp	Northness	Eastness
Plot1-B	50	18	270	15.26	-1.84E-16	-1
Plot1-L	50	18	270	15.28	-1.84E-16	-1
Plot2-C	90	30	60	15.21	0.5	0.866025404
Plot2-M	90	30	60	15.24	0.5	0.866025404
Plot3-H	160	36	120	14.85	-0.5	0.866025404
Plot3-N	160	36	120	14.48	-0.5	0.866025404
Plot4-A	260	40	260	14.05	-0.173648178	-0.984807753
Plot4-N	260	40	260	14.18	-0.173648178	-0.984807753
Plot5-I	240	23	190	13.92	-0.984807753	-0.173648178
Plot5-N	240	23	190	13.95	-0.984807753	-0.173648178
Plot6-I	320	20	210	13.54	-0.866025404	-0.5
Plot6-N	320	20	210	13.57	-0.866025404	-0.5
Plot7-M	420	26	180	13.13	-1	1.23E-16
Plot7-N	420	26	180	12.74	-1	1.23E-16
Plot8-I	460	34	280	13.61	0.173648178	-0.984807753
Plot8-O	460	34	280	13.68	0.173648178	-0.984807753
CM30C30-L	595	40	295	12.15	0.422618262	-0.906307787
CM30C30-N	595	40	295	12.28	0.422618262	-0.906307787
LB1-A	640	40	336	12.08	0.913545458	-0.406736643
LB1-E	640	40	336	12.41	0.913545458	-0.406736643
