Species,Plot1,Plot2,Plot3,Plot4,Plot5,Plot6,Plot7,Plot8,CM30c30,LB1
Agathis australis,0,40,0,0,1,0,0,0,0,0
Alseuosmia macrophylla,0,28,21,10,26,5,100,165,124,0
Archeria racemosa,0,0,0,0,0,0,0,0,1,0
BEILSCHMIEDIA TARAIRI,0,6,0,5,3,1,0,4,0,0
Beilschmiedia tawa,0,11,5,5,4,0,1,20,10,4
Blechnum filiforme,0,0,0,0,0,0,0,0,0,0
Brachyglottis kirkii,0,0,11,0,0,0,0,1,0,0
Brachyglottis repanda,1,0,0,9,0,2,2,0,0,0
Coprosma arborea,41,26,12,2,0,0,0,0,1,1
Coprosma dodonaefolia,0,0,0,0,0,0,0,0,13,0
Coprosma grandifolia,0,1,2,3,0,3,30,30,43,93
Coprosma lucida,0,0,0,1,0,0,0,0,0,0
Coprosma macrocarpa,26,0,0,0,0,0,0,0,0,0
Coprosma repens,0,0,0,0,0,0,0,0,0,0
Coprosma rhamnoides,5,2,0,0,0,0,0,0,0,0
Coprosma rotundifolia,0,0,0,0,0,0,0,0,0,0
COPROSMA SPATHULATA,10,86,11,1,6,2,0,0,0,0
Cordyline banksii,0,0,0,0,0,0,0,0,0,0
Corokia buddleioides,0,0,3,0,0,0,0,0,0,0
Corynocarpus laevigata,0,0,0,3,0,0,0,0,0,0
Cyathea dealbata,20,12,13,7,14,7,12,5,0,6
Dracophyllum latifolium,0,0,0,0,0,0,0,0,0,0
Dysoxylum spectabile,1,6,1,41,24,44,26,30,0,1
ELAEOCARPUS DENTATUS,0,0,0,0,0,0,1,0,0,0
GENIOSTOMA LIGUSTRIFOLIUM,35,31,3,35,15,14,24,4,0,1
Hedycarya arborea,1,1,1,3,5,3,13,8,0,0
Ixerba brexioides,0,0,0,0,0,0,0,0,3,0
Knightia excelsa,0,0,1,1,2,0,1,0,0,0
Kunzea ericoides,0,0,0,0,0,0,0,0,0,0
Leptecophylla juniperina,0,1,0,0,0,0,0,0,0,0
Leptospermum scoparium,0,0,0,0,0,0,0,0,0,0
LEUCOPOGON FASCICULATUS,0,3,4,0,1,0,0,0,0,0
Lygodium articulatum,0,0,0,0,0,0,0,0,0,0
Macropiper excelsum,0,0,0,6,0,0,0,0,0,0
Melicope ternata,0,0,0,0,0,0,0,0,0,0
Melicytus macrophyllus,0,0,0,0,0,0,0,0,0,0
Melicytus micranthus,1,0,0,0,0,0,0,0,0,0
Melicytus ramiflorus,7,2,0,10,3,1,16,8,0,0
Metrosideros fulgens,0,0,0,0,0,0,0,0,0,0
Metrosideros perforata,0,0,0,0,0,0,0,0,0,0
Metrosideros robusta,0,0,0,0,0,0,0,0,0,0
Mida salicifolia,0,0,2,0,3,3,0,0,0,0
Myrsine australis,70,3,13,5,0,8,4,1,0,1
Myrsine salicina,0,0,2,0,0,0,1,1,0,0
Nestegis cunninghamii,0,0,0,0,0,0,1,1,0,0
Nestegis lanceolata,3,3,5,0,8,2,3,1,0,0
Nothofagus truncata,0,0,0,0,0,0,0,0,0,0
Olearia furfuracea,7,0,0,0,0,0,0,0,0,0
Olearia rani,0,6,3,3,5,0,2,14,2,8
Phyllocladus trichomanoides,0,3,1,0,0,0,0,0,0,0
Pittosporum cornifolium,0,0,0,0,0,0,0,0,0,0
Pittosporum tenuifolium,0,1,1,0,3,0,0,0,0,0
PITTOSPORUM UMBELLATUM,0,6,10,2,0,0,0,0,0,0
PNEUMATOPTERIS PENNIGERA,0,0,0,0,0,0,1,0,0,0
Prumnopitys ferruginea,0,0,1,0,0,0,0,0,0,0
Pseudopanax arboreus,4,5,15,0,9,11,11,3,1,1
Pseudopanax crassifolius,0,2,0,0,0,0,0,0,0,0
Pseudopanax discolor,0,1,22,1,8,1,0,3,1,0
Pseudowintera axillaris,0,0,0,0,0,0,0,3,29,3
QUINTINIA SERRATA,0,0,0,0,0,0,0,0,37,0
Raukaua edgerleyi,0,0,0,0,0,0,0,0,4,2
Rhabdothamnus solandri,0,0,0,10,0,0,0,0,0,0
Rhipogonum scandens,0,0,0,0,0,0,0,0,0,0
Rhopalostylis sapida,1,0,0,5,1,25,31,3,0,0
Schefflera digitata,0,0,0,0,0,0,0,1,0,5
Toronia toru,0,0,0,0,0,0,0,0,0,0
Veronica pubescens,0,0,0,0,0,0,0,0,0,0
Vitex lucens,1,0,0,0,0,0,0,0,0,0
Weinmannia sylvicola,0,0,0,1,1,0,5,8,2,1
