Species,Plot 1,Plot 2,Plot 3,Plot 4,Plot 5,Plot 6,Plot 7,Plot 8,CM30c30,LB1
Adiantum cunninghamii,0,0,0,2,0,0,0,0,0,0
Adiantum hispidulum,2,0,0,0,0,0,0,0,0,0
Agathis australis,0,1,0,0,0,0,0,0,0,0
Alseuosmia macrophylla,0,20,9,5,13,2,9,19,19,0
Asplenium bulbiferum,0,0,0,3,0,0,4,1,0,0
Asplenium flabellifolium,0,0,0,0,0,0,0,0,0,0
Asplenium lamprophyllum,0,0,0,27,0,0,3,0,0,0
Asplenium oblongifolium,4,0,3,16,2,2,0,0,0,0
Astelia banksii,0,0,0,0,0,0,0,0,1,0
Astelia fragrans,0,0,0,0,0,0,0,0,1,0
Astelia solandri,0,0,0,0,0,0,0,0,5,0
Astelia trinervia,0,0,14,0,0,0,0,0,0,0
BEILSCHMIEDIA TARAIRI,4,39,23,8,12,4,1,8,0,0
Beilschmiedia tawa,0,1,3,1,7,3,0,24,13,4
Blechnum chambersii,0,0,0,20,0,0,8,0,0,0
Blechnum discolor,0,0,0,0,0,0,0,0,0,0
Blechnum filiforme,0,0,0,3,1,0,3,1,0,0
Blechnum fraseri,0,0,0,0,2,0,0,0,0,0
Blechnum novae-zelandiae,0,0,0,0,4,0,0,0,0,0
Brachyglottis kirkii,0,0,2,0,0,0,0,0,0,2
Brachyglottis repanda,0,0,0,2,0,0,0,0,0,0
Clematis paniculata,2,0,0,3,2,0,0,0,0,0
Collospermum hastatum,0,0,4,0,0,0,0,2,0,0
Collospermum microspermum,0,0,2,0,0,0,0,0,0,0
Coprosma arborea,6,9,0,4,0,1,0,0,0,0
Coprosma dodonaefolia,0,0,0,0,0,0,0,0,1,0
Coprosma grandifolia,0,0,0,2,1,0,26,21,0,9
Coprosma lucida,0,1,3,0,0,0,0,0,0,0
Coprosma macrocarpa,4,0,0,2,0,0,0,0,0,0
Coprosma rhamnoides,6,0,0,0,0,0,0,0,0,0
Coprosma robusta,1,0,0,0,0,0,0,0,0,0
Coprosma rotundifolia,0,0,0,0,0,0,0,0,0,0
COPROSMA SPATHULATA,3,4,12,5,0,0,0,0,0,0
Cordyline pumilio,0,0,0,0,1,0,0,0,0,0
Corokia buddleioides,0,0,1,0,0,0,0,0,0,0
Corybas cheesemanii,0,0,0,0,0,0,0,1,0,0
Corynocarpus laevigata,1,0,0,0,0,0,0,0,0,0
Cyathea dealbata,2,2,1,0,4,1,2,0,0,0
Cyathophorum bulbosum,0,0,0,0,1,0,8,0,0,0
Dianella latissima,0,0,0,0,0,0,0,0,0,0
Dianella nigra,0,0,1,0,0,0,0,0,0,0
Dicksonia squarrosa,0,0,0,0,0,0,1,0,0,2
Doodia australis,35,0,0,0,0,0,0,0,0,0
Dracophyllum latifolium,0,0,0,0,0,0,0,0,0,0
Dysoxylum spectabile,0,1,1,9,2,6,1,5,0,0
Freycinetia banksii,0,0,0,5,2,0,5,0,1,11
Gahnia lacera,0,2,0,0,0,0,0,0,0,0
Gahnia setifolia,0,0,0,0,0,0,0,0,0,0
Gahnia xanthocarpa,0,3,0,0,0,0,0,0,0,0
GENIOSTOMA LIGUSTRIFOLIUM,7,4,0,6,3,2,3,0,0,0
Grammitis billardierei,0,0,0,0,3,0,0,0,0,0
Grammitis pseudociliata,0,1,0,0,3,1,0,0,0,0
Hebe macrocarpa,0,0,0,0,0,0,0,0,0,0
Hedycarya arborea,0,0,0,2,5,5,21,15,0,0
Hymenophyllum demissum,1,7,0,0,17,0,30,4,0,0
Hymenophyllum dilatatum,0,4,0,0,3,0,0,1,0,0
Hymenophyllum revolutum,0,8,0,0,1,0,1,4,0,0
Hymenophyllum sanguinolentum,0,4,0,0,0,0,0,0,0,0
Hymenophyllum scabrum,0,0,0,0,0,0,0,0,1,0
Ixerba brexioides,0,0,0,0,0,0,0,0,3,0
Knightia excelsa,0,10,1,2,10,4,12,5,0,0
Kunzea ericoides,0,0,0,0,0,0,0,0,0,0
Lepidosperma laterale,0,0,0,0,0,0,0,0,0,0
Leptospermum scoparium,0,0,0,0,0,0,0,0,0,0
LEUCOPOGON FASCICULATUS,0,0,0,0,0,0,0,0,0,0
Lindsaea trichomanoides,0,1,0,0,0,0,0,0,4,0
Loxogramme dictyopteris,0,0,0,3,0,0,0,0,0,0
Lycopodium deuterodensum,0,0,0,0,0,0,0,0,0,0
Lycopodium volubile,0,2,0,0,0,0,0,0,0,0
Lygodium articulatum,0,7,1,3,5,0,5,3,3,1
Melicytus dentatus,0,8,0,8,0,0,0,0,0,0
Melicytus ramiflorus,0,0,0,0,0,0,1,1,0,0
Metrosideros fulgens,0,13,12,0,7,0,9,23,2,0
Metrosideros perforata,0,14,4,8,2,0,9,0,0,0
Metrosideros robusta,0,0,1,0,0,0,0,0,0,0
Microseris scapigera,0,0,0,10,0,0,0,1,0,0
Microsorum pustulatum,3,0,0,2,0,0,2,0,0,0
Microsorum scandens,2,0,0,0,0,0,0,0,0,0
Myrsine australis,8,6,1,10,10,5,2,0,0,0
Myrsine salicina,0,0,0,0,1,0,0,0,0,0
Nestegis cunninghamii,0,0,0,0,0,0,0,2,0,0
Nestegis lanceolata,0,2,2,7,0,0,1,1,0,0
Nothofagus truncata,0,0,0,0,0,0,0,0,0,0
Olearia furfuracea,0,0,0,0,0,0,0,0,0,0
Olearia rani,0,1,1,0,2,0,1,5,0,1
Oplismenus hirtellus,1,0,0,0,0,0,0,0,0,0
Phyllocladus trichomanoides,0,1,0,0,0,0,0,0,0,0
Pittosporum tenuifolium,0,0,0,0,1,0,0,0,0,0
PITTOSPORUM UMBELLATUM,0,0,0,0,0,0,0,0,0,0
PNEUMATOPTERIS PENNIGERA,0,0,0,3,0,0,0,0,0,0
Polyphlebium endlicherianum,0,0,0,0,0,0,1,0,0,0
Pseudopanax arboreus,0,5,3,1,3,4,0,0,0,0
Pseudopanax discolor,0,0,4,0,0,0,0,0,1,0
Pseudowintera axillaris,0,0,0,0,0,0,0,1,2,4
Pteridium esculentum,0,0,0,0,0,0,0,0,0,0
Pterostylis agathicola,0,2,0,0,0,0,0,0,0,0
Pyrrosia eleagnifolia,0,0,0,0,0,0,0,0,0,0
QUINTINIA SERRATA,0,0,0,0,0,0,0,0,1,0
Rhabdothamnus solandri,0,0,0,1,0,0,0,0,0,0
Rhipogonum scandens,1,3,0,6,1,4,12,14,0,0
Rhopalostylis sapida,4,2,1,5,4,21,26,7,0,0
Schefflera digitata,0,0,0,0,0,0,0,0,0,3
Schoenus tendo,0,0,0,0,0,0,0,0,0,0
Toronia toru,0,0,0,0,0,0,0,0,0,0
Trichomanes reniforme,0,6,0,0,1,0,0,0,0,1
Uncinia banksii,13,0,0,0,0,0,0,0,0,0
Uncinia uncinata,4,4,0,0,2,1,3,0,0,0
Vitex lucens,0,0,0,0,0,0,1,0,0,0
Weinmannia sylvicola,0,0,0,0,0,0,3,2,0,0
Unclassified,0,0,0,0,0,0,0,1,0,0
