Taxa	16S	18S	trnL	ITS	COI	COI-spun	taxagroup
Actinobacteria	958	1	301	4	7	0	Bacteria
Aquificae	0	0	10	0	0	0	Bacteria
Armatimonadetes	70	0	11	0	0	0	Bacteria
Bacteroidetes	496	0	55	10	17	0	Bacteria
Chlorobi	22	0	4	0	1	0	Bacteria
Ignavibacteriae	1	0	5	0	0	0	Bacteria
Caldiserica	1	0	0	0	0	0	Bacteria
Chlamydiae	260	0	1	0	0	0	Bacteria
Lentisphaerae	1	0	0	0	0	0	Bacteria
Verrucomicrobia	595	0	47	1	1	0	Bacteria
Chloroflexi	438	0	39	0	1	0	Bacteria
Cyanobacteria	21	0	357	2	3	0	Bacteria
Deferribacteres	0	0	0	0	1	0	Bacteria
Deinococcus-Thermus	1	0	15	0	0	0	Bacteria
Elusimicrobia	12	0	2	0	0	0	Bacteria
Acidobacteria	1380	0	582	7	6	0	Bacteria
Fibrobacteres	0	0	2	0	0	0	Bacteria
Firmicutes	134	0	100	1	4	0	Bacteria
Fusobacteria	6	0	0	0	0	0	Bacteria
Gemmatimonadetes	147	0	30	0	1	0	Bacteria
Nitrospirae	8	0	3	0	0	0	Bacteria
Planctomycetes	94	0	96	0	1	0	Bacteria
Proteobacteria	3862	3	2462	43	1163	75	Bacteria
Spirochaetes	10	0	9	0	1	0	Bacteria
Synergistetes	0	0	2	1	0	0	Bacteria
Tenericutes	5	0	4	0	0	0	Bacteria
Thermotogae	0	0	1	0	0	0	Bacteria
Acetothermia	0	0	4	0	1	0	Bacteria
Candidatus Saccharibacteria	121	0	6	0	0	0	Bacteria
Thermobaculum	1	0	2	0	0	0	Bacteria
unclassified Bacteria	62	0	3	0	0	0	Bacteria
Crenarchaeota	1	0	2	0	0	0	Archaea
Euryarchaeota	1	2	5	2	0	0	Archaea
Nanoarchaeota	0	0	1	0	0	0	Archaea
Thaumarchaeota	3	0	1	0	0	0	Archaea
Blastocladiomycota	0	3	0	0	1	0	Fungi
Chytridiomycota	0	113	0	62	0	0	Fungi
Cryptomycota	0	60	0	0	0	0	Fungi
Ascomycota	2	765	43	971	451	53	Fungi
Basidiomycota	0	850	9	1644	21	1	Fungi
Entomophthoromycota	0	11	0	0	0	0	Fungi
Fungi incertae sedis	1	58	0	47	7	0	Fungi
Glomeromycota	0	27	0	16	2	1	Fungi
Microsporidia	0	1	0	0	0	0	Fungi
Monoblepharidomycota	0	1	0	0	0	0	Fungi
unclassified Fungi	0	0	0	1	0	0	Fungi
Chaetognatha	0	0	0	1	0	0	Metazoa
Chordata	1	0	13	2	358	50	Metazoa
Echinodermata	0	0	0	0	35	5	Metazoa
Xenacoelomorpha	0	1	0	0	2	0	Metazoa
Platyhelminthes	2	42	0	2	4	0	Metazoa
Nematoda	0	206	6	1	85	49	Metazoa
Nematomorpha	0	0	0	0	2	1	Metazoa
Arthropoda	14	397	7	3	1013	837	Metazoa
Onychophora	0	0	0	0	2	0	Metazoa
Tardigrada	0	5	0	0	4	18	Metazoa
Acanthocephala	0	0	0	0	3	3	Metazoa
Annelida	0	14	0	1	232	93	Metazoa
Brachiopoda	0	0	0	0	6	1	Metazoa
Bryozoa	0	0	0	0	2	0	Metazoa
Gastrotricha	0	7	0	0	10	3	Metazoa
Mollusca	2	3	0	1	212	32	Metazoa
Nemertea	0	2	0	0	10	2	Metazoa
Rotifera	0	5	0	1	242	158	Metazoa
Cnidaria	0	3	0	2	113	43	Metazoa
Placozoa	0	0	0	0	2	0	Metazoa
Porifera	1	7	0	0	20	4	Metazoa
Chlorophyta	2	19	5	8	22	4	Viridiplantae
Streptophyta	6	55	126	2	14	4	Viridiplantae
Apicomplexa	0	120	2	0	1	0	Alveolata
Chromerida	0	1	0	0	0	0	Alveolata
Ciliophora	2	167	1	1	1	0	Alveolata
Colpodellidae	0	5	0	0	0	0	Alveolata
Dinophyceae	0	32	1	0	0	0	Alveolata
unclassified Alveolata	0	8	0	0	0	0	Alveolata
Cercozoa	0	469	0	113	13	2	Rhizaria
Haplosporidia	0	1	0	0	0	0	Rhizaria
unclassified Rhizaria	0	9	0	0	0	0	Rhizaria
Bacillariophyta	0	2	0	1	84	7	Stramenopiles
Bicosoecida	0	35	0	0	0	0	Stramenopiles
Chrysophyceae	4	12	0	0	3	0	Stramenopiles
Dictyochophyceae	0	0	0	0	2	0	Stramenopiles
Hyphochytriomycetes	0	1	0	0	0	0	Stramenopiles
Labyrinthulomycetes	0	9	0	0	0	0	Stramenopiles
Oikomonadaceae	0	3	0	0	0	0	Stramenopiles
Oomycetes	1	10	2	0	727	156	Stramenopiles
Pelagophyceae	0	0	2	0	0	0	Stramenopiles
Phaeophyceae	0	0	0	0	117	36	Stramenopiles
Xanthophyceae	0	0	0	0	3	1	Stramenopiles
Raphidophyceae	0	0	0	0	5	0	Stramenopiles
Synurophyceae	0	1	0	0	1	0	Stramenopiles
unclassified stramenopiles	0	6	0	0	0	0	Stramenopiles
Amoebozoa	6	279	1	2	428	149	Other Eukaryota
Apusozoa	0	23	0	2	2	2	Other Eukaryota
Centroheliozoa	0	23	0	0	0	0	Other Eukaryota
Cryptophyta	0	5	0	0	1	0	Other Eukaryota
Diplonemida	0	1	0	0	0	0	Other Eukaryota
Euglenida	1	11	0	0	0	0	Other Eukaryota
Kinetoplastida	0	8	1	0	0	0	Other Eukaryota
Glaucocystophyceae	0	0	0	0	11	1	Other Eukaryota
Haptophyceae	0	0	5	0	3	1	Other Eukaryota
