,Plot1-B,Plot1-L,Plot2-C,Plot2-M,Plot3-H,Plot3-N,Plot4-A,Plot4-N,Plot5-I,Plot5-N,Plot6-I,Plot6-N,Plot7-M,Plot7-N,Plot8-I,Plot8-O,Plot9-L,Plot9-N,Plot10-A,Plot10-E
SRR1706106.26961,4,0,61,0,139,130,0,0,102,4,2,5,0,0,1026,73,0,0,0,0
SRR1706116.58902,0,0,104,6,0,0,1,0,0,0,0,7,0,11,0,228,893,182,257,1102
SRR1706131.34177,20,0,617,299,0,56,25,0,3,1,20,257,9,46,199,589,50,0,24,305
SRR1706131.85547,0,0,295,197,0,19,7,0,0,1,158,144,0,0,13,440,421,185,155,909
SRR1706051.34811,0,0,17,647,0,2,0,0,0,74,0,253,0,0,10,152,0,30,21,247
SRR1706106.9582,2,0,0,0,0,0,0,0,0,3,19,7,0,10,642,46,0,0,4,10
SRR1706106.55298,17,4,218,263,258,221,20,17,88,59,58,172,17,77,730,614,242,202,320,299
SRR1706106.58613,0,0,56,0,124,142,0,0,265,19,0,32,9,23,274,84,0,0,0,0
SRR1706131.81889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,26,104,505
SRR1706106.22814,0,0,0,0,0,0,0,0,0,8,0,2,0,8,688,51,0,0,0,4
SRR1706116.32560,0,0,0,28,5,0,0,0,11,220,2,0,6,13,12,79,71,0,133,451
SRR1706041.42108,453,134,8,38,8,12,2,0,20,46,35,10,23,29,35,17,12,6,6,41
SRR1706111.29304,0,0,47,66,1,30,0,0,1,0,0,2,0,15,76,311,49,52,12,54
SRR1706046.61050,34,0,109,833,0,162,34,0,15,24,47,241,0,0,4,83,0,0,0,0
SRR1706111.15858,0,0,0,37,8,0,0,0,0,0,0,0,0,0,11,442,4,0,16,32
SRR1706106.61605,5,0,23,0,66,114,0,0,123,0,0,0,0,4,33,18,0,0,0,0
SRR1706091.42094,0,0,113,1,41,134,1,0,29,21,19,85,24,71,212,56,4,67,26,316
SRR1706106.20074,0,0,18,5,0,0,2,0,0,4,0,4,0,1,244,133,0,0,0,0
SRR1706111.35437,0,0,17,11,3,0,0,0,0,96,12,12,8,1,69,132,0,0,0,0
SRR1706081.19225,0,0,0,42,26,0,0,0,4,179,7,15,1,0,0,0,0,0,0,0
SRR1706106.56098,0,0,11,15,12,0,0,0,20,2,2,0,0,5,321,1,13,0,44,58
SRR1706081.31121,0,0,0,0,0,0,0,0,0,193,35,0,4,26,0,0,0,0,0,0
SRR1706066.81208,0,15,24,241,3,2,337,100,23,79,110,40,2,37,15,50,26,4,80,545
SRR1706066.86634,50,4,1,184,10,25,106,7,30,12,67,16,21,2,46,0,5,37,14,81
SRR1706131.90248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,77,11,208
SRR1706131.29439,0,0,0,13,0,18,4,0,0,0,0,0,0,0,0,0,5,0,10,178
SRR1706131.79009,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,9,173
SRR1706051.38413,0,8,13,46,1,30,11,24,62,14,2,5,0,28,7,44,170,29,101,27
SRR1706051.49728,0,0,17,398,3,59,0,0,53,0,0,9,0,0,0,1,0,0,0,0
SRR1706041.15732,1,184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SRR1706111.25439,0,0,12,27,1,1,0,0,0,0,5,19,0,0,0,57,105,25,51,63
SRR1706091.19517,0,0,90,0,0,0,0,0,0,17,0,80,0,2,0,0,0,0,18,10
SRR1706116.29513,0,0,16,0,0,11,0,26,0,0,6,4,0,0,0,0,649,98,50,3
SRR1706106.23257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,53,0,0,0,0
